Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_5,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	812.4856407745223,	1257.6504071745221,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	136.05253957707006,	136.05253957707006,	136.05253957707006,	408.15761873121016,	436.0975920312102,	0.5019417358771531,	1.0860043730392628,	1.587946108916416,	0.056468445286179725,	1.0860043730392628,	1.1424728183254425,	2.968378824467361,	4.955784352124729,	7.92416317659209,	2.0078977037783337,	6.907175054662992,	8.915072758441326,	5.534686709409028,	14.034968152866245,	19.56965486227527,	478.639426409409,	1234.6782276585986,	1713.3176540680076,	
Conv2_5,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	11329.408711582166,	14133.698867582167,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	1897.134853543949,	1897.134853543949,	1897.134853543949,	5691.404560631847,	7653.599691931847,	9.373761917505833,	15.143390587184356,	24.517152504690188,	1.3552426868683134,	15.143390587184356,	16.49863327405267,	55.43447454692796,	69.10412146873365,	124.53859601566161,	37.497489618060385,	96.31457506390407,	133.81206468196444,	103.6609687693625,	195.70547770700642,	299.36644647636894,	4870.146256069363,	17216.518749921022,	22086.665005990384,	
Conv1_6,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	812.4856407745223,	1257.6504071745221,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	136.05253957707006,	136.05253957707006,	136.05253957707006,	408.15761873121016,	436.0975920312102,	0.5019417358771531,	1.0860043730392628,	1.587946108916416,	0.056468445286179725,	1.0860043730392628,	1.1424728183254425,	2.968378824467361,	4.955784352124729,	7.92416317659209,	2.0078977037783337,	6.907175054662992,	8.915072758441326,	5.534686709409028,	14.034968152866245,	19.56965486227527,	478.639426409409,	1234.6782276585986,	1713.3176540680076,	
Conv2_6,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	11329.408711582166,	14133.698867582167,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	1897.134853543949,	1897.134853543949,	1897.134853543949,	5691.404560631847,	7653.599691931847,	9.373761917505833,	15.143390587184356,	24.517152504690188,	1.3552426868683134,	15.143390587184356,	16.49863327405267,	55.43447454692796,	69.10412146873365,	124.53859601566161,	37.497489618060385,	96.31457506390407,	133.81206468196444,	103.6609687693625,	195.70547770700642,	299.36644647636894,	4870.146256069363,	17216.518749921022,	22086.665005990384,	
Conv1_7,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	812.4856407745223,	1257.6504071745221,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	136.05253957707006,	136.05253957707006,	136.05253957707006,	408.15761873121016,	436.0975920312102,	0.5019417358771531,	1.0860043730392628,	1.587946108916416,	0.056468445286179725,	1.0860043730392628,	1.1424728183254425,	2.968378824467361,	4.955784352124729,	7.92416317659209,	2.0078977037783337,	6.907175054662992,	8.915072758441326,	5.534686709409028,	14.034968152866245,	19.56965486227527,	478.639426409409,	1234.6782276585986,	1713.3176540680076,	
Conv2_7,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	11329.408711582166,	14133.698867582167,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	1897.134853543949,	1897.134853543949,	1897.134853543949,	5691.404560631847,	7653.599691931847,	9.373761917505833,	15.143390587184356,	24.517152504690188,	1.3552426868683134,	15.143390587184356,	16.49863327405267,	55.43447454692796,	69.10412146873365,	124.53859601566161,	37.497489618060385,	96.31457506390407,	133.81206468196444,	103.6609687693625,	195.70547770700642,	299.36644647636894,	4870.146256069363,	17216.518749921022,	22086.665005990384,	
Conv1_8,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	812.4856407745223,	1257.6504071745221,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	136.05253957707006,	136.05253957707006,	136.05253957707006,	408.15761873121016,	436.0975920312102,	0.5019417358771531,	1.0860043730392628,	1.587946108916416,	0.056468445286179725,	1.0860043730392628,	1.1424728183254425,	2.968378824467361,	4.955784352124729,	7.92416317659209,	2.0078977037783337,	6.907175054662992,	8.915072758441326,	5.534686709409028,	14.034968152866245,	19.56965486227527,	478.639426409409,	1234.6782276585986,	1713.3176540680076,	
Conv2_8,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	11329.408711582166,	14133.698867582167,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	1897.134853543949,	1897.134853543949,	1897.134853543949,	5691.404560631847,	7653.599691931847,	9.373761917505833,	15.143390587184356,	24.517152504690188,	1.3552426868683134,	15.143390587184356,	16.49863327405267,	55.43447454692796,	69.10412146873365,	124.53859601566161,	37.497489618060385,	96.31457506390407,	133.81206468196444,	103.6609687693625,	195.70547770700642,	299.36644647636894,	4870.146256069363,	17216.518749921022,	22086.665005990384,	
Conv1_9,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	812.4856407745223,	1257.6504071745221,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	136.05253957707006,	136.05253957707006,	136.05253957707006,	408.15761873121016,	436.0975920312102,	0.5019417358771531,	1.0860043730392628,	1.587946108916416,	0.056468445286179725,	1.0860043730392628,	1.1424728183254425,	2.968378824467361,	4.955784352124729,	7.92416317659209,	2.0078977037783337,	6.907175054662992,	8.915072758441326,	5.534686709409028,	14.034968152866245,	19.56965486227527,	478.639426409409,	1234.6782276585986,	1713.3176540680076,	
Conv2_9,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	11329.408711582166,	14133.698867582167,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	1897.134853543949,	1897.134853543949,	1897.134853543949,	5691.404560631847,	7653.599691931847,	9.373761917505833,	15.143390587184356,	24.517152504690188,	1.3552426868683134,	15.143390587184356,	16.49863327405267,	55.43447454692796,	69.10412146873365,	124.53859601566161,	37.497489618060385,	96.31457506390407,	133.81206468196444,	103.6609687693625,	195.70547770700642,	299.36644647636894,	4870.146256069363,	17216.518749921022,	22086.665005990384,	
FC3_0,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	505724.65160991595,	802323.421160716,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	84684.72515116434,	84684.72515116434,	84684.72515116434,	254054.17545349302,	303248.243394893,	209.81164559664998,	675.9740180498076,	885.7856636464576,	209.81164559664998,	675.9740180498076,	885.7856636464576,	1396.3253990294465,	3084.6850567635806,	4481.010455793027,	944.5150798573281,	4299.311302041267,	5243.826381898594,	2760.463770080075,	8735.944394904462,	11496.408164984536,	348553.3012622801,	768514.7714583133,	1117068.0727205933,	
FC3_1,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	505724.65160991595,	802323.421160716,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	84684.72515116434,	84684.72515116434,	84684.72515116434,	254054.17545349302,	303248.243394893,	209.81164559664998,	675.9740180498076,	885.7856636464576,	209.81164559664998,	675.9740180498076,	885.7856636464576,	1396.3253990294465,	3084.6850567635806,	4481.010455793027,	944.5150798573281,	4299.311302041267,	5243.826381898594,	2760.463770080075,	8735.944394904462,	11496.408164984536,	348553.3012622801,	768514.7714583133,	1117068.0727205933,	
FC3_2,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	505724.65160991595,	802323.421160716,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	84684.72515116434,	84684.72515116434,	84684.72515116434,	254054.17545349302,	303248.243394893,	209.81164559664998,	675.9740180498076,	885.7856636464576,	209.81164559664998,	675.9740180498076,	885.7856636464576,	1396.3253990294465,	3084.6850567635806,	4481.010455793027,	944.5150798573281,	4299.311302041267,	5243.826381898594,	2760.463770080075,	8735.944394904462,	11496.408164984536,	348553.3012622801,	768514.7714583133,	1117068.0727205933,	
FC3_3,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	505724.65160991595,	802323.421160716,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	84684.72515116434,	84684.72515116434,	84684.72515116434,	254054.17545349302,	303248.243394893,	209.81164559664998,	675.9740180498076,	885.7856636464576,	209.81164559664998,	675.9740180498076,	885.7856636464576,	1396.3253990294465,	3084.6850567635806,	4481.010455793027,	944.5150798573281,	4299.311302041267,	5243.826381898594,	2760.463770080075,	8735.944394904462,	11496.408164984536,	348553.3012622801,	768514.7714583133,	1117068.0727205933,	
FC3_4,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	505724.65160991595,	802323.421160716,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	84684.72515116434,	84684.72515116434,	84684.72515116434,	254054.17545349302,	303248.243394893,	209.81164559664998,	675.9740180498076,	885.7856636464576,	209.81164559664998,	675.9740180498076,	885.7856636464576,	1396.3253990294465,	3084.6850567635806,	4481.010455793027,	944.5150798573281,	4299.311302041267,	5243.826381898594,	2760.463770080075,	8735.944394904462,	11496.408164984536,	348553.3012622801,	768514.7714583133,	1117068.0727205933,	
FC3_5,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	505724.65160991595,	802323.421160716,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	84684.72515116434,	84684.72515116434,	84684.72515116434,	254054.17545349302,	303248.243394893,	209.81164559664998,	675.9740180498076,	885.7856636464576,	209.81164559664998,	675.9740180498076,	885.7856636464576,	1396.3253990294465,	3084.6850567635806,	4481.010455793027,	944.5150798573281,	4299.311302041267,	5243.826381898594,	2760.463770080075,	8735.944394904462,	11496.408164984536,	348553.3012622801,	768514.7714583133,	1117068.0727205933,	
FC3_6,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	505724.65160991595,	802323.421160716,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	84684.72515116434,	84684.72515116434,	84684.72515116434,	254054.17545349302,	303248.243394893,	209.81164559664998,	675.9740180498076,	885.7856636464576,	209.81164559664998,	675.9740180498076,	885.7856636464576,	1396.3253990294465,	3084.6850567635806,	4481.010455793027,	944.5150798573281,	4299.311302041267,	5243.826381898594,	2760.463770080075,	8735.944394904462,	11496.408164984536,	348553.3012622801,	768514.7714583133,	1117068.0727205933,	
FC3_7,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	505724.65160991595,	802323.421160716,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	84684.72515116434,	84684.72515116434,	84684.72515116434,	254054.17545349302,	303248.243394893,	209.81164559664998,	675.9740180498076,	885.7856636464576,	209.81164559664998,	675.9740180498076,	885.7856636464576,	1396.3253990294465,	3084.6850567635806,	4481.010455793027,	944.5150798573281,	4299.311302041267,	5243.826381898594,	2760.463770080075,	8735.944394904462,	11496.408164984536,	348553.3012622801,	768514.7714583133,	1117068.0727205933,	
FC3_8,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	505724.65160991595,	802323.421160716,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	84684.72515116434,	84684.72515116434,	84684.72515116434,	254054.17545349302,	303248.243394893,	209.81164559664998,	675.9740180498076,	885.7856636464576,	209.81164559664998,	675.9740180498076,	885.7856636464576,	1396.3253990294465,	3084.6850567635806,	4481.010455793027,	944.5150798573281,	4299.311302041267,	5243.826381898594,	2760.463770080075,	8735.944394904462,	11496.408164984536,	348553.3012622801,	768514.7714583133,	1117068.0727205933,	
FC3_9,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	505724.65160991595,	802323.421160716,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	84684.72515116434,	84684.72515116434,	84684.72515116434,	254054.17545349302,	303248.243394893,	209.81164559664998,	675.9740180498076,	885.7856636464576,	209.81164559664998,	675.9740180498076,	885.7856636464576,	1396.3253990294465,	3084.6850567635806,	4481.010455793027,	944.5150798573281,	4299.311302041267,	5243.826381898594,	2760.463770080075,	8735.944394904462,	11496.408164984536,	348553.3012622801,	768514.7714583133,	1117068.0727205933,	
RNN4_FG_0,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_NG_0,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_ptwise1_0,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_ptwise2_0,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_FG_1,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_NG_1,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_ptwise1_1,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_ptwise2_1,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_FG_2,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_NG_2,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
