Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_0,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	812.4856407745223,	1257.6504071745221,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	136.05253957707006,	136.05253957707006,	136.05253957707006,	408.15761873121016,	436.0975920312102,	0.5019417358771531,	1.0860043730392628,	1.587946108916416,	0.056468445286179725,	1.0860043730392628,	1.1424728183254425,	2.968378824467361,	4.955784352124729,	7.92416317659209,	2.0078977037783337,	6.907175054662992,	8.915072758441326,	5.534686709409028,	14.034968152866245,	19.56965486227527,	478.639426409409,	1234.6782276585986,	1713.3176540680076,	
Conv2_0,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	11329.408711582166,	14133.698867582167,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	1897.134853543949,	1897.134853543949,	1897.134853543949,	5691.404560631847,	7653.599691931847,	9.373761917505833,	15.143390587184356,	24.517152504690188,	1.3552426868683134,	15.143390587184356,	16.49863327405267,	55.43447454692796,	69.10412146873365,	124.53859601566161,	37.497489618060385,	96.31457506390407,	133.81206468196444,	103.6609687693625,	195.70547770700642,	299.36644647636894,	4870.146256069363,	17216.518749921022,	22086.665005990384,	
Conv1_1,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	812.4856407745223,	1257.6504071745221,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	136.05253957707006,	136.05253957707006,	136.05253957707006,	408.15761873121016,	436.0975920312102,	0.5019417358771531,	1.0860043730392628,	1.587946108916416,	0.056468445286179725,	1.0860043730392628,	1.1424728183254425,	2.968378824467361,	4.955784352124729,	7.92416317659209,	2.0078977037783337,	6.907175054662992,	8.915072758441326,	5.534686709409028,	14.034968152866245,	19.56965486227527,	478.639426409409,	1234.6782276585986,	1713.3176540680076,	
Conv2_1,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	11329.408711582166,	14133.698867582167,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	1897.134853543949,	1897.134853543949,	1897.134853543949,	5691.404560631847,	7653.599691931847,	9.373761917505833,	15.143390587184356,	24.517152504690188,	1.3552426868683134,	15.143390587184356,	16.49863327405267,	55.43447454692796,	69.10412146873365,	124.53859601566161,	37.497489618060385,	96.31457506390407,	133.81206468196444,	103.6609687693625,	195.70547770700642,	299.36644647636894,	4870.146256069363,	17216.518749921022,	22086.665005990384,	
Conv1_2,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	812.4856407745223,	1257.6504071745221,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	136.05253957707006,	136.05253957707006,	136.05253957707006,	408.15761873121016,	436.0975920312102,	0.5019417358771531,	1.0860043730392628,	1.587946108916416,	0.056468445286179725,	1.0860043730392628,	1.1424728183254425,	2.968378824467361,	4.955784352124729,	7.92416317659209,	2.0078977037783337,	6.907175054662992,	8.915072758441326,	5.534686709409028,	14.034968152866245,	19.56965486227527,	478.639426409409,	1234.6782276585986,	1713.3176540680076,	
Conv2_2,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	11329.408711582166,	14133.698867582167,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	1897.134853543949,	1897.134853543949,	1897.134853543949,	5691.404560631847,	7653.599691931847,	9.373761917505833,	15.143390587184356,	24.517152504690188,	1.3552426868683134,	15.143390587184356,	16.49863327405267,	55.43447454692796,	69.10412146873365,	124.53859601566161,	37.497489618060385,	96.31457506390407,	133.81206468196444,	103.6609687693625,	195.70547770700642,	299.36644647636894,	4870.146256069363,	17216.518749921022,	22086.665005990384,	
Conv1_3,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	812.4856407745223,	1257.6504071745221,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	136.05253957707006,	136.05253957707006,	136.05253957707006,	408.15761873121016,	436.0975920312102,	0.5019417358771531,	1.0860043730392628,	1.587946108916416,	0.056468445286179725,	1.0860043730392628,	1.1424728183254425,	2.968378824467361,	4.955784352124729,	7.92416317659209,	2.0078977037783337,	6.907175054662992,	8.915072758441326,	5.534686709409028,	14.034968152866245,	19.56965486227527,	478.639426409409,	1234.6782276585986,	1713.3176540680076,	
Conv2_3,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	11329.408711582166,	14133.698867582167,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	1897.134853543949,	1897.134853543949,	1897.134853543949,	5691.404560631847,	7653.599691931847,	9.373761917505833,	15.143390587184356,	24.517152504690188,	1.3552426868683134,	15.143390587184356,	16.49863327405267,	55.43447454692796,	69.10412146873365,	124.53859601566161,	37.497489618060385,	96.31457506390407,	133.81206468196444,	103.6609687693625,	195.70547770700642,	299.36644647636894,	4870.146256069363,	17216.518749921022,	22086.665005990384,	
Conv1_4,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	812.4856407745223,	1257.6504071745221,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	136.05253957707006,	136.05253957707006,	136.05253957707006,	408.15761873121016,	436.0975920312102,	0.5019417358771531,	1.0860043730392628,	1.587946108916416,	0.056468445286179725,	1.0860043730392628,	1.1424728183254425,	2.968378824467361,	4.955784352124729,	7.92416317659209,	2.0078977037783337,	6.907175054662992,	8.915072758441326,	5.534686709409028,	14.034968152866245,	19.56965486227527,	478.639426409409,	1234.6782276585986,	1713.3176540680076,	
Conv2_4,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	11329.408711582166,	14133.698867582167,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	1897.134853543949,	1897.134853543949,	1897.134853543949,	5691.404560631847,	7653.599691931847,	9.373761917505833,	15.143390587184356,	24.517152504690188,	1.3552426868683134,	15.143390587184356,	16.49863327405267,	55.43447454692796,	69.10412146873365,	124.53859601566161,	37.497489618060385,	96.31457506390407,	133.81206468196444,	103.6609687693625,	195.70547770700642,	299.36644647636894,	4870.146256069363,	17216.518749921022,	22086.665005990384,	
