Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_0,	GEMM,	16.1244401150838,	20.71031363463687,	0.0,	158.39113542569834,	195.22588917541898,	356.3135352,	551.539424375419,	3.5358682201117317,	0.6099293438547486,	0.0,	8.107207486592177,	12.25300505055866,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.24950265055867,	0.22012528640422635,	0.4762644876177773,	0.6963897740220036,	0.024764094720475468,	0.4762644876177773,	0.5010285823382528,	1.3017750710652953,	2.173346768948554,	3.4751218400138497,	0.8805584902044647,	3.0291242558158933,	3.909682746020358,	2.427222942394462,	6.155000000000002,	8.582222942394464,	209.9061171683721,	541.4650328,	751.3711499683722,	
Conv2_0,	GEMM,	18.09870786907051,	47.384455506009616,	0.0,	22.712660842067308,	88.19582421714743,	356.3135352,	444.50935941714744,	15.130031404907852,	6.381187254807692,	18.888873609374997,	21.311573518990382,	61.71166578808093,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	240.70816338808092,	0.29480781671642947,	0.47626448761777723,	0.7710723043342066,	0.0426228168746645,	0.47626448761777723,	0.5188873044924417,	1.7434319919606749,	2.173346768948554,	3.9167787609092293,	1.1793080669141587,	3.0291242558158933,	4.208432322730052,	3.2601706924659277,	6.155000000000002,	9.41517069246593,	153.1676606976943,	541.4650328000001,	694.6326934976944,	
Conv1_1,	GEMM,	16.1244401150838,	20.71031363463687,	0.0,	158.39113542569834,	195.22588917541898,	356.3135352,	551.539424375419,	3.5358682201117317,	0.6099293438547486,	0.0,	8.107207486592177,	12.25300505055866,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.24950265055867,	0.22012528640422635,	0.4762644876177773,	0.6963897740220036,	0.024764094720475468,	0.4762644876177773,	0.5010285823382528,	1.3017750710652953,	2.173346768948554,	3.4751218400138497,	0.8805584902044647,	3.0291242558158933,	3.909682746020358,	2.427222942394462,	6.155000000000002,	8.582222942394464,	209.9061171683721,	541.4650328,	751.3711499683722,	
Conv2_1,	GEMM,	18.09870786907051,	47.384455506009616,	0.0,	22.712660842067308,	88.19582421714743,	356.3135352,	444.50935941714744,	15.130031404907852,	6.381187254807692,	18.888873609374997,	21.311573518990382,	61.71166578808093,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	240.70816338808092,	0.29480781671642947,	0.47626448761777723,	0.7710723043342066,	0.0426228168746645,	0.47626448761777723,	0.5188873044924417,	1.7434319919606749,	2.173346768948554,	3.9167787609092293,	1.1793080669141587,	3.0291242558158933,	4.208432322730052,	3.2601706924659277,	6.155000000000002,	9.41517069246593,	153.1676606976943,	541.4650328000001,	694.6326934976944,	
Conv1_2,	GEMM,	16.1244401150838,	20.71031363463687,	0.0,	158.39113542569834,	195.22588917541898,	356.3135352,	551.539424375419,	3.5358682201117317,	0.6099293438547486,	0.0,	8.107207486592177,	12.25300505055866,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.24950265055867,	0.22012528640422635,	0.4762644876177773,	0.6963897740220036,	0.024764094720475468,	0.4762644876177773,	0.5010285823382528,	1.3017750710652953,	2.173346768948554,	3.4751218400138497,	0.8805584902044647,	3.0291242558158933,	3.909682746020358,	2.427222942394462,	6.155000000000002,	8.582222942394464,	209.9061171683721,	541.4650328,	751.3711499683722,	
Conv2_2,	GEMM,	18.09870786907051,	47.384455506009616,	0.0,	22.712660842067308,	88.19582421714743,	356.3135352,	444.50935941714744,	15.130031404907852,	6.381187254807692,	18.888873609374997,	21.311573518990382,	61.71166578808093,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	240.70816338808092,	0.29480781671642947,	0.47626448761777723,	0.7710723043342066,	0.0426228168746645,	0.47626448761777723,	0.5188873044924417,	1.7434319919606749,	2.173346768948554,	3.9167787609092293,	1.1793080669141587,	3.0291242558158933,	4.208432322730052,	3.2601706924659277,	6.155000000000002,	9.41517069246593,	153.1676606976943,	541.4650328000001,	694.6326934976944,	
Conv1_3,	GEMM,	16.1244401150838,	20.71031363463687,	0.0,	158.39113542569834,	195.22588917541898,	356.3135352,	551.539424375419,	3.5358682201117317,	0.6099293438547486,	0.0,	8.107207486592177,	12.25300505055866,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.24950265055867,	0.22012528640422635,	0.4762644876177773,	0.6963897740220036,	0.024764094720475468,	0.4762644876177773,	0.5010285823382528,	1.3017750710652953,	2.173346768948554,	3.4751218400138497,	0.8805584902044647,	3.0291242558158933,	3.909682746020358,	2.427222942394462,	6.155000000000002,	8.582222942394464,	209.9061171683721,	541.4650328,	751.3711499683722,	
Conv2_3,	GEMM,	18.09870786907051,	47.384455506009616,	0.0,	22.712660842067308,	88.19582421714743,	356.3135352,	444.50935941714744,	15.130031404907852,	6.381187254807692,	18.888873609374997,	21.311573518990382,	61.71166578808093,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	240.70816338808092,	0.29480781671642947,	0.47626448761777723,	0.7710723043342066,	0.0426228168746645,	0.47626448761777723,	0.5188873044924417,	1.7434319919606749,	2.173346768948554,	3.9167787609092293,	1.1793080669141587,	3.0291242558158933,	4.208432322730052,	3.2601706924659277,	6.155000000000002,	9.41517069246593,	153.1676606976943,	541.4650328000001,	694.6326934976944,	
Conv1_4,	GEMM,	16.1244401150838,	20.71031363463687,	0.0,	158.39113542569834,	195.22588917541898,	356.3135352,	551.539424375419,	3.5358682201117317,	0.6099293438547486,	0.0,	8.107207486592177,	12.25300505055866,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.24950265055867,	0.22012528640422635,	0.4762644876177773,	0.6963897740220036,	0.024764094720475468,	0.4762644876177773,	0.5010285823382528,	1.3017750710652953,	2.173346768948554,	3.4751218400138497,	0.8805584902044647,	3.0291242558158933,	3.909682746020358,	2.427222942394462,	6.155000000000002,	8.582222942394464,	209.9061171683721,	541.4650328,	751.3711499683722,	
Conv2_4,	GEMM,	18.09870786907051,	47.384455506009616,	0.0,	22.712660842067308,	88.19582421714743,	356.3135352,	444.50935941714744,	15.130031404907852,	6.381187254807692,	18.888873609374997,	21.311573518990382,	61.71166578808093,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	240.70816338808092,	0.29480781671642947,	0.47626448761777723,	0.7710723043342066,	0.0426228168746645,	0.47626448761777723,	0.5188873044924417,	1.7434319919606749,	2.173346768948554,	3.9167787609092293,	1.1793080669141587,	3.0291242558158933,	4.208432322730052,	3.2601706924659277,	6.155000000000002,	9.41517069246593,	153.1676606976943,	541.4650328000001,	694.6326934976944,	
