Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_0,	GEMM,	0.054707281849011274,	0.14323361065922952,	0.0,	0.07161680532961476,	0.26955769783785555,	0.9668268719497992,	0.14323361065922952,	0.7877848586257623,	0.8594016639553771,	2.7572470051901683,	
Conv1_1,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_1,	GEMM,	0.054707281849011274,	0.14323361065922952,	0.0,	0.07161680532961476,	0.26955769783785555,	0.9668268719497992,	0.14323361065922952,	0.7877848586257623,	0.8594016639553771,	2.7572470051901683,	
Conv1_2,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_2,	GEMM,	0.054707281849011274,	0.14323361065922952,	0.0,	0.07161680532961476,	0.26955769783785555,	0.9668268719497992,	0.14323361065922952,	0.7877848586257623,	0.8594016639553771,	2.7572470051901683,	
Conv1_3,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_3,	GEMM,	0.054707281849011274,	0.14323361065922952,	0.0,	0.07161680532961476,	0.26955769783785555,	0.9668268719497992,	0.14323361065922952,	0.7877848586257623,	0.8594016639553771,	2.7572470051901683,	
Conv1_4,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_4,	GEMM,	0.054707281849011274,	0.14323361065922952,	0.0,	0.07161680532961476,	0.26955769783785555,	0.9668268719497992,	0.14323361065922952,	0.7877848586257623,	0.8594016639553771,	2.7572470051901683,	
Conv1_5,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_5,	GEMM,	0.054707281849011274,	0.14323361065922952,	0.0,	0.07161680532961476,	0.26955769783785555,	0.9668268719497992,	0.14323361065922952,	0.7877848586257623,	0.8594016639553771,	2.7572470051901683,	
Conv1_6,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_6,	GEMM,	0.054707281849011274,	0.14323361065922952,	0.0,	0.07161680532961476,	0.26955769783785555,	0.9668268719497992,	0.14323361065922952,	0.7877848586257623,	0.8594016639553771,	2.7572470051901683,	
Conv1_7,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_7,	GEMM,	0.054707281849011274,	0.14323361065922952,	0.0,	0.07161680532961476,	0.26955769783785555,	0.9668268719497992,	0.14323361065922952,	0.7877848586257623,	0.8594016639553771,	2.7572470051901683,	
Conv1_8,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_8,	GEMM,	0.054707281849011274,	0.14323361065922952,	0.0,	0.07161680532961476,	0.26955769783785555,	0.9668268719497992,	0.14323361065922952,	0.7877848586257623,	0.8594016639553771,	2.7572470051901683,	
