Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_0,	GEMM,	0.051551092511568315,	0.13497013312119704,	0.0,	0.06748506656059852,	0.2540062921933639,	0.9110483985680801,	0.13497013312119704,	0.7423357321665838,	0.8098207987271823,	2.598175062583043,	
Conv1_1,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_1,	GEMM,	0.051551092511568315,	0.13497013312119704,	0.0,	0.06748506656059852,	0.2540062921933639,	0.9110483985680801,	0.13497013312119704,	0.7423357321665838,	0.8098207987271823,	2.598175062583043,	
Conv1_2,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_2,	GEMM,	0.051551092511568315,	0.13497013312119704,	0.0,	0.06748506656059852,	0.2540062921933639,	0.9110483985680801,	0.13497013312119704,	0.7423357321665838,	0.8098207987271823,	2.598175062583043,	
Conv1_3,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_3,	GEMM,	0.051551092511568315,	0.13497013312119704,	0.0,	0.06748506656059852,	0.2540062921933639,	0.9110483985680801,	0.13497013312119704,	0.7423357321665838,	0.8098207987271823,	2.598175062583043,	
Conv1_4,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_4,	GEMM,	0.051551092511568315,	0.13497013312119704,	0.0,	0.06748506656059852,	0.2540062921933639,	0.9110483985680801,	0.13497013312119704,	0.7423357321665838,	0.8098207987271823,	2.598175062583043,	
Conv1_5,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_5,	GEMM,	0.051551092511568315,	0.13497013312119704,	0.0,	0.06748506656059852,	0.2540062921933639,	0.9110483985680801,	0.13497013312119704,	0.7423357321665838,	0.8098207987271823,	2.598175062583043,	
Conv1_6,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_6,	GEMM,	0.051551092511568315,	0.13497013312119704,	0.0,	0.06748506656059852,	0.2540062921933639,	0.9110483985680801,	0.13497013312119704,	0.7423357321665838,	0.8098207987271823,	2.598175062583043,	
Conv1_7,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_7,	GEMM,	0.051551092511568315,	0.13497013312119704,	0.0,	0.06748506656059852,	0.2540062921933639,	0.9110483985680801,	0.13497013312119704,	0.7423357321665838,	0.8098207987271823,	2.598175062583043,	
Conv1_8,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_8,	GEMM,	0.051551092511568315,	0.13497013312119704,	0.0,	0.06748506656059852,	0.2540062921933639,	0.9110483985680801,	0.13497013312119704,	0.7423357321665838,	0.8098207987271823,	2.598175062583043,	
Conv1_9,	GEMM,	0.044927209116227135,	0.05881380102487915,	0.0,	0.4705104081990332,	0.5742514183401395,	0.5293242092239124,	0.05881380102487915,	0.0,	0.4705104081990332,	1.0586484184478249,	
Conv2_9,	GEMM,	0.051551092511568315,	0.13497013312119704,	0.0,	0.06748506656059852,	0.2540062921933639,	0.9110483985680801,	0.13497013312119704,	0.7423357321665838,	0.8098207987271823,	2.598175062583043,	
FC3_0,	GEMM,	0.0023097288009706687,	0.5912905730484912,	0.0,	0.00016798027643423043,	0.5937682821258962,	0.043884847218442706,	0.5912905730484912,	0.04921822099522952,	0.04938620127166375,	0.7337798425338271,	
FC3_1,	GEMM,	0.0023097288009706687,	0.5912905730484912,	0.0,	0.00016798027643423043,	0.5937682821258962,	0.043884847218442706,	0.5912905730484912,	0.04921822099522952,	0.04938620127166375,	0.7337798425338271,	
FC3_2,	GEMM,	0.0023097288009706687,	0.5912905730484912,	0.0,	0.00016798027643423043,	0.5937682821258962,	0.043884847218442706,	0.5912905730484912,	0.04921822099522952,	0.04938620127166375,	0.7337798425338271,	
FC3_3,	GEMM,	0.0023097288009706687,	0.5912905730484912,	0.0,	0.00016798027643423043,	0.5937682821258962,	0.043884847218442706,	0.5912905730484912,	0.04921822099522952,	0.04938620127166375,	0.7337798425338271,	
FC3_4,	GEMM,	0.0023097288009706687,	0.5912905730484912,	0.0,	0.00016798027643423043,	0.5937682821258962,	0.043884847218442706,	0.5912905730484912,	0.04921822099522952,	0.04938620127166375,	0.7337798425338271,	
