Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_0,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3189.0061400400004,	3634.17090644,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	534.0062178400001,	534.0062178400001,	534.0062178400001,	1602.0186535200003,	1629.9586268200003,	0.5019417358771531,	4.2625671641791065,	4.76450890005626,	0.056468445286179725,	4.2625671641791065,	4.319035609465287,	2.968378824467361,	19.451453582089563,	22.419832406556925,	2.0078977037783337,	27.11066208955225,	29.118559793330583,	5.534686709409028,	55.087250000000026,	60.621936709409056,	478.639426409409,	4846.1120435600005,	5324.751469969409,	
Conv2_0,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	44467.92919296,	47272.21934896,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	7446.254300160001,	7446.254300160001,	7446.254300160001,	22338.762900480004,	24300.958031780003,	9.373761917505833,	59.43780805469861,	68.81156997220444,	1.3552426868683134,	59.43780805469861,	60.79305074156692,	55.43447454692796,	271.2336767647796,	326.66815131170756,	37.497489618060385,	378.0347071258235,	415.5321967438839,	103.6609687693625,	768.1440000000003,	871.8049687693629,	4870.146256069363,	67574.83609344001,	72444.98234950937,	
Conv1_1,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3189.0061400400004,	3634.17090644,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	534.0062178400001,	534.0062178400001,	534.0062178400001,	1602.0186535200003,	1629.9586268200003,	0.5019417358771531,	4.2625671641791065,	4.76450890005626,	0.056468445286179725,	4.2625671641791065,	4.319035609465287,	2.968378824467361,	19.451453582089563,	22.419832406556925,	2.0078977037783337,	27.11066208955225,	29.118559793330583,	5.534686709409028,	55.087250000000026,	60.621936709409056,	478.639426409409,	4846.1120435600005,	5324.751469969409,	
Conv2_1,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	44467.92919296,	47272.21934896,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	7446.254300160001,	7446.254300160001,	7446.254300160001,	22338.762900480004,	24300.958031780003,	9.373761917505833,	59.43780805469861,	68.81156997220444,	1.3552426868683134,	59.43780805469861,	60.79305074156692,	55.43447454692796,	271.2336767647796,	326.66815131170756,	37.497489618060385,	378.0347071258235,	415.5321967438839,	103.6609687693625,	768.1440000000003,	871.8049687693629,	4870.146256069363,	67574.83609344001,	72444.98234950937,	
Conv1_2,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3189.0061400400004,	3634.17090644,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	534.0062178400001,	534.0062178400001,	534.0062178400001,	1602.0186535200003,	1629.9586268200003,	0.5019417358771531,	4.2625671641791065,	4.76450890005626,	0.056468445286179725,	4.2625671641791065,	4.319035609465287,	2.968378824467361,	19.451453582089563,	22.419832406556925,	2.0078977037783337,	27.11066208955225,	29.118559793330583,	5.534686709409028,	55.087250000000026,	60.621936709409056,	478.639426409409,	4846.1120435600005,	5324.751469969409,	
Conv2_2,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	44467.92919296,	47272.21934896,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	7446.254300160001,	7446.254300160001,	7446.254300160001,	22338.762900480004,	24300.958031780003,	9.373761917505833,	59.43780805469861,	68.81156997220444,	1.3552426868683134,	59.43780805469861,	60.79305074156692,	55.43447454692796,	271.2336767647796,	326.66815131170756,	37.497489618060385,	378.0347071258235,	415.5321967438839,	103.6609687693625,	768.1440000000003,	871.8049687693629,	4870.146256069363,	67574.83609344001,	72444.98234950937,	
Conv1_3,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3189.0061400400004,	3634.17090644,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	534.0062178400001,	534.0062178400001,	534.0062178400001,	1602.0186535200003,	1629.9586268200003,	0.5019417358771531,	4.2625671641791065,	4.76450890005626,	0.056468445286179725,	4.2625671641791065,	4.319035609465287,	2.968378824467361,	19.451453582089563,	22.419832406556925,	2.0078977037783337,	27.11066208955225,	29.118559793330583,	5.534686709409028,	55.087250000000026,	60.621936709409056,	478.639426409409,	4846.1120435600005,	5324.751469969409,	
Conv2_3,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	44467.92919296,	47272.21934896,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	7446.254300160001,	7446.254300160001,	7446.254300160001,	22338.762900480004,	24300.958031780003,	9.373761917505833,	59.43780805469861,	68.81156997220444,	1.3552426868683134,	59.43780805469861,	60.79305074156692,	55.43447454692796,	271.2336767647796,	326.66815131170756,	37.497489618060385,	378.0347071258235,	415.5321967438839,	103.6609687693625,	768.1440000000003,	871.8049687693629,	4870.146256069363,	67574.83609344001,	72444.98234950937,	
Conv1_4,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3189.0061400400004,	3634.17090644,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	534.0062178400001,	534.0062178400001,	534.0062178400001,	1602.0186535200003,	1629.9586268200003,	0.5019417358771531,	4.2625671641791065,	4.76450890005626,	0.056468445286179725,	4.2625671641791065,	4.319035609465287,	2.968378824467361,	19.451453582089563,	22.419832406556925,	2.0078977037783337,	27.11066208955225,	29.118559793330583,	5.534686709409028,	55.087250000000026,	60.621936709409056,	478.639426409409,	4846.1120435600005,	5324.751469969409,	
Conv2_4,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	44467.92919296,	47272.21934896,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	7446.254300160001,	7446.254300160001,	7446.254300160001,	22338.762900480004,	24300.958031780003,	9.373761917505833,	59.43780805469861,	68.81156997220444,	1.3552426868683134,	59.43780805469861,	60.79305074156692,	55.43447454692796,	271.2336767647796,	326.66815131170756,	37.497489618060385,	378.0347071258235,	415.5321967438839,	103.6609687693625,	768.1440000000003,	871.8049687693629,	4870.146256069363,	67574.83609344001,	72444.98234950937,	
