Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
FC3_3,	GEMM,	0.028291745630316157,	7.0855696230384355,	0.0,	0.06306639360014443,	7.176927762268896,	0.03891873332771625,	0.5323075530412453,	0.04286139131439576,	0.04921537878831648,	0.6633030564716739,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.65980065647165,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.020389442093917996,	2.173346768948554,	2.1937362110424723,	0.013792011189490076,	3.0291242558158933,	3.042916267005383,	0.03981102871242266,	6.155000000000002,	6.194811028712425,	7.880041847452992,	185.15149759999997,	193.03153944745296,	
FC3_4,	GEMM,	0.028291745630316157,	7.0855696230384355,	0.0,	0.06306639360014443,	7.176927762268896,	0.03891873332771625,	0.5323075530412453,	0.04286139131439576,	0.04921537878831648,	0.6633030564716739,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.65980065647165,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.020389442093917996,	2.173346768948554,	2.1937362110424723,	0.013792011189490076,	3.0291242558158933,	3.042916267005383,	0.03981102871242266,	6.155000000000002,	6.194811028712425,	7.880041847452992,	185.15149759999997,	193.03153944745296,	
FC3_5,	GEMM,	0.028291745630316157,	7.0855696230384355,	0.0,	0.06306639360014443,	7.176927762268896,	0.03891873332771625,	0.5323075530412453,	0.04286139131439576,	0.04921537878831648,	0.6633030564716739,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.65980065647165,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.020389442093917996,	2.173346768948554,	2.1937362110424723,	0.013792011189490076,	3.0291242558158933,	3.042916267005383,	0.03981102871242266,	6.155000000000002,	6.194811028712425,	7.880041847452992,	185.15149759999997,	193.03153944745296,	
FC3_6,	GEMM,	0.028291745630316157,	7.0855696230384355,	0.0,	0.06306639360014443,	7.176927762268896,	0.03891873332771625,	0.5323075530412453,	0.04286139131439576,	0.04921537878831648,	0.6633030564716739,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.65980065647165,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.020389442093917996,	2.173346768948554,	2.1937362110424723,	0.013792011189490076,	3.0291242558158933,	3.042916267005383,	0.03981102871242266,	6.155000000000002,	6.194811028712425,	7.880041847452992,	185.15149759999997,	193.03153944745296,	
FC3_7,	GEMM,	0.028291745630316157,	7.0855696230384355,	0.0,	0.06306639360014443,	7.176927762268896,	0.03891873332771625,	0.5323075530412453,	0.04286139131439576,	0.04921537878831648,	0.6633030564716739,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.65980065647165,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.020389442093917996,	2.173346768948554,	2.1937362110424723,	0.013792011189490076,	3.0291242558158933,	3.042916267005383,	0.03981102871242266,	6.155000000000002,	6.194811028712425,	7.880041847452992,	185.15149759999997,	193.03153944745296,	
FC3_8,	GEMM,	0.028291745630316157,	7.0855696230384355,	0.0,	0.06306639360014443,	7.176927762268896,	0.03891873332771625,	0.5323075530412453,	0.04286139131439576,	0.04921537878831648,	0.6633030564716739,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.65980065647165,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.020389442093917996,	2.173346768948554,	2.1937362110424723,	0.013792011189490076,	3.0291242558158933,	3.042916267005383,	0.03981102871242266,	6.155000000000002,	6.194811028712425,	7.880041847452992,	185.15149759999997,	193.03153944745296,	
FC3_9,	GEMM,	0.028291745630316157,	7.0855696230384355,	0.0,	0.06306639360014443,	7.176927762268896,	0.03891873332771625,	0.5323075530412453,	0.04286139131439576,	0.04921537878831648,	0.6633030564716739,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.65980065647165,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.0028147877145072954,	0.47626448761777723,	0.47907927533228456,	0.020389442093917996,	2.173346768948554,	2.1937362110424723,	0.013792011189490076,	3.0291242558158933,	3.042916267005383,	0.03981102871242266,	6.155000000000002,	6.194811028712425,	7.880041847452992,	185.15149759999997,	193.03153944745296,	
RNN4_FG_0,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	185.15149759999997,	194.55492998098816,	
RNN4_NG_0,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	185.15149759999997,	194.55492998098816,	
RNN4_ptwise1_0,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	185.15149760000003,	188.3469231910403,	
RNN4_ptwise2_0,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	185.15149760000003,	188.3469231910403,	
RNN4_FG_1,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	185.15149759999997,	194.55492998098816,	
RNN4_NG_1,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	185.15149759999997,	194.55492998098816,	
RNN4_ptwise1_1,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	185.15149760000003,	188.3469231910403,	
RNN4_ptwise2_1,	GEMM,	1.3566220741275166,	1.3566220741275166,	0.0,	0.1749557251342282,	2.888199873389261,	0.10118390369127517,	0.10118390369127517,	0.007779564261744966,	0.011188799697986576,	0.2213361713422819,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	179.2178337713423,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.007209096072329581,	0.47626448761777723,	0.4834735836901068,	0.0426330918413433,	2.173346768948554,	2.2159798607898975,	0.028838262322722373,	3.0291242558158933,	3.057962518138616,	0.08588954630872483,	6.155000000000002,	6.240889546308727,	3.195425591040268,	185.15149760000003,	188.3469231910403,	
RNN4_FG_2,	GEMM,	0.13162847975953346,	8.415451239673043,	0.0,	0.02590103800877997,	8.572980757441357,	0.048764999010614596,	0.6322170787576987,	0.05055258930153321,	0.05419974725920586,	0.7857344143290526,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	179.78223201432905,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.0035190516143923057,	0.47626448761777723,	0.47978353923216954,	0.02247581293116552,	2.173346768948554,	2.1958225818797197,	0.015203293057831491,	3.0291242558158933,	3.0443275488737243,	0.04471720921778162,	6.155000000000002,	6.199717209217783,	9.40343238098819,	185.15149759999997,	194.55492998098816,	
