Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
RNN4_FG_3,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_NG_3,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_ptwise1_3,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_ptwise2_3,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_FG_4,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_NG_4,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_ptwise1_4,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_ptwise2_4,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_FG_5,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_NG_5,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_ptwise1_5,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_ptwise2_5,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_FG_6,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_NG_6,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_ptwise1_6,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_ptwise2_6,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_FG_7,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_NG_7,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_ptwise1_7,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_ptwise2_7,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_FG_8,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_NG_8,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_ptwise1_8,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_ptwise2_8,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_FG_9,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_NG_9,	GEMM,	0.015621712691754847,	0.9997896122723102,	0.0,	0.0031243425383509693,	1.018535667502416,	0.07810856345877423,	0.9997896122723102,	0.08123290599712521,	0.08435724853547617,	1.2434883302636859,	
RNN4_ptwise1_9,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
RNN4_ptwise2_9,	GEMM,	0.16001246919567955,	0.16001246919567955,	0.0,	0.002500194831182493,	0.32252513322254156,	0.16001246919567955,	0.16001246919567955,	0.012500974155912463,	0.015001168987094957,	0.3475270815343665,	
FC5,	GEMM,	0.11630174590320123,	0.5815087295160062,	0.0,	0.009086073898687597,	0.7068965493178949,	0.11630174590320123,	0.5815087295160062,	0.045430369493437976,	0.05451644339212557,	0.7977572883047709,	
FC6,	GEMM,	0.1462690669334739,	0.2925381338669478,	0.0,	0.00457090834167106,	0.4433781091420928,	0.1462690669334739,	0.2925381338669478,	0.0228545417083553,	0.02742545005002636,	0.4890871925588034,	
eyeriss_08b_bp_001c_uBrain_ddr3_w__spm,	All,	0.030784647925078606,	0.8256458630407347,	0.0,	0.04284851006291639,	0.8992790210287297,	0.42183709748046355,	0.8256458630407347,	0.3455523206585857,	0.3884008307215021,	1.9814361119012862,	
