Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_0,	GEMM,	4.392626138357542,	5.641911555117319,	0.0,	43.14897364431285,	53.18351133778771,	356.3135352,	409.4970465377877,	0.9632425718100559,	0.16615718494692738,	0.0,	2.208568561793296,	3.3379683185502795,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	182.3344659185503,	0.05996661464655262,	0.47626448761777723,	0.5362311022643298,	0.006746244147737171,	0.47626448761777723,	0.4830107317655144,	0.3546300623532655,	2.173346768948554,	2.52797683130182,	0.23988208042066853,	3.0291242558158933,	3.269006336236562,	0.6612250015682238,	6.155000000000002,	6.816225001568226,	57.182704657906214,	541.4650328,	598.6477374579063,	
Conv2_0,	GEMM,	4.930456914395832,	12.90849147765625,	0.0,	6.18739174659375,	24.026340138645832,	356.3135352,	380.3398753386458,	4.121728937502604,	1.738365470625,	5.145714167343749,	5.805707002593749,	16.811515578065105,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	195.80801317806512,	0.08031165809529738,	0.47626448761777723,	0.5565761457130747,	0.011611324061970706,	0.47626448761777723,	0.487875811679748,	0.4749464095296692,	2.173346768948554,	2.6482931784782235,	0.3212675542797361,	3.0291242558158933,	3.35039181009563,	0.8881369459666734,	6.155000000000002,	7.043136945966675,	41.72599266267761,	541.4650328,	583.1910254626777,	
Conv1_1,	GEMM,	4.392626138357542,	5.641911555117319,	0.0,	43.14897364431285,	53.18351133778771,	356.3135352,	409.4970465377877,	0.9632425718100559,	0.16615718494692738,	0.0,	2.208568561793296,	3.3379683185502795,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	182.3344659185503,	0.05996661464655262,	0.47626448761777723,	0.5362311022643298,	0.006746244147737171,	0.47626448761777723,	0.4830107317655144,	0.3546300623532655,	2.173346768948554,	2.52797683130182,	0.23988208042066853,	3.0291242558158933,	3.269006336236562,	0.6612250015682238,	6.155000000000002,	6.816225001568226,	57.182704657906214,	541.4650328,	598.6477374579063,	
Conv2_1,	GEMM,	4.930456914395832,	12.90849147765625,	0.0,	6.18739174659375,	24.026340138645832,	356.3135352,	380.3398753386458,	4.121728937502604,	1.738365470625,	5.145714167343749,	5.805707002593749,	16.811515578065105,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	195.80801317806512,	0.08031165809529738,	0.47626448761777723,	0.5565761457130747,	0.011611324061970706,	0.47626448761777723,	0.487875811679748,	0.4749464095296692,	2.173346768948554,	2.6482931784782235,	0.3212675542797361,	3.0291242558158933,	3.35039181009563,	0.8881369459666734,	6.155000000000002,	7.043136945966675,	41.72599266267761,	541.4650328,	583.1910254626777,	
Conv1_2,	GEMM,	4.392626138357542,	5.641911555117319,	0.0,	43.14897364431285,	53.18351133778771,	356.3135352,	409.4970465377877,	0.9632425718100559,	0.16615718494692738,	0.0,	2.208568561793296,	3.3379683185502795,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	182.3344659185503,	0.05996661464655262,	0.47626448761777723,	0.5362311022643298,	0.006746244147737171,	0.47626448761777723,	0.4830107317655144,	0.3546300623532655,	2.173346768948554,	2.52797683130182,	0.23988208042066853,	3.0291242558158933,	3.269006336236562,	0.6612250015682238,	6.155000000000002,	6.816225001568226,	57.182704657906214,	541.4650328,	598.6477374579063,	
Conv2_2,	GEMM,	4.930456914395832,	12.90849147765625,	0.0,	6.18739174659375,	24.026340138645832,	356.3135352,	380.3398753386458,	4.121728937502604,	1.738365470625,	5.145714167343749,	5.805707002593749,	16.811515578065105,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	195.80801317806512,	0.08031165809529738,	0.47626448761777723,	0.5565761457130747,	0.011611324061970706,	0.47626448761777723,	0.487875811679748,	0.4749464095296692,	2.173346768948554,	2.6482931784782235,	0.3212675542797361,	3.0291242558158933,	3.35039181009563,	0.8881369459666734,	6.155000000000002,	7.043136945966675,	41.72599266267761,	541.4650328,	583.1910254626777,	
Conv1_3,	GEMM,	4.392626138357542,	5.641911555117319,	0.0,	43.14897364431285,	53.18351133778771,	356.3135352,	409.4970465377877,	0.9632425718100559,	0.16615718494692738,	0.0,	2.208568561793296,	3.3379683185502795,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	182.3344659185503,	0.05996661464655262,	0.47626448761777723,	0.5362311022643298,	0.006746244147737171,	0.47626448761777723,	0.4830107317655144,	0.3546300623532655,	2.173346768948554,	2.52797683130182,	0.23988208042066853,	3.0291242558158933,	3.269006336236562,	0.6612250015682238,	6.155000000000002,	6.816225001568226,	57.182704657906214,	541.4650328,	598.6477374579063,	
Conv2_3,	GEMM,	4.930456914395832,	12.90849147765625,	0.0,	6.18739174659375,	24.026340138645832,	356.3135352,	380.3398753386458,	4.121728937502604,	1.738365470625,	5.145714167343749,	5.805707002593749,	16.811515578065105,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	195.80801317806512,	0.08031165809529738,	0.47626448761777723,	0.5565761457130747,	0.011611324061970706,	0.47626448761777723,	0.487875811679748,	0.4749464095296692,	2.173346768948554,	2.6482931784782235,	0.3212675542797361,	3.0291242558158933,	3.35039181009563,	0.8881369459666734,	6.155000000000002,	7.043136945966675,	41.72599266267761,	541.4650328,	583.1910254626777,	
Conv1_4,	GEMM,	4.392626138357542,	5.641911555117319,	0.0,	43.14897364431285,	53.18351133778771,	356.3135352,	409.4970465377877,	0.9632425718100559,	0.16615718494692738,	0.0,	2.208568561793296,	3.3379683185502795,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	182.3344659185503,	0.05996661464655262,	0.47626448761777723,	0.5362311022643298,	0.006746244147737171,	0.47626448761777723,	0.4830107317655144,	0.3546300623532655,	2.173346768948554,	2.52797683130182,	0.23988208042066853,	3.0291242558158933,	3.269006336236562,	0.6612250015682238,	6.155000000000002,	6.816225001568226,	57.182704657906214,	541.4650328,	598.6477374579063,	
Conv2_4,	GEMM,	4.930456914395832,	12.90849147765625,	0.0,	6.18739174659375,	24.026340138645832,	356.3135352,	380.3398753386458,	4.121728937502604,	1.738365470625,	5.145714167343749,	5.805707002593749,	16.811515578065105,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	195.80801317806512,	0.08031165809529738,	0.47626448761777723,	0.5565761457130747,	0.011611324061970706,	0.47626448761777723,	0.487875811679748,	0.4749464095296692,	2.173346768948554,	2.6482931784782235,	0.3212675542797361,	3.0291242558158933,	3.35039181009563,	0.8881369459666734,	6.155000000000002,	7.043136945966675,	41.72599266267761,	541.4650328,	583.1910254626777,	
Conv1_5,	GEMM,	4.392626138357542,	5.641911555117319,	0.0,	43.14897364431285,	53.18351133778771,	356.3135352,	409.4970465377877,	0.9632425718100559,	0.16615718494692738,	0.0,	2.208568561793296,	3.3379683185502795,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	182.3344659185503,	0.05996661464655262,	0.47626448761777723,	0.5362311022643298,	0.006746244147737171,	0.47626448761777723,	0.4830107317655144,	0.3546300623532655,	2.173346768948554,	2.52797683130182,	0.23988208042066853,	3.0291242558158933,	3.269006336236562,	0.6612250015682238,	6.155000000000002,	6.816225001568226,	57.182704657906214,	541.4650328,	598.6477374579063,	
Conv2_5,	GEMM,	4.930456914395832,	12.90849147765625,	0.0,	6.18739174659375,	24.026340138645832,	356.3135352,	380.3398753386458,	4.121728937502604,	1.738365470625,	5.145714167343749,	5.805707002593749,	16.811515578065105,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	195.80801317806512,	0.08031165809529738,	0.47626448761777723,	0.5565761457130747,	0.011611324061970706,	0.47626448761777723,	0.487875811679748,	0.4749464095296692,	2.173346768948554,	2.6482931784782235,	0.3212675542797361,	3.0291242558158933,	3.35039181009563,	0.8881369459666734,	6.155000000000002,	7.043136945966675,	41.72599266267761,	541.4650328,	583.1910254626777,	
Conv1_6,	GEMM,	4.392626138357542,	5.641911555117319,	0.0,	43.14897364431285,	53.18351133778771,	356.3135352,	409.4970465377877,	0.9632425718100559,	0.16615718494692738,	0.0,	2.208568561793296,	3.3379683185502795,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	182.3344659185503,	0.05996661464655262,	0.47626448761777723,	0.5362311022643298,	0.006746244147737171,	0.47626448761777723,	0.4830107317655144,	0.3546300623532655,	2.173346768948554,	2.52797683130182,	0.23988208042066853,	3.0291242558158933,	3.269006336236562,	0.6612250015682238,	6.155000000000002,	6.816225001568226,	57.182704657906214,	541.4650328,	598.6477374579063,	
Conv2_6,	GEMM,	4.930456914395832,	12.90849147765625,	0.0,	6.18739174659375,	24.026340138645832,	356.3135352,	380.3398753386458,	4.121728937502604,	1.738365470625,	5.145714167343749,	5.805707002593749,	16.811515578065105,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	195.80801317806512,	0.08031165809529738,	0.47626448761777723,	0.5565761457130747,	0.011611324061970706,	0.47626448761777723,	0.487875811679748,	0.4749464095296692,	2.173346768948554,	2.6482931784782235,	0.3212675542797361,	3.0291242558158933,	3.35039181009563,	0.8881369459666734,	6.155000000000002,	7.043136945966675,	41.72599266267761,	541.4650328,	583.1910254626777,	
Conv1_7,	GEMM,	4.392626138357542,	5.641911555117319,	0.0,	43.14897364431285,	53.18351133778771,	356.3135352,	409.4970465377877,	0.9632425718100559,	0.16615718494692738,	0.0,	2.208568561793296,	3.3379683185502795,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	182.3344659185503,	0.05996661464655262,	0.47626448761777723,	0.5362311022643298,	0.006746244147737171,	0.47626448761777723,	0.4830107317655144,	0.3546300623532655,	2.173346768948554,	2.52797683130182,	0.23988208042066853,	3.0291242558158933,	3.269006336236562,	0.6612250015682238,	6.155000000000002,	6.816225001568226,	57.182704657906214,	541.4650328,	598.6477374579063,	
Conv2_7,	GEMM,	4.930456914395832,	12.90849147765625,	0.0,	6.18739174659375,	24.026340138645832,	356.3135352,	380.3398753386458,	4.121728937502604,	1.738365470625,	5.145714167343749,	5.805707002593749,	16.811515578065105,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	195.80801317806512,	0.08031165809529738,	0.47626448761777723,	0.5565761457130747,	0.011611324061970706,	0.47626448761777723,	0.487875811679748,	0.4749464095296692,	2.173346768948554,	2.6482931784782235,	0.3212675542797361,	3.0291242558158933,	3.35039181009563,	0.8881369459666734,	6.155000000000002,	7.043136945966675,	41.72599266267761,	541.4650328,	583.1910254626777,	
Conv1_8,	GEMM,	4.392626138357542,	5.641911555117319,	0.0,	43.14897364431285,	53.18351133778771,	356.3135352,	409.4970465377877,	0.9632425718100559,	0.16615718494692738,	0.0,	2.208568561793296,	3.3379683185502795,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	182.3344659185503,	0.05996661464655262,	0.47626448761777723,	0.5362311022643298,	0.006746244147737171,	0.47626448761777723,	0.4830107317655144,	0.3546300623532655,	2.173346768948554,	2.52797683130182,	0.23988208042066853,	3.0291242558158933,	3.269006336236562,	0.6612250015682238,	6.155000000000002,	6.816225001568226,	57.182704657906214,	541.4650328,	598.6477374579063,	
