Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_0,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	499.42129328033667,	499.42129328033667,	499.42129328033667,	1498.26387984101,	1526.20385314101,	0.5019417358771531,	3.986501907111626,	4.488443642988779,	0.056468445286179725,	3.986501907111626,	4.0429703523978056,	2.968378824467361,	18.191679758793136,	21.160058583260497,	2.0078977037783337,	25.354839457144955,	27.362737160923288,	5.534686709409028,	51.51952303016134,	57.05420973957037,	844.361054809409,	1549.7834028711713,	2394.14445768058,	
Conv2_0,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6963.997475015198,	6963.997475015198,	6963.997475015198,	20891.992425045595,	22854.187556345594,	9.373761917505833,	55.588317095813515,	64.96207901331935,	1.3552426868683134,	55.588317095813515,	56.94355978268183,	55.43447454692796,	253.6672216645121,	309.10169621144007,	37.497489618060385,	353.5512809219766,	391.048770540037,	103.6609687693625,	718.3951367781158,	822.0561055474783,	7118.692207069363,	21610.38756182371,	28729.079768893072,	
Conv1_1,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	499.42129328033667,	499.42129328033667,	499.42129328033667,	1498.26387984101,	1526.20385314101,	0.5019417358771531,	3.986501907111626,	4.488443642988779,	0.056468445286179725,	3.986501907111626,	4.0429703523978056,	2.968378824467361,	18.191679758793136,	21.160058583260497,	2.0078977037783337,	25.354839457144955,	27.362737160923288,	5.534686709409028,	51.51952303016134,	57.05420973957037,	844.361054809409,	1549.7834028711713,	2394.14445768058,	
Conv2_1,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6963.997475015198,	6963.997475015198,	6963.997475015198,	20891.992425045595,	22854.187556345594,	9.373761917505833,	55.588317095813515,	64.96207901331935,	1.3552426868683134,	55.588317095813515,	56.94355978268183,	55.43447454692796,	253.6672216645121,	309.10169621144007,	37.497489618060385,	353.5512809219766,	391.048770540037,	103.6609687693625,	718.3951367781158,	822.0561055474783,	7118.692207069363,	21610.38756182371,	28729.079768893072,	
Conv1_2,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	499.42129328033667,	499.42129328033667,	499.42129328033667,	1498.26387984101,	1526.20385314101,	0.5019417358771531,	3.986501907111626,	4.488443642988779,	0.056468445286179725,	3.986501907111626,	4.0429703523978056,	2.968378824467361,	18.191679758793136,	21.160058583260497,	2.0078977037783337,	25.354839457144955,	27.362737160923288,	5.534686709409028,	51.51952303016134,	57.05420973957037,	844.361054809409,	1549.7834028711713,	2394.14445768058,	
Conv2_2,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6963.997475015198,	6963.997475015198,	6963.997475015198,	20891.992425045595,	22854.187556345594,	9.373761917505833,	55.588317095813515,	64.96207901331935,	1.3552426868683134,	55.588317095813515,	56.94355978268183,	55.43447454692796,	253.6672216645121,	309.10169621144007,	37.497489618060385,	353.5512809219766,	391.048770540037,	103.6609687693625,	718.3951367781158,	822.0561055474783,	7118.692207069363,	21610.38756182371,	28729.079768893072,	
Conv1_3,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	499.42129328033667,	499.42129328033667,	499.42129328033667,	1498.26387984101,	1526.20385314101,	0.5019417358771531,	3.986501907111626,	4.488443642988779,	0.056468445286179725,	3.986501907111626,	4.0429703523978056,	2.968378824467361,	18.191679758793136,	21.160058583260497,	2.0078977037783337,	25.354839457144955,	27.362737160923288,	5.534686709409028,	51.51952303016134,	57.05420973957037,	844.361054809409,	1549.7834028711713,	2394.14445768058,	
Conv2_3,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6963.997475015198,	6963.997475015198,	6963.997475015198,	20891.992425045595,	22854.187556345594,	9.373761917505833,	55.588317095813515,	64.96207901331935,	1.3552426868683134,	55.588317095813515,	56.94355978268183,	55.43447454692796,	253.6672216645121,	309.10169621144007,	37.497489618060385,	353.5512809219766,	391.048770540037,	103.6609687693625,	718.3951367781158,	822.0561055474783,	7118.692207069363,	21610.38756182371,	28729.079768893072,	
Conv1_4,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	499.42129328033667,	499.42129328033667,	499.42129328033667,	1498.26387984101,	1526.20385314101,	0.5019417358771531,	3.986501907111626,	4.488443642988779,	0.056468445286179725,	3.986501907111626,	4.0429703523978056,	2.968378824467361,	18.191679758793136,	21.160058583260497,	2.0078977037783337,	25.354839457144955,	27.362737160923288,	5.534686709409028,	51.51952303016134,	57.05420973957037,	844.361054809409,	1549.7834028711713,	2394.14445768058,	
Conv2_4,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6963.997475015198,	6963.997475015198,	6963.997475015198,	20891.992425045595,	22854.187556345594,	9.373761917505833,	55.588317095813515,	64.96207901331935,	1.3552426868683134,	55.588317095813515,	56.94355978268183,	55.43447454692796,	253.6672216645121,	309.10169621144007,	37.497489618060385,	353.5512809219766,	391.048770540037,	103.6609687693625,	718.3951367781158,	822.0561055474783,	7118.692207069363,	21610.38756182371,	28729.079768893072,	
