Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
RNN4_FG_2,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_NG_2,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_ptwise1_2,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_ptwise2_2,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_FG_3,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_NG_3,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_ptwise1_3,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_ptwise2_3,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_FG_4,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_NG_4,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_ptwise1_4,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_ptwise2_4,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_FG_5,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_NG_5,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_ptwise1_5,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_ptwise2_5,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_FG_6,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_NG_6,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_ptwise1_6,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_ptwise2_6,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_FG_7,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_NG_7,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_ptwise1_7,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_ptwise2_7,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_FG_8,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_NG_8,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_ptwise1_8,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_ptwise2_8,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_FG_9,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_NG_9,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_ptwise1_9,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_ptwise2_9,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
FC5,	GEMM,	205.0,	6.40625e-06,	156097.56097560975,	
FC6,	GEMM,	163.0,	5.09375e-06,	196319.01840490798,	
eyeriss_08b_bp_001c_uBrain_t9_ddr3_w__spm,	All,	2434928.0,	0.07609149999999994,	13.14207237339257,	
