Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	1.11875e-05,	89385.4748603352,	
Conv2_0,	GEMM,	4704.0,	0.000147,	6802.721088435374,	
Conv1_1,	GEMM,	358.0,	1.11875e-05,	89385.4748603352,	
Conv2_1,	GEMM,	4704.0,	0.000147,	6802.721088435374,	
Conv1_2,	GEMM,	358.0,	1.11875e-05,	89385.4748603352,	
Conv2_2,	GEMM,	4704.0,	0.000147,	6802.721088435374,	
Conv1_3,	GEMM,	358.0,	1.11875e-05,	89385.4748603352,	
Conv2_3,	GEMM,	4704.0,	0.000147,	6802.721088435374,	
Conv1_4,	GEMM,	358.0,	1.11875e-05,	89385.4748603352,	
Conv2_4,	GEMM,	4704.0,	0.000147,	6802.721088435374,	
Conv1_5,	GEMM,	358.0,	1.11875e-05,	89385.4748603352,	
Conv2_5,	GEMM,	4704.0,	0.000147,	6802.721088435374,	
Conv1_6,	GEMM,	358.0,	1.11875e-05,	89385.4748603352,	
Conv2_6,	GEMM,	4704.0,	0.000147,	6802.721088435374,	
Conv1_7,	GEMM,	358.0,	1.11875e-05,	89385.4748603352,	
Conv2_7,	GEMM,	4704.0,	0.000147,	6802.721088435374,	
Conv1_8,	GEMM,	358.0,	1.11875e-05,	89385.4748603352,	
Conv2_8,	GEMM,	4704.0,	0.000147,	6802.721088435374,	
Conv1_9,	GEMM,	358.0,	1.11875e-05,	89385.4748603352,	
Conv2_9,	GEMM,	4704.0,	0.000147,	6802.721088435374,	
FC3_0,	GEMM,	222834.0,	0.0069635625,	143.60465638098316,	
FC3_1,	GEMM,	222834.0,	0.0069635625,	143.60465638098316,	
FC3_2,	GEMM,	222834.0,	0.0069635625,	143.60465638098316,	
FC3_3,	GEMM,	222834.0,	0.0069635625,	143.60465638098316,	
FC3_4,	GEMM,	222834.0,	0.0069635625,	143.60465638098316,	
FC3_5,	GEMM,	222834.0,	0.0069635625,	143.60465638098316,	
FC3_6,	GEMM,	222834.0,	0.0069635625,	143.60465638098316,	
FC3_7,	GEMM,	222834.0,	0.0069635625,	143.60465638098316,	
FC3_8,	GEMM,	222834.0,	0.0069635625,	143.60465638098316,	
FC3_9,	GEMM,	222834.0,	0.0069635625,	143.60465638098316,	
RNN4_FG_0,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_NG_0,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_ptwise1_0,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_ptwise2_0,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_FG_1,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_NG_1,	GEMM,	7631.0,	0.00023846875,	4193.4215699122005,	
RNN4_ptwise1_1,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
RNN4_ptwise2_1,	GEMM,	149.0,	4.65625e-06,	214765.10067114094,	
