Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.009157138163816997,	0.011987526323542249,	0.0,	0.09590021058833799,	0.11704487507569723,	0.10788773691188025,	0.011987526323542249,	0.0,	0.09590021058833799,	0.2157754738237605,	
Conv2_0,	GEMM,	0.01050722904694386,	0.02750983605018029,	0.0,	0.013754918025090145,	0.051771983122214295,	0.18569139333871695,	0.02750983605018029,	0.1513040982759916,	0.16505901630108175,	0.5295643439659706,	
Conv1_1,	GEMM,	0.009157138163816997,	0.011987526323542249,	0.0,	0.09590021058833799,	0.11704487507569723,	0.10788773691188025,	0.011987526323542249,	0.0,	0.09590021058833799,	0.2157754738237605,	
Conv2_1,	GEMM,	0.01050722904694386,	0.02750983605018029,	0.0,	0.013754918025090145,	0.051771983122214295,	0.18569139333871695,	0.02750983605018029,	0.1513040982759916,	0.16505901630108175,	0.5295643439659706,	
Conv1_2,	GEMM,	0.009157138163816997,	0.011987526323542249,	0.0,	0.09590021058833799,	0.11704487507569723,	0.10788773691188025,	0.011987526323542249,	0.0,	0.09590021058833799,	0.2157754738237605,	
Conv2_2,	GEMM,	0.01050722904694386,	0.02750983605018029,	0.0,	0.013754918025090145,	0.051771983122214295,	0.18569139333871695,	0.02750983605018029,	0.1513040982759916,	0.16505901630108175,	0.5295643439659706,	
Conv1_3,	GEMM,	0.009157138163816997,	0.011987526323542249,	0.0,	0.09590021058833799,	0.11704487507569723,	0.10788773691188025,	0.011987526323542249,	0.0,	0.09590021058833799,	0.2157754738237605,	
Conv2_3,	GEMM,	0.01050722904694386,	0.02750983605018029,	0.0,	0.013754918025090145,	0.051771983122214295,	0.18569139333871695,	0.02750983605018029,	0.1513040982759916,	0.16505901630108175,	0.5295643439659706,	
Conv1_4,	GEMM,	0.009157138163816997,	0.011987526323542249,	0.0,	0.09590021058833799,	0.11704487507569723,	0.10788773691188025,	0.011987526323542249,	0.0,	0.09590021058833799,	0.2157754738237605,	
Conv2_4,	GEMM,	0.01050722904694386,	0.02750983605018029,	0.0,	0.013754918025090145,	0.051771983122214295,	0.18569139333871695,	0.02750983605018029,	0.1513040982759916,	0.16505901630108175,	0.5295643439659706,	
