Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	8.364485981308411e-05,	11955.307262569833,	
Conv2_0,	GEMM,	4992.0,	0.0011663551401869159,	857.3717948717949,	
Conv1_1,	GEMM,	358.0,	8.364485981308411e-05,	11955.307262569833,	
Conv2_1,	GEMM,	4992.0,	0.0011663551401869159,	857.3717948717949,	
Conv1_2,	GEMM,	358.0,	8.364485981308411e-05,	11955.307262569833,	
Conv2_2,	GEMM,	4992.0,	0.0011663551401869159,	857.3717948717949,	
Conv1_3,	GEMM,	358.0,	8.364485981308411e-05,	11955.307262569833,	
Conv2_3,	GEMM,	4992.0,	0.0011663551401869159,	857.3717948717949,	
Conv1_4,	GEMM,	358.0,	8.364485981308411e-05,	11955.307262569833,	
Conv2_4,	GEMM,	4992.0,	0.0011663551401869159,	857.3717948717949,	
Conv1_5,	GEMM,	358.0,	8.364485981308411e-05,	11955.307262569833,	
Conv2_5,	GEMM,	4992.0,	0.0011663551401869159,	857.3717948717949,	
Conv1_6,	GEMM,	358.0,	8.364485981308411e-05,	11955.307262569833,	
Conv2_6,	GEMM,	4992.0,	0.0011663551401869159,	857.3717948717949,	
Conv1_7,	GEMM,	358.0,	8.364485981308411e-05,	11955.307262569833,	
Conv2_7,	GEMM,	4992.0,	0.0011663551401869159,	857.3717948717949,	
Conv1_8,	GEMM,	358.0,	8.364485981308411e-05,	11955.307262569833,	
Conv2_8,	GEMM,	4992.0,	0.0011663551401869159,	857.3717948717949,	
Conv1_9,	GEMM,	358.0,	8.364485981308411e-05,	11955.307262569833,	
Conv2_9,	GEMM,	4992.0,	0.0011663551401869159,	857.3717948717949,	
FC3_0,	GEMM,	12462.0,	0.002911682242990654,	343.44406997271705,	
FC3_1,	GEMM,	12462.0,	0.002911682242990654,	343.44406997271705,	
FC3_2,	GEMM,	12462.0,	0.002911682242990654,	343.44406997271705,	
FC3_3,	GEMM,	12462.0,	0.002911682242990654,	343.44406997271705,	
FC3_4,	GEMM,	12462.0,	0.002911682242990654,	343.44406997271705,	
FC3_5,	GEMM,	12462.0,	0.002911682242990654,	343.44406997271705,	
FC3_6,	GEMM,	12462.0,	0.002911682242990654,	343.44406997271705,	
FC3_7,	GEMM,	12462.0,	0.002911682242990654,	343.44406997271705,	
FC3_8,	GEMM,	12462.0,	0.002911682242990654,	343.44406997271705,	
FC3_9,	GEMM,	12462.0,	0.002911682242990654,	343.44406997271705,	
RNN4_FG_0,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_NG_0,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_ptwise1_0,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_ptwise2_0,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_FG_1,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_NG_1,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_ptwise1_1,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_ptwise2_1,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_FG_2,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_NG_2,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
