Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_0,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	1214.85948192,	1660.02424832,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	203.43094012952383,	203.43094012952383,	203.43094012952383,	610.2928203885715,	638.2327936885715,	0.5019417358771531,	1.6238351101634692,	2.125776846040622,	0.056468445286179725,	1.6238351101634692,	1.6803035554496488,	2.968378824467361,	7.410077555081738,	10.3784563795491,	2.0078977037783337,	10.32787127221038,	12.335768975988714,	5.534686709409028,	20.985619047619057,	26.520305757028083,	478.639426409409,	1846.1379213561906,	2324.7773477655996,	
Conv2_0,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	16940.16350208,	19744.453658079998,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	2836.6683048228574,	2836.6683048228574,	2836.6683048228574,	8510.004914468573,	10472.200045768572,	9.373761917505833,	22.64297449702804,	32.016736414533874,	1.3552426868683134,	22.64297449702804,	23.99821718389635,	55.43447454692796,	103.32711495801126,	158.76158950493922,	37.497489618060385,	144.01322176221848,	181.51071138027885,	103.6609687693625,	292.6262857142858,	396.2872544836483,	4870.146256069363,	25742.794702262858,	30612.94095833222,	
Conv1_1,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	1214.85948192,	1660.02424832,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	203.43094012952383,	203.43094012952383,	203.43094012952383,	610.2928203885715,	638.2327936885715,	0.5019417358771531,	1.6238351101634692,	2.125776846040622,	0.056468445286179725,	1.6238351101634692,	1.6803035554496488,	2.968378824467361,	7.410077555081738,	10.3784563795491,	2.0078977037783337,	10.32787127221038,	12.335768975988714,	5.534686709409028,	20.985619047619057,	26.520305757028083,	478.639426409409,	1846.1379213561906,	2324.7773477655996,	
Conv2_1,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	16940.16350208,	19744.453658079998,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	2836.6683048228574,	2836.6683048228574,	2836.6683048228574,	8510.004914468573,	10472.200045768572,	9.373761917505833,	22.64297449702804,	32.016736414533874,	1.3552426868683134,	22.64297449702804,	23.99821718389635,	55.43447454692796,	103.32711495801126,	158.76158950493922,	37.497489618060385,	144.01322176221848,	181.51071138027885,	103.6609687693625,	292.6262857142858,	396.2872544836483,	4870.146256069363,	25742.794702262858,	30612.94095833222,	
Conv1_2,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	1214.85948192,	1660.02424832,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	203.43094012952383,	203.43094012952383,	203.43094012952383,	610.2928203885715,	638.2327936885715,	0.5019417358771531,	1.6238351101634692,	2.125776846040622,	0.056468445286179725,	1.6238351101634692,	1.6803035554496488,	2.968378824467361,	7.410077555081738,	10.3784563795491,	2.0078977037783337,	10.32787127221038,	12.335768975988714,	5.534686709409028,	20.985619047619057,	26.520305757028083,	478.639426409409,	1846.1379213561906,	2324.7773477655996,	
Conv2_2,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	16940.16350208,	19744.453658079998,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	2836.6683048228574,	2836.6683048228574,	2836.6683048228574,	8510.004914468573,	10472.200045768572,	9.373761917505833,	22.64297449702804,	32.016736414533874,	1.3552426868683134,	22.64297449702804,	23.99821718389635,	55.43447454692796,	103.32711495801126,	158.76158950493922,	37.497489618060385,	144.01322176221848,	181.51071138027885,	103.6609687693625,	292.6262857142858,	396.2872544836483,	4870.146256069363,	25742.794702262858,	30612.94095833222,	
Conv1_3,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	1214.85948192,	1660.02424832,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	203.43094012952383,	203.43094012952383,	203.43094012952383,	610.2928203885715,	638.2327936885715,	0.5019417358771531,	1.6238351101634692,	2.125776846040622,	0.056468445286179725,	1.6238351101634692,	1.6803035554496488,	2.968378824467361,	7.410077555081738,	10.3784563795491,	2.0078977037783337,	10.32787127221038,	12.335768975988714,	5.534686709409028,	20.985619047619057,	26.520305757028083,	478.639426409409,	1846.1379213561906,	2324.7773477655996,	
Conv2_3,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	16940.16350208,	19744.453658079998,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	2836.6683048228574,	2836.6683048228574,	2836.6683048228574,	8510.004914468573,	10472.200045768572,	9.373761917505833,	22.64297449702804,	32.016736414533874,	1.3552426868683134,	22.64297449702804,	23.99821718389635,	55.43447454692796,	103.32711495801126,	158.76158950493922,	37.497489618060385,	144.01322176221848,	181.51071138027885,	103.6609687693625,	292.6262857142858,	396.2872544836483,	4870.146256069363,	25742.794702262858,	30612.94095833222,	
Conv1_4,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	1214.85948192,	1660.02424832,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	203.43094012952383,	203.43094012952383,	203.43094012952383,	610.2928203885715,	638.2327936885715,	0.5019417358771531,	1.6238351101634692,	2.125776846040622,	0.056468445286179725,	1.6238351101634692,	1.6803035554496488,	2.968378824467361,	7.410077555081738,	10.3784563795491,	2.0078977037783337,	10.32787127221038,	12.335768975988714,	5.534686709409028,	20.985619047619057,	26.520305757028083,	478.639426409409,	1846.1379213561906,	2324.7773477655996,	
Conv2_4,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	16940.16350208,	19744.453658079998,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	2836.6683048228574,	2836.6683048228574,	2836.6683048228574,	8510.004914468573,	10472.200045768572,	9.373761917505833,	22.64297449702804,	32.016736414533874,	1.3552426868683134,	22.64297449702804,	23.99821718389635,	55.43447454692796,	103.32711495801126,	158.76158950493922,	37.497489618060385,	144.01322176221848,	181.51071138027885,	103.6609687693625,	292.6262857142858,	396.2872544836483,	4870.146256069363,	25742.794702262858,	30612.94095833222,	
