Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_5,	GEMM,	10.783861223463687,	13.85084669832402,	0.0,	105.93037719553071,	130.5650851173184,	356.3135352,	486.8786203173184,	2.364752631284916,	0.4079145293296089,	0.0,	5.422017745810055,	8.19468490642458,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	187.19118250642458,	0.14721754823212588,	0.47626448761777723,	0.623482035849903,	0.016561974176114165,	0.47626448761777723,	0.4928264617938914,	0.8706139010309298,	2.173346768948554,	3.043960669979484,	0.5889085444042598,	3.0291242558158933,	3.618032800220153,	1.6233019678434295,	6.155000000000002,	7.778301967843431,	140.38307199158643,	541.4650328,	681.8481047915865,	
Conv2_5,	GEMM,	12.104231377403844,	31.690240943509615,	0.0,	15.189996104567307,	58.98446842548077,	356.31353519999993,	415.2980036254807,	10.118810812199518,	4.267673004807692,	12.632686171875,	14.252963181490383,	41.27213317037259,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	220.2686307703726,	0.197164463409077,	0.47626448761777723,	0.6734289510268543,	0.02850570555311957,	0.47626448761777723,	0.5047701931708968,	1.1659895487635088,	2.173346768948554,	3.3393363177120627,	0.7887092167260297,	3.0291242558158933,	3.8178334725419227,	2.180368934451735,	6.155000000000002,	8.335368934451736,	102.4369705303051,	541.4650328,	643.9020033303051,	
Conv1_6,	GEMM,	10.783861223463687,	13.85084669832402,	0.0,	105.93037719553071,	130.5650851173184,	356.3135352,	486.8786203173184,	2.364752631284916,	0.4079145293296089,	0.0,	5.422017745810055,	8.19468490642458,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	187.19118250642458,	0.14721754823212588,	0.47626448761777723,	0.623482035849903,	0.016561974176114165,	0.47626448761777723,	0.4928264617938914,	0.8706139010309298,	2.173346768948554,	3.043960669979484,	0.5889085444042598,	3.0291242558158933,	3.618032800220153,	1.6233019678434295,	6.155000000000002,	7.778301967843431,	140.38307199158643,	541.4650328,	681.8481047915865,	
Conv2_6,	GEMM,	12.104231377403844,	31.690240943509615,	0.0,	15.189996104567307,	58.98446842548077,	356.31353519999993,	415.2980036254807,	10.118810812199518,	4.267673004807692,	12.632686171875,	14.252963181490383,	41.27213317037259,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	220.2686307703726,	0.197164463409077,	0.47626448761777723,	0.6734289510268543,	0.02850570555311957,	0.47626448761777723,	0.5047701931708968,	1.1659895487635088,	2.173346768948554,	3.3393363177120627,	0.7887092167260297,	3.0291242558158933,	3.8178334725419227,	2.180368934451735,	6.155000000000002,	8.335368934451736,	102.4369705303051,	541.4650328,	643.9020033303051,	
Conv1_7,	GEMM,	10.783861223463687,	13.85084669832402,	0.0,	105.93037719553071,	130.5650851173184,	356.3135352,	486.8786203173184,	2.364752631284916,	0.4079145293296089,	0.0,	5.422017745810055,	8.19468490642458,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	187.19118250642458,	0.14721754823212588,	0.47626448761777723,	0.623482035849903,	0.016561974176114165,	0.47626448761777723,	0.4928264617938914,	0.8706139010309298,	2.173346768948554,	3.043960669979484,	0.5889085444042598,	3.0291242558158933,	3.618032800220153,	1.6233019678434295,	6.155000000000002,	7.778301967843431,	140.38307199158643,	541.4650328,	681.8481047915865,	
Conv2_7,	GEMM,	12.104231377403844,	31.690240943509615,	0.0,	15.189996104567307,	58.98446842548077,	356.31353519999993,	415.2980036254807,	10.118810812199518,	4.267673004807692,	12.632686171875,	14.252963181490383,	41.27213317037259,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	220.2686307703726,	0.197164463409077,	0.47626448761777723,	0.6734289510268543,	0.02850570555311957,	0.47626448761777723,	0.5047701931708968,	1.1659895487635088,	2.173346768948554,	3.3393363177120627,	0.7887092167260297,	3.0291242558158933,	3.8178334725419227,	2.180368934451735,	6.155000000000002,	8.335368934451736,	102.4369705303051,	541.4650328,	643.9020033303051,	
Conv1_8,	GEMM,	10.783861223463687,	13.85084669832402,	0.0,	105.93037719553071,	130.5650851173184,	356.3135352,	486.8786203173184,	2.364752631284916,	0.4079145293296089,	0.0,	5.422017745810055,	8.19468490642458,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	187.19118250642458,	0.14721754823212588,	0.47626448761777723,	0.623482035849903,	0.016561974176114165,	0.47626448761777723,	0.4928264617938914,	0.8706139010309298,	2.173346768948554,	3.043960669979484,	0.5889085444042598,	3.0291242558158933,	3.618032800220153,	1.6233019678434295,	6.155000000000002,	7.778301967843431,	140.38307199158643,	541.4650328,	681.8481047915865,	
Conv2_8,	GEMM,	12.104231377403844,	31.690240943509615,	0.0,	15.189996104567307,	58.98446842548077,	356.31353519999993,	415.2980036254807,	10.118810812199518,	4.267673004807692,	12.632686171875,	14.252963181490383,	41.27213317037259,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	220.2686307703726,	0.197164463409077,	0.47626448761777723,	0.6734289510268543,	0.02850570555311957,	0.47626448761777723,	0.5047701931708968,	1.1659895487635088,	2.173346768948554,	3.3393363177120627,	0.7887092167260297,	3.0291242558158933,	3.8178334725419227,	2.180368934451735,	6.155000000000002,	8.335368934451736,	102.4369705303051,	541.4650328,	643.9020033303051,	
Conv1_9,	GEMM,	10.783861223463687,	13.85084669832402,	0.0,	105.93037719553071,	130.5650851173184,	356.3135352,	486.8786203173184,	2.364752631284916,	0.4079145293296089,	0.0,	5.422017745810055,	8.19468490642458,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	187.19118250642458,	0.14721754823212588,	0.47626448761777723,	0.623482035849903,	0.016561974176114165,	0.47626448761777723,	0.4928264617938914,	0.8706139010309298,	2.173346768948554,	3.043960669979484,	0.5889085444042598,	3.0291242558158933,	3.618032800220153,	1.6233019678434295,	6.155000000000002,	7.778301967843431,	140.38307199158643,	541.4650328,	681.8481047915865,	
Conv2_9,	GEMM,	12.104231377403844,	31.690240943509615,	0.0,	15.189996104567307,	58.98446842548077,	356.31353519999993,	415.2980036254807,	10.118810812199518,	4.267673004807692,	12.632686171875,	14.252963181490383,	41.27213317037259,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	220.2686307703726,	0.197164463409077,	0.47626448761777723,	0.6734289510268543,	0.02850570555311957,	0.47626448761777723,	0.5047701931708968,	1.1659895487635088,	2.173346768948554,	3.3393363177120627,	0.7887092167260297,	3.0291242558158933,	3.8178334725419227,	2.180368934451735,	6.155000000000002,	8.335368934451736,	102.4369705303051,	541.4650328,	643.9020033303051,	
FC3_0,	GEMM,	0.5423258841648939,	139.1779754402111,	0.0,	0.037863061821804565,	139.7581643861978,	356.3135352,	496.0716995861978,	1.3667536230781656,	18.696246037857776,	1.531557065510649,	1.5858247855623466,	23.180381512008935,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	202.17687911200892,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.6579524080620187,	2.173346768948554,	2.8312991770105724,	0.4450581302001465,	3.0291242558158933,	3.4741823860160403,	1.300738199100711,	6.155000000000002,	7.455738199100713,	164.23928409730743,	541.4650328,	705.7043168973074,	
FC3_1,	GEMM,	0.5423258841648939,	139.1779754402111,	0.0,	0.037863061821804565,	139.7581643861978,	356.3135352,	496.0716995861978,	1.3667536230781656,	18.696246037857776,	1.531557065510649,	1.5858247855623466,	23.180381512008935,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	202.17687911200892,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.6579524080620187,	2.173346768948554,	2.8312991770105724,	0.4450581302001465,	3.0291242558158933,	3.4741823860160403,	1.300738199100711,	6.155000000000002,	7.455738199100713,	164.23928409730743,	541.4650328,	705.7043168973074,	
FC3_2,	GEMM,	0.5423258841648939,	139.1779754402111,	0.0,	0.037863061821804565,	139.7581643861978,	356.3135352,	496.0716995861978,	1.3667536230781656,	18.696246037857776,	1.531557065510649,	1.5858247855623466,	23.180381512008935,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	202.17687911200892,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.6579524080620187,	2.173346768948554,	2.8312991770105724,	0.4450581302001465,	3.0291242558158933,	3.4741823860160403,	1.300738199100711,	6.155000000000002,	7.455738199100713,	164.23928409730743,	541.4650328,	705.7043168973074,	
FC3_3,	GEMM,	0.5423258841648939,	139.1779754402111,	0.0,	0.037863061821804565,	139.7581643861978,	356.3135352,	496.0716995861978,	1.3667536230781656,	18.696246037857776,	1.531557065510649,	1.5858247855623466,	23.180381512008935,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	202.17687911200892,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.6579524080620187,	2.173346768948554,	2.8312991770105724,	0.4450581302001465,	3.0291242558158933,	3.4741823860160403,	1.300738199100711,	6.155000000000002,	7.455738199100713,	164.23928409730743,	541.4650328,	705.7043168973074,	
FC3_4,	GEMM,	0.5423258841648939,	139.1779754402111,	0.0,	0.037863061821804565,	139.7581643861978,	356.3135352,	496.0716995861978,	1.3667536230781656,	18.696246037857776,	1.531557065510649,	1.5858247855623466,	23.180381512008935,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	202.17687911200892,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.6579524080620187,	2.173346768948554,	2.8312991770105724,	0.4450581302001465,	3.0291242558158933,	3.4741823860160403,	1.300738199100711,	6.155000000000002,	7.455738199100713,	164.23928409730743,	541.4650328,	705.7043168973074,	
FC3_5,	GEMM,	0.5423258841648939,	139.1779754402111,	0.0,	0.037863061821804565,	139.7581643861978,	356.3135352,	496.0716995861978,	1.3667536230781656,	18.696246037857776,	1.531557065510649,	1.5858247855623466,	23.180381512008935,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	202.17687911200892,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.6579524080620187,	2.173346768948554,	2.8312991770105724,	0.4450581302001465,	3.0291242558158933,	3.4741823860160403,	1.300738199100711,	6.155000000000002,	7.455738199100713,	164.23928409730743,	541.4650328,	705.7043168973074,	
FC3_6,	GEMM,	0.5423258841648939,	139.1779754402111,	0.0,	0.037863061821804565,	139.7581643861978,	356.3135352,	496.0716995861978,	1.3667536230781656,	18.696246037857776,	1.531557065510649,	1.5858247855623466,	23.180381512008935,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	202.17687911200892,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.6579524080620187,	2.173346768948554,	2.8312991770105724,	0.4450581302001465,	3.0291242558158933,	3.4741823860160403,	1.300738199100711,	6.155000000000002,	7.455738199100713,	164.23928409730743,	541.4650328,	705.7043168973074,	
FC3_7,	GEMM,	0.5423258841648939,	139.1779754402111,	0.0,	0.037863061821804565,	139.7581643861978,	356.3135352,	496.0716995861978,	1.3667536230781656,	18.696246037857776,	1.531557065510649,	1.5858247855623466,	23.180381512008935,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	202.17687911200892,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.6579524080620187,	2.173346768948554,	2.8312991770105724,	0.4450581302001465,	3.0291242558158933,	3.4741823860160403,	1.300738199100711,	6.155000000000002,	7.455738199100713,	164.23928409730743,	541.4650328,	705.7043168973074,	
FC3_8,	GEMM,	0.5423258841648939,	139.1779754402111,	0.0,	0.037863061821804565,	139.7581643861978,	356.3135352,	496.0716995861978,	1.3667536230781656,	18.696246037857776,	1.531557065510649,	1.5858247855623466,	23.180381512008935,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	202.17687911200892,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.6579524080620187,	2.173346768948554,	2.8312991770105724,	0.4450581302001465,	3.0291242558158933,	3.4741823860160403,	1.300738199100711,	6.155000000000002,	7.455738199100713,	164.23928409730743,	541.4650328,	705.7043168973074,	
FC3_9,	GEMM,	0.5423258841648939,	139.1779754402111,	0.0,	0.037863061821804565,	139.7581643861978,	356.3135352,	496.0716995861978,	1.3667536230781656,	18.696246037857776,	1.531557065510649,	1.5858247855623466,	23.180381512008935,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	202.17687911200892,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.09886383041927284,	0.47626448761777723,	0.5751283180370501,	0.6579524080620187,	2.173346768948554,	2.8312991770105724,	0.4450581302001465,	3.0291242558158933,	3.4741823860160403,	1.300738199100711,	6.155000000000002,	7.455738199100713,	164.23928409730743,	541.4650328,	705.7043168973074,	
RNN4_FG_0,	GEMM,	1.4411607283449088,	92.13460776805137,	0.0,	0.2781498516577119,	93.853918348054,	356.3135352,	450.16745354805397,	0.9570700740400995,	12.407998741973527,	0.992153621805792,	1.0637333574236665,	15.420955795243087,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	194.4174533952431,	0.0690654989740546,	0.47626448761777723,	0.5453299865918319,	0.0690654989740546,	0.47626448761777723,	0.5453299865918319,	0.44111408556493076,	2.173346768948554,	2.6144608545134846,	0.298382387116319,	3.0291242558158933,	3.327506642932212,	0.877627470629359,	6.155000000000002,	7.032627470629361,	110.15250161392643,	541.4650328,	651.6175344139265,	
RNN4_NG_0,	GEMM,	1.4411607283449088,	92.13460776805137,	0.0,	0.2781498516577119,	93.853918348054,	356.3135352,	450.16745354805397,	0.9570700740400995,	12.407998741973527,	0.992153621805792,	1.0637333574236665,	15.420955795243087,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	194.4174533952431,	0.0690654989740546,	0.47626448761777723,	0.5453299865918319,	0.0690654989740546,	0.47626448761777723,	0.5453299865918319,	0.44111408556493076,	2.173346768948554,	2.6144608545134846,	0.298382387116319,	3.0291242558158933,	3.327506642932212,	0.877627470629359,	6.155000000000002,	7.032627470629361,	110.15250161392643,	541.4650328,	651.6175344139265,	
RNN4_ptwise1_0,	GEMM,	14.856718912751678,	14.856718912751678,	0.0,	1.8845538120805367,	31.597991637583892,	356.3135352,	387.9115268375839,	1.9858523154362415,	1.9858523154362415,	0.15268303691275167,	0.21959326510067112,	4.3439809328859065,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.34047853288592,	0.14148693226067402,	0.47626448761777723,	0.6177514198784512,	0.14148693226067402,	0.47626448761777723,	0.6177514198784512,	0.8367242324001957,	2.173346768948554,	3.0100710013487495,	0.5659845876422148,	3.0291242558158933,	3.595108843458108,	1.6856826845637585,	6.155000000000002,	7.8406826845637605,	37.62765525503355,	541.4650327999999,	579.0926880550335,	
RNN4_ptwise2_0,	GEMM,	14.856718912751678,	14.856718912751678,	0.0,	1.8845538120805367,	31.597991637583892,	356.3135352,	387.9115268375839,	1.9858523154362415,	1.9858523154362415,	0.15268303691275167,	0.21959326510067112,	4.3439809328859065,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.34047853288592,	0.14148693226067402,	0.47626448761777723,	0.6177514198784512,	0.14148693226067402,	0.47626448761777723,	0.6177514198784512,	0.8367242324001957,	2.173346768948554,	3.0100710013487495,	0.5659845876422148,	3.0291242558158933,	3.595108843458108,	1.6856826845637585,	6.155000000000002,	7.8406826845637605,	37.62765525503355,	541.4650327999999,	579.0926880550335,	
RNN4_FG_1,	GEMM,	1.4411607283449088,	92.13460776805137,	0.0,	0.2781498516577119,	93.853918348054,	356.3135352,	450.16745354805397,	0.9570700740400995,	12.407998741973527,	0.992153621805792,	1.0637333574236665,	15.420955795243087,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	194.4174533952431,	0.0690654989740546,	0.47626448761777723,	0.5453299865918319,	0.0690654989740546,	0.47626448761777723,	0.5453299865918319,	0.44111408556493076,	2.173346768948554,	2.6144608545134846,	0.298382387116319,	3.0291242558158933,	3.327506642932212,	0.877627470629359,	6.155000000000002,	7.032627470629361,	110.15250161392643,	541.4650328,	651.6175344139265,	
RNN4_NG_1,	GEMM,	1.4411607283449088,	92.13460776805137,	0.0,	0.2781498516577119,	93.853918348054,	356.3135352,	450.16745354805397,	0.9570700740400995,	12.407998741973527,	0.992153621805792,	1.0637333574236665,	15.420955795243087,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	194.4174533952431,	0.0690654989740546,	0.47626448761777723,	0.5453299865918319,	0.0690654989740546,	0.47626448761777723,	0.5453299865918319,	0.44111408556493076,	2.173346768948554,	2.6144608545134846,	0.298382387116319,	3.0291242558158933,	3.327506642932212,	0.877627470629359,	6.155000000000002,	7.032627470629361,	110.15250161392643,	541.4650328,	651.6175344139265,	
RNN4_ptwise1_1,	GEMM,	14.856718912751678,	14.856718912751678,	0.0,	1.8845538120805367,	31.597991637583892,	356.3135352,	387.9115268375839,	1.9858523154362415,	1.9858523154362415,	0.15268303691275167,	0.21959326510067112,	4.3439809328859065,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.34047853288592,	0.14148693226067402,	0.47626448761777723,	0.6177514198784512,	0.14148693226067402,	0.47626448761777723,	0.6177514198784512,	0.8367242324001957,	2.173346768948554,	3.0100710013487495,	0.5659845876422148,	3.0291242558158933,	3.595108843458108,	1.6856826845637585,	6.155000000000002,	7.8406826845637605,	37.62765525503355,	541.4650327999999,	579.0926880550335,	
RNN4_ptwise2_1,	GEMM,	14.856718912751678,	14.856718912751678,	0.0,	1.8845538120805367,	31.597991637583892,	356.3135352,	387.9115268375839,	1.9858523154362415,	1.9858523154362415,	0.15268303691275167,	0.21959326510067112,	4.3439809328859065,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.34047853288592,	0.14148693226067402,	0.47626448761777723,	0.6177514198784512,	0.14148693226067402,	0.47626448761777723,	0.6177514198784512,	0.8367242324001957,	2.173346768948554,	3.0100710013487495,	0.5659845876422148,	3.0291242558158933,	3.595108843458108,	1.6856826845637585,	6.155000000000002,	7.8406826845637605,	37.62765525503355,	541.4650327999999,	579.0926880550335,	
RNN4_FG_2,	GEMM,	1.4411607283449088,	92.13460776805137,	0.0,	0.2781498516577119,	93.853918348054,	356.3135352,	450.16745354805397,	0.9570700740400995,	12.407998741973527,	0.992153621805792,	1.0637333574236665,	15.420955795243087,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	194.4174533952431,	0.0690654989740546,	0.47626448761777723,	0.5453299865918319,	0.0690654989740546,	0.47626448761777723,	0.5453299865918319,	0.44111408556493076,	2.173346768948554,	2.6144608545134846,	0.298382387116319,	3.0291242558158933,	3.327506642932212,	0.877627470629359,	6.155000000000002,	7.032627470629361,	110.15250161392643,	541.4650328,	651.6175344139265,	
