Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_0,	GEMM,	10.783861223463687,	13.85084669832402,	0.0,	105.93037719553071,	130.5650851173184,	356.3135352,	486.8786203173184,	2.364752631284916,	0.4079145293296089,	0.0,	5.422017745810055,	8.19468490642458,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	187.19118250642458,	0.14721754823212588,	0.47626448761777723,	0.623482035849903,	0.016561974176114165,	0.47626448761777723,	0.4928264617938914,	0.8706139010309298,	2.173346768948554,	3.043960669979484,	0.5889085444042598,	3.0291242558158933,	3.618032800220153,	1.6233019678434295,	6.155000000000002,	7.778301967843431,	140.38307199158643,	541.4650328,	681.8481047915865,	
Conv2_0,	GEMM,	12.104231377403844,	31.690240943509615,	0.0,	15.189996104567307,	58.98446842548077,	356.31353519999993,	415.2980036254807,	10.118810812199518,	4.267673004807692,	12.632686171875,	14.252963181490383,	41.27213317037259,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	220.2686307703726,	0.197164463409077,	0.47626448761777723,	0.6734289510268543,	0.02850570555311957,	0.47626448761777723,	0.5047701931708968,	1.1659895487635088,	2.173346768948554,	3.3393363177120627,	0.7887092167260297,	3.0291242558158933,	3.8178334725419227,	2.180368934451735,	6.155000000000002,	8.335368934451736,	102.4369705303051,	541.4650328,	643.9020033303051,	
Conv1_1,	GEMM,	10.783861223463687,	13.85084669832402,	0.0,	105.93037719553071,	130.5650851173184,	356.3135352,	486.8786203173184,	2.364752631284916,	0.4079145293296089,	0.0,	5.422017745810055,	8.19468490642458,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	187.19118250642458,	0.14721754823212588,	0.47626448761777723,	0.623482035849903,	0.016561974176114165,	0.47626448761777723,	0.4928264617938914,	0.8706139010309298,	2.173346768948554,	3.043960669979484,	0.5889085444042598,	3.0291242558158933,	3.618032800220153,	1.6233019678434295,	6.155000000000002,	7.778301967843431,	140.38307199158643,	541.4650328,	681.8481047915865,	
Conv2_1,	GEMM,	12.104231377403844,	31.690240943509615,	0.0,	15.189996104567307,	58.98446842548077,	356.31353519999993,	415.2980036254807,	10.118810812199518,	4.267673004807692,	12.632686171875,	14.252963181490383,	41.27213317037259,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	220.2686307703726,	0.197164463409077,	0.47626448761777723,	0.6734289510268543,	0.02850570555311957,	0.47626448761777723,	0.5047701931708968,	1.1659895487635088,	2.173346768948554,	3.3393363177120627,	0.7887092167260297,	3.0291242558158933,	3.8178334725419227,	2.180368934451735,	6.155000000000002,	8.335368934451736,	102.4369705303051,	541.4650328,	643.9020033303051,	
Conv1_2,	GEMM,	10.783861223463687,	13.85084669832402,	0.0,	105.93037719553071,	130.5650851173184,	356.3135352,	486.8786203173184,	2.364752631284916,	0.4079145293296089,	0.0,	5.422017745810055,	8.19468490642458,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	187.19118250642458,	0.14721754823212588,	0.47626448761777723,	0.623482035849903,	0.016561974176114165,	0.47626448761777723,	0.4928264617938914,	0.8706139010309298,	2.173346768948554,	3.043960669979484,	0.5889085444042598,	3.0291242558158933,	3.618032800220153,	1.6233019678434295,	6.155000000000002,	7.778301967843431,	140.38307199158643,	541.4650328,	681.8481047915865,	
Conv2_2,	GEMM,	12.104231377403844,	31.690240943509615,	0.0,	15.189996104567307,	58.98446842548077,	356.31353519999993,	415.2980036254807,	10.118810812199518,	4.267673004807692,	12.632686171875,	14.252963181490383,	41.27213317037259,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	220.2686307703726,	0.197164463409077,	0.47626448761777723,	0.6734289510268543,	0.02850570555311957,	0.47626448761777723,	0.5047701931708968,	1.1659895487635088,	2.173346768948554,	3.3393363177120627,	0.7887092167260297,	3.0291242558158933,	3.8178334725419227,	2.180368934451735,	6.155000000000002,	8.335368934451736,	102.4369705303051,	541.4650328,	643.9020033303051,	
Conv1_3,	GEMM,	10.783861223463687,	13.85084669832402,	0.0,	105.93037719553071,	130.5650851173184,	356.3135352,	486.8786203173184,	2.364752631284916,	0.4079145293296089,	0.0,	5.422017745810055,	8.19468490642458,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	187.19118250642458,	0.14721754823212588,	0.47626448761777723,	0.623482035849903,	0.016561974176114165,	0.47626448761777723,	0.4928264617938914,	0.8706139010309298,	2.173346768948554,	3.043960669979484,	0.5889085444042598,	3.0291242558158933,	3.618032800220153,	1.6233019678434295,	6.155000000000002,	7.778301967843431,	140.38307199158643,	541.4650328,	681.8481047915865,	
Conv2_3,	GEMM,	12.104231377403844,	31.690240943509615,	0.0,	15.189996104567307,	58.98446842548077,	356.31353519999993,	415.2980036254807,	10.118810812199518,	4.267673004807692,	12.632686171875,	14.252963181490383,	41.27213317037259,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	220.2686307703726,	0.197164463409077,	0.47626448761777723,	0.6734289510268543,	0.02850570555311957,	0.47626448761777723,	0.5047701931708968,	1.1659895487635088,	2.173346768948554,	3.3393363177120627,	0.7887092167260297,	3.0291242558158933,	3.8178334725419227,	2.180368934451735,	6.155000000000002,	8.335368934451736,	102.4369705303051,	541.4650328,	643.9020033303051,	
Conv1_4,	GEMM,	10.783861223463687,	13.85084669832402,	0.0,	105.93037719553071,	130.5650851173184,	356.3135352,	486.8786203173184,	2.364752631284916,	0.4079145293296089,	0.0,	5.422017745810055,	8.19468490642458,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	187.19118250642458,	0.14721754823212588,	0.47626448761777723,	0.623482035849903,	0.016561974176114165,	0.47626448761777723,	0.4928264617938914,	0.8706139010309298,	2.173346768948554,	3.043960669979484,	0.5889085444042598,	3.0291242558158933,	3.618032800220153,	1.6233019678434295,	6.155000000000002,	7.778301967843431,	140.38307199158643,	541.4650328,	681.8481047915865,	
Conv2_4,	GEMM,	12.104231377403844,	31.690240943509615,	0.0,	15.189996104567307,	58.98446842548077,	356.31353519999993,	415.2980036254807,	10.118810812199518,	4.267673004807692,	12.632686171875,	14.252963181490383,	41.27213317037259,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	220.2686307703726,	0.197164463409077,	0.47626448761777723,	0.6734289510268543,	0.02850570555311957,	0.47626448761777723,	0.5047701931708968,	1.1659895487635088,	2.173346768948554,	3.3393363177120627,	0.7887092167260297,	3.0291242558158933,	3.8178334725419227,	2.180368934451735,	6.155000000000002,	8.335368934451736,	102.4369705303051,	541.4650328,	643.9020033303051,	
