Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
FC3_6,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	24033.554782692,	40751.101282392,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	18355.34233700172,	29801.94969042,	48157.29202742172,	
FC3_7,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	24033.554782692,	40751.101282392,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	18355.34233700172,	29801.94969042,	48157.29202742172,	
FC3_8,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	24033.554782692,	40751.101282392,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	18355.34233700172,	29801.94969042,	48157.29202742172,	
FC3_9,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	24033.554782692,	40751.101282392,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	1858.878627576,	1858.878627576,	1858.878627576,	5576.635882728,	7121.698067728001,	6.556613924895312,	14.83802011173185,	21.394634036627163,	6.556613924895312,	14.83802011173185,	21.394634036627163,	47.494061191477776,	67.7106185865922,	115.20467977806999,	32.12636326045334,	94.37236618994416,	126.49872945039749,	92.73365230172175,	191.75902500000007,	284.4926773017218,	18355.34233700172,	29801.94969042,	48157.29202742172,	
RNN4_FG_0,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	14716.743423746,	26944.858593846002,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	1138.268560988,	1138.268560988,	1138.268560988,	3414.805682964,	4535.542003664,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	32.0584913042475,	41.46202298461604,	73.52051428886354,	21.685295200806003,	57.788117990327706,	79.47341319113372,	63.78262122259656,	117.42201250000004,	181.2046337225966,	13412.634112022597,	18248.97111921,	31661.6052312326,	
RNN4_NG_0,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	14716.743423746,	26944.858593846002,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	1138.268560988,	1138.268560988,	1138.268560988,	3414.805682964,	4535.542003664,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	32.0584913042475,	41.46202298461604,	73.52051428886354,	21.685295200806003,	57.788117990327706,	79.47341319113372,	63.78262122259656,	117.42201250000004,	181.2046337225966,	13412.634112022597,	18248.97111921,	31661.6052312326,	
RNN4_ptwise1_0,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	287.35352773399995,	367.79124383399994,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	22.225398452,	22.225398452,	22.225398452,	66.676195356,	72.84051115599999,	0.20077669435086123,	0.17740852163762202,	0.37818521598848326,	0.20077669435086123,	0.17740852163762202,	0.37818521598848326,	1.1873515297869444,	0.8095716714333364,	1.9969232012202807,	0.8031590815113334,	1.1283487852914202,	1.9315078668027537,	2.3920640000000004,	2.2927375000000008,	4.684801500000001,	88.99409589999999,	356.32246058999993,	445.3165564899999,	
RNN4_ptwise2_0,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	287.35352773399995,	367.79124383399994,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	22.225398452,	22.225398452,	22.225398452,	66.676195356,	72.84051115599999,	0.20077669435086123,	0.17740852163762202,	0.37818521598848326,	0.20077669435086123,	0.17740852163762202,	0.37818521598848326,	1.1873515297869444,	0.8095716714333364,	1.9969232012202807,	0.8031590815113334,	1.1283487852914202,	1.9315078668027537,	2.3920640000000004,	2.2927375000000008,	4.684801500000001,	88.99409589999999,	356.32246058999993,	445.3165564899999,	
RNN4_FG_1,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	14716.743423746,	26944.858593846002,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	1138.268560988,	1138.268560988,	1138.268560988,	3414.805682964,	4535.542003664,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	32.0584913042475,	41.46202298461604,	73.52051428886354,	21.685295200806003,	57.788117990327706,	79.47341319113372,	63.78262122259656,	117.42201250000004,	181.2046337225966,	13412.634112022597,	18248.97111921,	31661.6052312326,	
RNN4_NG_1,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	14716.743423746,	26944.858593846002,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	1138.268560988,	1138.268560988,	1138.268560988,	3414.805682964,	4535.542003664,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	5.0194173587715305,	9.085935762528145,	14.105353121299675,	32.0584913042475,	41.46202298461604,	73.52051428886354,	21.685295200806003,	57.788117990327706,	79.47341319113372,	63.78262122259656,	117.42201250000004,	181.2046337225966,	13412.634112022597,	18248.97111921,	31661.6052312326,	
