Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.0030619180735263073,	0.004008329114434438,	0.0,	0.032066632915475506,	0.03913688010343625,	0.036074962029909945,	0.004008329114434438,	0.0,	0.032066632915475506,	0.07214992405981989,	
Conv2_0,	GEMM,	0.00372845806232115,	0.009761781108622648,	0.0,	0.004880890554311324,	0.018371129725255123,	0.06589202248320288,	0.009761781108622648,	0.05368979609742456,	0.058570686651735884,	0.18791428634098595,	
Conv1_1,	GEMM,	0.0030619180735263073,	0.004008329114434438,	0.0,	0.032066632915475506,	0.03913688010343625,	0.036074962029909945,	0.004008329114434438,	0.0,	0.032066632915475506,	0.07214992405981989,	
Conv2_1,	GEMM,	0.00372845806232115,	0.009761781108622648,	0.0,	0.004880890554311324,	0.018371129725255123,	0.06589202248320288,	0.009761781108622648,	0.05368979609742456,	0.058570686651735884,	0.18791428634098595,	
Conv1_2,	GEMM,	0.0030619180735263073,	0.004008329114434438,	0.0,	0.032066632915475506,	0.03913688010343625,	0.036074962029909945,	0.004008329114434438,	0.0,	0.032066632915475506,	0.07214992405981989,	
Conv2_2,	GEMM,	0.00372845806232115,	0.009761781108622648,	0.0,	0.004880890554311324,	0.018371129725255123,	0.06589202248320288,	0.009761781108622648,	0.05368979609742456,	0.058570686651735884,	0.18791428634098595,	
Conv1_3,	GEMM,	0.0030619180735263073,	0.004008329114434438,	0.0,	0.032066632915475506,	0.03913688010343625,	0.036074962029909945,	0.004008329114434438,	0.0,	0.032066632915475506,	0.07214992405981989,	
Conv2_3,	GEMM,	0.00372845806232115,	0.009761781108622648,	0.0,	0.004880890554311324,	0.018371129725255123,	0.06589202248320288,	0.009761781108622648,	0.05368979609742456,	0.058570686651735884,	0.18791428634098595,	
Conv1_4,	GEMM,	0.0030619180735263073,	0.004008329114434438,	0.0,	0.032066632915475506,	0.03913688010343625,	0.036074962029909945,	0.004008329114434438,	0.0,	0.032066632915475506,	0.07214992405981989,	
Conv2_4,	GEMM,	0.00372845806232115,	0.009761781108622648,	0.0,	0.004880890554311324,	0.018371129725255123,	0.06589202248320288,	0.009761781108622648,	0.05368979609742456,	0.058570686651735884,	0.18791428634098595,	
Conv1_5,	GEMM,	0.0030619180735263073,	0.004008329114434438,	0.0,	0.032066632915475506,	0.03913688010343625,	0.036074962029909945,	0.004008329114434438,	0.0,	0.032066632915475506,	0.07214992405981989,	
Conv2_5,	GEMM,	0.00372845806232115,	0.009761781108622648,	0.0,	0.004880890554311324,	0.018371129725255123,	0.06589202248320288,	0.009761781108622648,	0.05368979609742456,	0.058570686651735884,	0.18791428634098595,	
Conv1_6,	GEMM,	0.0030619180735263073,	0.004008329114434438,	0.0,	0.032066632915475506,	0.03913688010343625,	0.036074962029909945,	0.004008329114434438,	0.0,	0.032066632915475506,	0.07214992405981989,	
Conv2_6,	GEMM,	0.00372845806232115,	0.009761781108622648,	0.0,	0.004880890554311324,	0.018371129725255123,	0.06589202248320288,	0.009761781108622648,	0.05368979609742456,	0.058570686651735884,	0.18791428634098595,	
Conv1_7,	GEMM,	0.0030619180735263073,	0.004008329114434438,	0.0,	0.032066632915475506,	0.03913688010343625,	0.036074962029909945,	0.004008329114434438,	0.0,	0.032066632915475506,	0.07214992405981989,	
Conv2_7,	GEMM,	0.00372845806232115,	0.009761781108622648,	0.0,	0.004880890554311324,	0.018371129725255123,	0.06589202248320288,	0.009761781108622648,	0.05368979609742456,	0.058570686651735884,	0.18791428634098595,	
Conv1_8,	GEMM,	0.0030619180735263073,	0.004008329114434438,	0.0,	0.032066632915475506,	0.03913688010343625,	0.036074962029909945,	0.004008329114434438,	0.0,	0.032066632915475506,	0.07214992405981989,	
