Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
RNN4_FG_5,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_NG_5,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_ptwise1_5,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_ptwise2_5,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_FG_6,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_NG_6,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_ptwise1_6,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_ptwise2_6,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_FG_7,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_NG_7,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_ptwise1_7,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_ptwise2_7,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_FG_8,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_NG_8,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_ptwise1_8,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_ptwise2_8,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_FG_9,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_NG_9,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_ptwise1_9,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_ptwise2_9,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
FC5,	GEMM,	205.0,	1.91588785046729e-05,	52195.12195121951,	
FC6,	GEMM,	163.0,	1.5233644859813087e-05,	65644.17177914109,	
eyeriss_08b_bp_001c_uBrain_t3_ddr3_w__spm,	All,	334088.0,	0.031223177570093425,	32.027489763176206,	
