Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
Conv1_0,	GEMM,	358.0,	3.345794392523365e-05,	29888.268156424576,	
Conv2_0,	GEMM,	4992.0,	0.0004665420560747664,	2143.4294871794873,	
Conv1_1,	GEMM,	358.0,	3.345794392523365e-05,	29888.268156424576,	
Conv2_1,	GEMM,	4992.0,	0.0004665420560747664,	2143.4294871794873,	
Conv1_2,	GEMM,	358.0,	3.345794392523365e-05,	29888.268156424576,	
Conv2_2,	GEMM,	4992.0,	0.0004665420560747664,	2143.4294871794873,	
Conv1_3,	GEMM,	358.0,	3.345794392523365e-05,	29888.268156424576,	
Conv2_3,	GEMM,	4992.0,	0.0004665420560747664,	2143.4294871794873,	
Conv1_4,	GEMM,	358.0,	3.345794392523365e-05,	29888.268156424576,	
Conv2_4,	GEMM,	4992.0,	0.0004665420560747664,	2143.4294871794873,	
Conv1_5,	GEMM,	358.0,	3.345794392523365e-05,	29888.268156424576,	
Conv2_5,	GEMM,	4992.0,	0.0004665420560747664,	2143.4294871794873,	
Conv1_6,	GEMM,	358.0,	3.345794392523365e-05,	29888.268156424576,	
Conv2_6,	GEMM,	4992.0,	0.0004665420560747664,	2143.4294871794873,	
Conv1_7,	GEMM,	358.0,	3.345794392523365e-05,	29888.268156424576,	
Conv2_7,	GEMM,	4992.0,	0.0004665420560747664,	2143.4294871794873,	
Conv1_8,	GEMM,	358.0,	3.345794392523365e-05,	29888.268156424576,	
Conv2_8,	GEMM,	4992.0,	0.0004665420560747664,	2143.4294871794873,	
Conv1_9,	GEMM,	358.0,	3.345794392523365e-05,	29888.268156424576,	
Conv2_9,	GEMM,	4992.0,	0.0004665420560747664,	2143.4294871794873,	
FC3_0,	GEMM,	12462.0,	0.0011646728971962618,	858.6101749317926,	
FC3_1,	GEMM,	12462.0,	0.0011646728971962618,	858.6101749317926,	
FC3_2,	GEMM,	12462.0,	0.0011646728971962618,	858.6101749317926,	
FC3_3,	GEMM,	12462.0,	0.0011646728971962618,	858.6101749317926,	
FC3_4,	GEMM,	12462.0,	0.0011646728971962618,	858.6101749317926,	
FC3_5,	GEMM,	12462.0,	0.0011646728971962618,	858.6101749317926,	
FC3_6,	GEMM,	12462.0,	0.0011646728971962618,	858.6101749317926,	
FC3_7,	GEMM,	12462.0,	0.0011646728971962618,	858.6101749317926,	
FC3_8,	GEMM,	12462.0,	0.0011646728971962618,	858.6101749317926,	
FC3_9,	GEMM,	12462.0,	0.0011646728971962618,	858.6101749317926,	
RNN4_FG_0,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_NG_0,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_ptwise1_0,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_ptwise2_0,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_FG_1,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_NG_1,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_ptwise1_1,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_ptwise2_1,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_FG_2,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_NG_2,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_ptwise1_2,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_ptwise2_2,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_FG_3,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_NG_3,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_ptwise1_3,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_ptwise2_3,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_FG_4,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_NG_4,	GEMM,	7631.0,	0.0007131775700934581,	1402.1753374393918,	
RNN4_ptwise1_4,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
RNN4_ptwise2_4,	GEMM,	149.0,	1.3925233644859814e-05,	71812.08053691275,	
