Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	4.531645569620253e-06,	220670.39106145254,	
Conv2_0,	GEMM,	4704.0,	5.9544303797468354e-05,	16794.21768707483,	
Conv1_1,	GEMM,	358.0,	4.531645569620253e-06,	220670.39106145254,	
Conv2_1,	GEMM,	4704.0,	5.9544303797468354e-05,	16794.21768707483,	
Conv1_2,	GEMM,	358.0,	4.531645569620253e-06,	220670.39106145254,	
Conv2_2,	GEMM,	4704.0,	5.9544303797468354e-05,	16794.21768707483,	
Conv1_3,	GEMM,	358.0,	4.531645569620253e-06,	220670.39106145254,	
Conv2_3,	GEMM,	4704.0,	5.9544303797468354e-05,	16794.21768707483,	
Conv1_4,	GEMM,	358.0,	4.531645569620253e-06,	220670.39106145254,	
Conv2_4,	GEMM,	4704.0,	5.9544303797468354e-05,	16794.21768707483,	
Conv1_5,	GEMM,	358.0,	4.531645569620253e-06,	220670.39106145254,	
Conv2_5,	GEMM,	4704.0,	5.9544303797468354e-05,	16794.21768707483,	
Conv1_6,	GEMM,	358.0,	4.531645569620253e-06,	220670.39106145254,	
Conv2_6,	GEMM,	4704.0,	5.9544303797468354e-05,	16794.21768707483,	
Conv1_7,	GEMM,	358.0,	4.531645569620253e-06,	220670.39106145254,	
Conv2_7,	GEMM,	4704.0,	5.9544303797468354e-05,	16794.21768707483,	
Conv1_8,	GEMM,	358.0,	4.531645569620253e-06,	220670.39106145254,	
Conv2_8,	GEMM,	4704.0,	5.9544303797468354e-05,	16794.21768707483,	
Conv1_9,	GEMM,	358.0,	4.531645569620253e-06,	220670.39106145254,	
Conv2_9,	GEMM,	4704.0,	5.9544303797468354e-05,	16794.21768707483,	
FC3_0,	GEMM,	222834.0,	0.0028206835443037974,	354.52399544055214,	
FC3_1,	GEMM,	222834.0,	0.0028206835443037974,	354.52399544055214,	
FC3_2,	GEMM,	222834.0,	0.0028206835443037974,	354.52399544055214,	
FC3_3,	GEMM,	222834.0,	0.0028206835443037974,	354.52399544055214,	
FC3_4,	GEMM,	222834.0,	0.0028206835443037974,	354.52399544055214,	
FC3_5,	GEMM,	222834.0,	0.0028206835443037974,	354.52399544055214,	
FC3_6,	GEMM,	222834.0,	0.0028206835443037974,	354.52399544055214,	
FC3_7,	GEMM,	222834.0,	0.0028206835443037974,	354.52399544055214,	
FC3_8,	GEMM,	222834.0,	0.0028206835443037974,	354.52399544055214,	
FC3_9,	GEMM,	222834.0,	0.0028206835443037974,	354.52399544055214,	
RNN4_FG_0,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_NG_0,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_ptwise1_0,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_ptwise2_0,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_FG_1,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_NG_1,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_ptwise1_1,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_ptwise2_1,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_FG_2,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_NG_2,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_ptwise1_2,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_ptwise2_2,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_FG_3,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_NG_3,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_ptwise1_3,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_ptwise2_3,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_FG_4,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_NG_4,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_ptwise1_4,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_ptwise2_4,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_FG_5,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_NG_5,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_ptwise1_5,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_ptwise2_5,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_FG_6,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_NG_6,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_ptwise1_6,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_ptwise2_6,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_FG_7,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_NG_7,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_ptwise1_7,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_ptwise2_7,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_FG_8,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_NG_8,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_ptwise1_8,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_ptwise2_8,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_FG_9,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_NG_9,	GEMM,	7631.0,	9.659493670886076e-05,	10352.509500720744,	
RNN4_ptwise1_9,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
RNN4_ptwise2_9,	GEMM,	149.0,	1.8860759493670888e-06,	530201.3422818792,	
FC5,	GEMM,	205.0,	2.5949367088607596e-06,	385365.85365853657,	
FC6,	GEMM,	163.0,	2.063291139240506e-06,	484662.57668711664,	
eyeriss_08b_bp_001c_uBrain_t3_ddr3_w__spm,	All,	2434928.0,	0.030821873417721555,	32.44449117181284,	
