Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.02260668484192321,	0.029594205611244928,	0.0,	0.23675364488995942,	0.28895453534312754,	0.26634785050120435,	0.029594205611244928,	0.0,	0.23675364488995942,	0.5326957010024087,	
Conv2_0,	GEMM,	0.02593972170964266,	0.06791490774888259,	0.0,	0.033957453874441296,	0.12781208333296656,	0.4584256273049575,	0.06791490774888259,	0.3735319926188543,	0.4074894464932956,	1.30736197416599,	
Conv1_1,	GEMM,	0.02260668484192321,	0.029594205611244928,	0.0,	0.23675364488995942,	0.28895453534312754,	0.26634785050120435,	0.029594205611244928,	0.0,	0.23675364488995942,	0.5326957010024087,	
Conv2_1,	GEMM,	0.02593972170964266,	0.06791490774888259,	0.0,	0.033957453874441296,	0.12781208333296656,	0.4584256273049575,	0.06791490774888259,	0.3735319926188543,	0.4074894464932956,	1.30736197416599,	
Conv1_2,	GEMM,	0.02260668484192321,	0.029594205611244928,	0.0,	0.23675364488995942,	0.28895453534312754,	0.26634785050120435,	0.029594205611244928,	0.0,	0.23675364488995942,	0.5326957010024087,	
Conv2_2,	GEMM,	0.02593972170964266,	0.06791490774888259,	0.0,	0.033957453874441296,	0.12781208333296656,	0.4584256273049575,	0.06791490774888259,	0.3735319926188543,	0.4074894464932956,	1.30736197416599,	
Conv1_3,	GEMM,	0.02260668484192321,	0.029594205611244928,	0.0,	0.23675364488995942,	0.28895453534312754,	0.26634785050120435,	0.029594205611244928,	0.0,	0.23675364488995942,	0.5326957010024087,	
Conv2_3,	GEMM,	0.02593972170964266,	0.06791490774888259,	0.0,	0.033957453874441296,	0.12781208333296656,	0.4584256273049575,	0.06791490774888259,	0.3735319926188543,	0.4074894464932956,	1.30736197416599,	
Conv1_4,	GEMM,	0.02260668484192321,	0.029594205611244928,	0.0,	0.23675364488995942,	0.28895453534312754,	0.26634785050120435,	0.029594205611244928,	0.0,	0.23675364488995942,	0.5326957010024087,	
Conv2_4,	GEMM,	0.02593972170964266,	0.06791490774888259,	0.0,	0.033957453874441296,	0.12781208333296656,	0.4584256273049575,	0.06791490774888259,	0.3735319926188543,	0.4074894464932956,	1.30736197416599,	
