Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_0,	GEMM,	3.286510087150838,	4.221210422346369,	0.0,	32.283543526256985,	39.79126403575419,	356.3135352,	396.1047992357542,	0.7206865162011172,	0.12431680893854749,	0.0,	1.6524244558659216,	2.4974277810055865,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	181.49392538100557,	0.04486630041360028,	0.4762644876177773,	0.5211307880313776,	0.0050474587965300315,	0.4762644876177773,	0.48131194641430736,	0.26532995079037863,	2.173346768948554,	2.4386767197389325,	0.179476889723203,	3.0291242558158933,	3.208601145539096,	0.49472059972371196,	6.155000000000002,	6.649720599723714,	42.783412416483486,	541.4650327999999,	584.2484452164833,	
Conv2_0,	GEMM,	3.68890861025641,	9.657978192307693,	0.0,	4.629332146153846,	17.97621894871795,	356.3135352,	374.2897541487179,	3.083828057051282,	1.3006241538461538,	3.8499614999999996,	4.343760207692307,	12.578173918589743,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.57467151858972,	0.06008821741990918,	0.47626448761777723,	0.5363527050376864,	0.008687453120950726,	0.47626448761777723,	0.48495194073872794,	0.3553491958136408,	2.173346768948554,	2.528695964762195,	0.24036852319269478,	3.0291242558158933,	3.269492779008588,	0.6644933895471955,	6.155000000000002,	6.819493389547198,	31.218886256854887,	541.4650328,	572.6839190568548,	
Conv1_1,	GEMM,	3.286510087150838,	4.221210422346369,	0.0,	32.283543526256985,	39.79126403575419,	356.3135352,	396.1047992357542,	0.7206865162011172,	0.12431680893854749,	0.0,	1.6524244558659216,	2.4974277810055865,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	181.49392538100557,	0.04486630041360028,	0.4762644876177773,	0.5211307880313776,	0.0050474587965300315,	0.4762644876177773,	0.48131194641430736,	0.26532995079037863,	2.173346768948554,	2.4386767197389325,	0.179476889723203,	3.0291242558158933,	3.208601145539096,	0.49472059972371196,	6.155000000000002,	6.649720599723714,	42.783412416483486,	541.4650327999999,	584.2484452164833,	
Conv2_1,	GEMM,	3.68890861025641,	9.657978192307693,	0.0,	4.629332146153846,	17.97621894871795,	356.3135352,	374.2897541487179,	3.083828057051282,	1.3006241538461538,	3.8499614999999996,	4.343760207692307,	12.578173918589743,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.57467151858972,	0.06008821741990918,	0.47626448761777723,	0.5363527050376864,	0.008687453120950726,	0.47626448761777723,	0.48495194073872794,	0.3553491958136408,	2.173346768948554,	2.528695964762195,	0.24036852319269478,	3.0291242558158933,	3.269492779008588,	0.6644933895471955,	6.155000000000002,	6.819493389547198,	31.218886256854887,	541.4650328,	572.6839190568548,	
Conv1_2,	GEMM,	3.286510087150838,	4.221210422346369,	0.0,	32.283543526256985,	39.79126403575419,	356.3135352,	396.1047992357542,	0.7206865162011172,	0.12431680893854749,	0.0,	1.6524244558659216,	2.4974277810055865,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	181.49392538100557,	0.04486630041360028,	0.4762644876177773,	0.5211307880313776,	0.0050474587965300315,	0.4762644876177773,	0.48131194641430736,	0.26532995079037863,	2.173346768948554,	2.4386767197389325,	0.179476889723203,	3.0291242558158933,	3.208601145539096,	0.49472059972371196,	6.155000000000002,	6.649720599723714,	42.783412416483486,	541.4650327999999,	584.2484452164833,	
Conv2_2,	GEMM,	3.68890861025641,	9.657978192307693,	0.0,	4.629332146153846,	17.97621894871795,	356.3135352,	374.2897541487179,	3.083828057051282,	1.3006241538461538,	3.8499614999999996,	4.343760207692307,	12.578173918589743,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.57467151858972,	0.06008821741990918,	0.47626448761777723,	0.5363527050376864,	0.008687453120950726,	0.47626448761777723,	0.48495194073872794,	0.3553491958136408,	2.173346768948554,	2.528695964762195,	0.24036852319269478,	3.0291242558158933,	3.269492779008588,	0.6644933895471955,	6.155000000000002,	6.819493389547198,	31.218886256854887,	541.4650328,	572.6839190568548,	
Conv1_3,	GEMM,	3.286510087150838,	4.221210422346369,	0.0,	32.283543526256985,	39.79126403575419,	356.3135352,	396.1047992357542,	0.7206865162011172,	0.12431680893854749,	0.0,	1.6524244558659216,	2.4974277810055865,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	181.49392538100557,	0.04486630041360028,	0.4762644876177773,	0.5211307880313776,	0.0050474587965300315,	0.4762644876177773,	0.48131194641430736,	0.26532995079037863,	2.173346768948554,	2.4386767197389325,	0.179476889723203,	3.0291242558158933,	3.208601145539096,	0.49472059972371196,	6.155000000000002,	6.649720599723714,	42.783412416483486,	541.4650327999999,	584.2484452164833,	
Conv2_3,	GEMM,	3.68890861025641,	9.657978192307693,	0.0,	4.629332146153846,	17.97621894871795,	356.3135352,	374.2897541487179,	3.083828057051282,	1.3006241538461538,	3.8499614999999996,	4.343760207692307,	12.578173918589743,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.57467151858972,	0.06008821741990918,	0.47626448761777723,	0.5363527050376864,	0.008687453120950726,	0.47626448761777723,	0.48495194073872794,	0.3553491958136408,	2.173346768948554,	2.528695964762195,	0.24036852319269478,	3.0291242558158933,	3.269492779008588,	0.6644933895471955,	6.155000000000002,	6.819493389547198,	31.218886256854887,	541.4650328,	572.6839190568548,	
Conv1_4,	GEMM,	3.286510087150838,	4.221210422346369,	0.0,	32.283543526256985,	39.79126403575419,	356.3135352,	396.1047992357542,	0.7206865162011172,	0.12431680893854749,	0.0,	1.6524244558659216,	2.4974277810055865,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	181.49392538100557,	0.04486630041360028,	0.4762644876177773,	0.5211307880313776,	0.0050474587965300315,	0.4762644876177773,	0.48131194641430736,	0.26532995079037863,	2.173346768948554,	2.4386767197389325,	0.179476889723203,	3.0291242558158933,	3.208601145539096,	0.49472059972371196,	6.155000000000002,	6.649720599723714,	42.783412416483486,	541.4650327999999,	584.2484452164833,	
Conv2_4,	GEMM,	3.68890861025641,	9.657978192307693,	0.0,	4.629332146153846,	17.97621894871795,	356.3135352,	374.2897541487179,	3.083828057051282,	1.3006241538461538,	3.8499614999999996,	4.343760207692307,	12.578173918589743,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.57467151858972,	0.06008821741990918,	0.47626448761777723,	0.5363527050376864,	0.008687453120950726,	0.47626448761777723,	0.48495194073872794,	0.3553491958136408,	2.173346768948554,	2.528695964762195,	0.24036852319269478,	3.0291242558158933,	3.269492779008588,	0.6644933895471955,	6.155000000000002,	6.819493389547198,	31.218886256854887,	541.4650328,	572.6839190568548,	
Conv1_5,	GEMM,	3.286510087150838,	4.221210422346369,	0.0,	32.283543526256985,	39.79126403575419,	356.3135352,	396.1047992357542,	0.7206865162011172,	0.12431680893854749,	0.0,	1.6524244558659216,	2.4974277810055865,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	181.49392538100557,	0.04486630041360028,	0.4762644876177773,	0.5211307880313776,	0.0050474587965300315,	0.4762644876177773,	0.48131194641430736,	0.26532995079037863,	2.173346768948554,	2.4386767197389325,	0.179476889723203,	3.0291242558158933,	3.208601145539096,	0.49472059972371196,	6.155000000000002,	6.649720599723714,	42.783412416483486,	541.4650327999999,	584.2484452164833,	
Conv2_5,	GEMM,	3.68890861025641,	9.657978192307693,	0.0,	4.629332146153846,	17.97621894871795,	356.3135352,	374.2897541487179,	3.083828057051282,	1.3006241538461538,	3.8499614999999996,	4.343760207692307,	12.578173918589743,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.57467151858972,	0.06008821741990918,	0.47626448761777723,	0.5363527050376864,	0.008687453120950726,	0.47626448761777723,	0.48495194073872794,	0.3553491958136408,	2.173346768948554,	2.528695964762195,	0.24036852319269478,	3.0291242558158933,	3.269492779008588,	0.6644933895471955,	6.155000000000002,	6.819493389547198,	31.218886256854887,	541.4650328,	572.6839190568548,	
Conv1_6,	GEMM,	3.286510087150838,	4.221210422346369,	0.0,	32.283543526256985,	39.79126403575419,	356.3135352,	396.1047992357542,	0.7206865162011172,	0.12431680893854749,	0.0,	1.6524244558659216,	2.4974277810055865,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	181.49392538100557,	0.04486630041360028,	0.4762644876177773,	0.5211307880313776,	0.0050474587965300315,	0.4762644876177773,	0.48131194641430736,	0.26532995079037863,	2.173346768948554,	2.4386767197389325,	0.179476889723203,	3.0291242558158933,	3.208601145539096,	0.49472059972371196,	6.155000000000002,	6.649720599723714,	42.783412416483486,	541.4650327999999,	584.2484452164833,	
Conv2_6,	GEMM,	3.68890861025641,	9.657978192307693,	0.0,	4.629332146153846,	17.97621894871795,	356.3135352,	374.2897541487179,	3.083828057051282,	1.3006241538461538,	3.8499614999999996,	4.343760207692307,	12.578173918589743,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.57467151858972,	0.06008821741990918,	0.47626448761777723,	0.5363527050376864,	0.008687453120950726,	0.47626448761777723,	0.48495194073872794,	0.3553491958136408,	2.173346768948554,	2.528695964762195,	0.24036852319269478,	3.0291242558158933,	3.269492779008588,	0.6644933895471955,	6.155000000000002,	6.819493389547198,	31.218886256854887,	541.4650328,	572.6839190568548,	
Conv1_7,	GEMM,	3.286510087150838,	4.221210422346369,	0.0,	32.283543526256985,	39.79126403575419,	356.3135352,	396.1047992357542,	0.7206865162011172,	0.12431680893854749,	0.0,	1.6524244558659216,	2.4974277810055865,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	181.49392538100557,	0.04486630041360028,	0.4762644876177773,	0.5211307880313776,	0.0050474587965300315,	0.4762644876177773,	0.48131194641430736,	0.26532995079037863,	2.173346768948554,	2.4386767197389325,	0.179476889723203,	3.0291242558158933,	3.208601145539096,	0.49472059972371196,	6.155000000000002,	6.649720599723714,	42.783412416483486,	541.4650327999999,	584.2484452164833,	
Conv2_7,	GEMM,	3.68890861025641,	9.657978192307693,	0.0,	4.629332146153846,	17.97621894871795,	356.3135352,	374.2897541487179,	3.083828057051282,	1.3006241538461538,	3.8499614999999996,	4.343760207692307,	12.578173918589743,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	191.57467151858972,	0.06008821741990918,	0.47626448761777723,	0.5363527050376864,	0.008687453120950726,	0.47626448761777723,	0.48495194073872794,	0.3553491958136408,	2.173346768948554,	2.528695964762195,	0.24036852319269478,	3.0291242558158933,	3.269492779008588,	0.6644933895471955,	6.155000000000002,	6.819493389547198,	31.218886256854887,	541.4650328,	572.6839190568548,	
