Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ)	
RNN4_FG_2,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_NG_2,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_ptwise1_2,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_ptwise2_2,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_FG_3,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_NG_3,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_ptwise1_3,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_ptwise2_3,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_FG_4,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_NG_4,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
