Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ)	
RNN4_ptwise1_4,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_ptwise2_4,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_FG_5,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_NG_5,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_ptwise1_5,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_ptwise2_5,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_FG_6,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_NG_6,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_ptwise1_6,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_ptwise2_6,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_FG_7,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_NG_7,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_ptwise1_7,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_ptwise2_7,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_FG_8,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_NG_8,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_ptwise1_8,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_ptwise2_8,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_FG_9,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_NG_9,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	106380.2393446729,	106380.2393446729,	106380.2393446729,	319140.7180340187,	320261.4543547187,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	5.0194173587715305,	849.1528750026304,	854.1722923614019,	32.0584913042475,	3874.9554191229945,	3907.013910427242,	21.685295200806003,	5400.758690684832,	5422.443985885638,	63.78262122259656,	10974.019859813088,	11037.802481035686,	13412.634112022597,	330114.7378938318,	343527.3720058544,	
RNN4_ptwise1_9,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
RNN4_ptwise2_9,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	2077.1400422429906,	2077.1400422429906,	2077.1400422429906,	6231.420126728972,	6237.5844425289715,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	0.20077669435086123,	16.580235667067477,	16.781012361418338,	1.1873515297869444,	75.66090387227443,	76.84825540206137,	0.8031590815113334,	105.45315750387105,	106.2563165853824,	2.3920640000000004,	214.27453271028043,	216.66659671028043,	88.99409589999999,	6445.694659439252,	6534.688755339252,	
FC5,	GEMM,	37.782558699999996,	187.7489587,	0.0,	4.8725987,	230.40411609999998,	2.818019,	14.090095,	1.0833225,	1.3847349,	19.376171400000004,	2857.8101252336446,	2857.8101252336446,	2857.8101252336446,	8573.430375700933,	8592.806547100932,	0.20077669435086123,	22.811733635898207,	23.012510330249068,	0.20077669435086123,	22.811733635898207,	23.012510330249068,	1.1873515297869444,	104.09721673702187,	105.2845682668088,	0.8031590815113334,	145.086558981836,	145.88971806334732,	2.3920640000000004,	294.8072429906543,	297.1993069906543,	252.1723515,	8868.237618691588,	9120.409970191587,	
FC6,	GEMM,	37.782558699999996,	75.2741587,	0.0,	4.8725987,	117.9293161,	2.818019,	5.636038,	0.433329,	0.5798937,	9.4672797,	2272.307562990654,	2272.307562990654,	2272.307562990654,	6816.922688971961,	6826.3899686719615,	0.20077669435086123,	18.13811015927516,	18.338886853626022,	0.20077669435086123,	18.13811015927516,	18.338886853626022,	1.1873515297869444,	82.76998208846129,	83.95733361824823,	0.8031590815113334,	115.36150787336229,	116.16466695487362,	2.3920640000000004,	234.4077102803739,	236.7997742803739,	129.7886598,	7051.330399252335,	7181.119059052335,	
eyeriss_08b_bp_001c_uBrain_t9_ddr3_w__spm,	All,	16220.229813400012,	433989.50549040013,	0.0,	22122.34586739996,	472332.0811712003,	7251.071008999998,	32553.573335999994,	8452.298809500002,	9661.885922600011,	57918.82907710003,	4657366.190824672,	4657366.190824672,	4657366.190824672,	13972098.572473997,	14030017.40155113,	269.12861023393236,	37176.226668048614,	37445.35527828253,	184.48868502164754,	37176.226668048614,	37360.71535307024,	1726.2607053689926,	169646.980220674,	171373.24092604298,	1167.6929096322885,	236447.2113030423,	237614.9042126745,	3347.570910256864,	480446.644859813,	483794.21577007027,	533598.4811585563,	14452545.21733383,	14986143.698492372,	
