Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_6,	GEMM,	4.621654810055866,	5.93607715642458,	0.0,	45.39873308379888,	55.95646505027933,	356.3135352,	412.27000025027934,	1.0134654134078211,	0.17482051256983241,	0.0,	2.323721891061452,	3.512007817039106,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	182.5085054170391,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	0.007097988932620356,	0.47626448761777723,	0.48336247655039755,	0.37312024329897,	2.173346768948554,	2.546467012247524,	0.25238937617325424,	3.0291242558158933,	3.2815136319891476,	0.69570084336147,	6.155000000000002,	6.850700843361472,	60.164173710679904,	541.4650328,	601.62920651068,	
Conv2_6,	GEMM,	5.187527733173076,	13.581531832932694,	0.0,	6.5099983305288465,	25.279057896634615,	356.3135352,	381.59259309663463,	4.336633205228365,	1.8290027163461537,	5.414008359374999,	6.108412792067307,	17.688057073016825,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	196.6845546730168,	0.08449905574674729,	0.47626448761777723,	0.5607635433645245,	0.01221673095133696,	0.47626448761777723,	0.4884812185691142,	0.4997098066129323,	2.173346768948554,	2.6730565755614863,	0.338018235739727,	3.0291242558158933,	3.3671424915556205,	0.9344438290507435,	6.155000000000002,	7.0894438290507455,	43.90155879870218,	541.4650328,	585.3665915987021,	
Conv1_7,	GEMM,	4.621654810055866,	5.93607715642458,	0.0,	45.39873308379888,	55.95646505027933,	356.3135352,	412.27000025027934,	1.0134654134078211,	0.17482051256983241,	0.0,	2.323721891061452,	3.512007817039106,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	182.5085054170391,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	0.007097988932620356,	0.47626448761777723,	0.48336247655039755,	0.37312024329897,	2.173346768948554,	2.546467012247524,	0.25238937617325424,	3.0291242558158933,	3.2815136319891476,	0.69570084336147,	6.155000000000002,	6.850700843361472,	60.164173710679904,	541.4650328,	601.62920651068,	
Conv2_7,	GEMM,	5.187527733173076,	13.581531832932694,	0.0,	6.5099983305288465,	25.279057896634615,	356.3135352,	381.59259309663463,	4.336633205228365,	1.8290027163461537,	5.414008359374999,	6.108412792067307,	17.688057073016825,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	196.6845546730168,	0.08449905574674729,	0.47626448761777723,	0.5607635433645245,	0.01221673095133696,	0.47626448761777723,	0.4884812185691142,	0.4997098066129323,	2.173346768948554,	2.6730565755614863,	0.338018235739727,	3.0291242558158933,	3.3671424915556205,	0.9344438290507435,	6.155000000000002,	7.0894438290507455,	43.90155879870218,	541.4650328,	585.3665915987021,	
Conv1_8,	GEMM,	4.621654810055866,	5.93607715642458,	0.0,	45.39873308379888,	55.95646505027933,	356.3135352,	412.27000025027934,	1.0134654134078211,	0.17482051256983241,	0.0,	2.323721891061452,	3.512007817039106,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	182.5085054170391,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	0.007097988932620356,	0.47626448761777723,	0.48336247655039755,	0.37312024329897,	2.173346768948554,	2.546467012247524,	0.25238937617325424,	3.0291242558158933,	3.2815136319891476,	0.69570084336147,	6.155000000000002,	6.850700843361472,	60.164173710679904,	541.4650328,	601.62920651068,	
Conv2_8,	GEMM,	5.187527733173076,	13.581531832932694,	0.0,	6.5099983305288465,	25.279057896634615,	356.3135352,	381.59259309663463,	4.336633205228365,	1.8290027163461537,	5.414008359374999,	6.108412792067307,	17.688057073016825,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	196.6845546730168,	0.08449905574674729,	0.47626448761777723,	0.5607635433645245,	0.01221673095133696,	0.47626448761777723,	0.4884812185691142,	0.4997098066129323,	2.173346768948554,	2.6730565755614863,	0.338018235739727,	3.0291242558158933,	3.3671424915556205,	0.9344438290507435,	6.155000000000002,	7.0894438290507455,	43.90155879870218,	541.4650328,	585.3665915987021,	
Conv1_9,	GEMM,	4.621654810055866,	5.93607715642458,	0.0,	45.39873308379888,	55.95646505027933,	356.3135352,	412.27000025027934,	1.0134654134078211,	0.17482051256983241,	0.0,	2.323721891061452,	3.512007817039106,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	182.5085054170391,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	0.007097988932620356,	0.47626448761777723,	0.48336247655039755,	0.37312024329897,	2.173346768948554,	2.546467012247524,	0.25238937617325424,	3.0291242558158933,	3.2815136319891476,	0.69570084336147,	6.155000000000002,	6.850700843361472,	60.164173710679904,	541.4650328,	601.62920651068,	
Conv2_9,	GEMM,	5.187527733173076,	13.581531832932694,	0.0,	6.5099983305288465,	25.279057896634615,	356.3135352,	381.59259309663463,	4.336633205228365,	1.8290027163461537,	5.414008359374999,	6.108412792067307,	17.688057073016825,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	196.6845546730168,	0.08449905574674729,	0.47626448761777723,	0.5607635433645245,	0.01221673095133696,	0.47626448761777723,	0.4884812185691142,	0.4997098066129323,	2.173346768948554,	2.6730565755614863,	0.338018235739727,	3.0291242558158933,	3.3671424915556205,	0.9344438290507435,	6.155000000000002,	7.0894438290507455,	43.90155879870218,	541.4650328,	585.3665915987021,	
FC3_0,	GEMM,	0.2324253789278117,	59.64770376009047,	0.0,	0.0162270264950591,	59.896356165513346,	356.3135352,	416.20989136551333,	0.5857515527477853,	8.012676873367619,	0.656381599504564,	0.6796391938124344,	9.934449219432402,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	188.9309468194324,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.2819796034551509,	2.173346768948554,	2.455326372403705,	0.19073919865720565,	3.0291242558158933,	3.219863454473099,	0.557459228186019,	6.155000000000002,	6.712459228186021,	70.38826461313177,	541.4650328,	611.8532974131318,	
FC3_1,	GEMM,	0.2324253789278117,	59.64770376009047,	0.0,	0.0162270264950591,	59.896356165513346,	356.3135352,	416.20989136551333,	0.5857515527477853,	8.012676873367619,	0.656381599504564,	0.6796391938124344,	9.934449219432402,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	188.9309468194324,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.2819796034551509,	2.173346768948554,	2.455326372403705,	0.19073919865720565,	3.0291242558158933,	3.219863454473099,	0.557459228186019,	6.155000000000002,	6.712459228186021,	70.38826461313177,	541.4650328,	611.8532974131318,	
FC3_2,	GEMM,	0.2324253789278117,	59.64770376009047,	0.0,	0.0162270264950591,	59.896356165513346,	356.3135352,	416.20989136551333,	0.5857515527477853,	8.012676873367619,	0.656381599504564,	0.6796391938124344,	9.934449219432402,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	188.9309468194324,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.2819796034551509,	2.173346768948554,	2.455326372403705,	0.19073919865720565,	3.0291242558158933,	3.219863454473099,	0.557459228186019,	6.155000000000002,	6.712459228186021,	70.38826461313177,	541.4650328,	611.8532974131318,	
FC3_3,	GEMM,	0.2324253789278117,	59.64770376009047,	0.0,	0.0162270264950591,	59.896356165513346,	356.3135352,	416.20989136551333,	0.5857515527477853,	8.012676873367619,	0.656381599504564,	0.6796391938124344,	9.934449219432402,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	188.9309468194324,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.2819796034551509,	2.173346768948554,	2.455326372403705,	0.19073919865720565,	3.0291242558158933,	3.219863454473099,	0.557459228186019,	6.155000000000002,	6.712459228186021,	70.38826461313177,	541.4650328,	611.8532974131318,	
FC3_4,	GEMM,	0.2324253789278117,	59.64770376009047,	0.0,	0.0162270264950591,	59.896356165513346,	356.3135352,	416.20989136551333,	0.5857515527477853,	8.012676873367619,	0.656381599504564,	0.6796391938124344,	9.934449219432402,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	188.9309468194324,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.2819796034551509,	2.173346768948554,	2.455326372403705,	0.19073919865720565,	3.0291242558158933,	3.219863454473099,	0.557459228186019,	6.155000000000002,	6.712459228186021,	70.38826461313177,	541.4650328,	611.8532974131318,	
FC3_5,	GEMM,	0.2324253789278117,	59.64770376009047,	0.0,	0.0162270264950591,	59.896356165513346,	356.3135352,	416.20989136551333,	0.5857515527477853,	8.012676873367619,	0.656381599504564,	0.6796391938124344,	9.934449219432402,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	188.9309468194324,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.2819796034551509,	2.173346768948554,	2.455326372403705,	0.19073919865720565,	3.0291242558158933,	3.219863454473099,	0.557459228186019,	6.155000000000002,	6.712459228186021,	70.38826461313177,	541.4650328,	611.8532974131318,	
FC3_6,	GEMM,	0.2324253789278117,	59.64770376009047,	0.0,	0.0162270264950591,	59.896356165513346,	356.3135352,	416.20989136551333,	0.5857515527477853,	8.012676873367619,	0.656381599504564,	0.6796391938124344,	9.934449219432402,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	188.9309468194324,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.2819796034551509,	2.173346768948554,	2.455326372403705,	0.19073919865720565,	3.0291242558158933,	3.219863454473099,	0.557459228186019,	6.155000000000002,	6.712459228186021,	70.38826461313177,	541.4650328,	611.8532974131318,	
FC3_7,	GEMM,	0.2324253789278117,	59.64770376009047,	0.0,	0.0162270264950591,	59.896356165513346,	356.3135352,	416.20989136551333,	0.5857515527477853,	8.012676873367619,	0.656381599504564,	0.6796391938124344,	9.934449219432402,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	188.9309468194324,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.2819796034551509,	2.173346768948554,	2.455326372403705,	0.19073919865720565,	3.0291242558158933,	3.219863454473099,	0.557459228186019,	6.155000000000002,	6.712459228186021,	70.38826461313177,	541.4650328,	611.8532974131318,	
FC3_8,	GEMM,	0.2324253789278117,	59.64770376009047,	0.0,	0.0162270264950591,	59.896356165513346,	356.3135352,	416.20989136551333,	0.5857515527477853,	8.012676873367619,	0.656381599504564,	0.6796391938124344,	9.934449219432402,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	188.9309468194324,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.2819796034551509,	2.173346768948554,	2.455326372403705,	0.19073919865720565,	3.0291242558158933,	3.219863454473099,	0.557459228186019,	6.155000000000002,	6.712459228186021,	70.38826461313177,	541.4650328,	611.8532974131318,	
FC3_9,	GEMM,	0.2324253789278117,	59.64770376009047,	0.0,	0.0162270264950591,	59.896356165513346,	356.3135352,	416.20989136551333,	0.5857515527477853,	8.012676873367619,	0.656381599504564,	0.6796391938124344,	9.934449219432402,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	188.9309468194324,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.04237021303683122,	0.47626448761777723,	0.5186347006546085,	0.2819796034551509,	2.173346768948554,	2.455326372403705,	0.19073919865720565,	3.0291242558158933,	3.219863454473099,	0.557459228186019,	6.155000000000002,	6.712459228186021,	70.38826461313177,	541.4650328,	611.8532974131318,	
RNN4_FG_0,	GEMM,	0.6176403121478181,	39.48626047202202,	0.0,	0.11920707928187654,	40.223107863451716,	356.3135352,	396.5366430634517,	0.4101728888743284,	5.317713746560083,	0.42520869505962516,	0.45588572461014276,	6.608981055104181,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	185.6054786551042,	0.029599499560309116,	0.47626448761777723,	0.5058639871780863,	0.029599499560309116,	0.47626448761777723,	0.5058639871780863,	0.18904889381354179,	2.173346768948554,	2.3623956627620957,	0.12787816590699386,	3.0291242558158933,	3.157002421722887,	0.3761260588411539,	6.155000000000002,	6.531126058841156,	47.20821497739705,	541.4650328000001,	588.6732477773971,	
RNN4_NG_0,	GEMM,	0.6176403121478181,	39.48626047202202,	0.0,	0.11920707928187654,	40.223107863451716,	356.3135352,	396.5366430634517,	0.4101728888743284,	5.317713746560083,	0.42520869505962516,	0.45588572461014276,	6.608981055104181,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	185.6054786551042,	0.029599499560309116,	0.47626448761777723,	0.5058639871780863,	0.029599499560309116,	0.47626448761777723,	0.5058639871780863,	0.18904889381354179,	2.173346768948554,	2.3623956627620957,	0.12787816590699386,	3.0291242558158933,	3.157002421722887,	0.3761260588411539,	6.155000000000002,	6.531126058841156,	47.20821497739705,	541.4650328000001,	588.6732477773971,	
RNN4_ptwise1_0,	GEMM,	6.367165248322148,	6.367165248322148,	0.0,	0.8076659194630872,	13.54199641610738,	356.31353519999993,	369.8555316161073,	0.8510795637583892,	0.8510795637583892,	0.06543558724832214,	0.09411139932885905,	1.86170611409396,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	180.85820371409395,	0.060637256683146006,	0.47626448761777723,	0.5369017443009233,	0.060637256683146006,	0.47626448761777723,	0.5369017443009233,	0.3585960996000838,	2.173346768948554,	2.531942868548638,	0.2425648232752349,	3.029124255815893,	3.271689079091128,	0.7224354362416108,	6.155000000000001,	6.877435436241612,	16.12613796644295,	541.4650327999999,	557.5911707664428,	
RNN4_ptwise2_0,	GEMM,	6.367165248322148,	6.367165248322148,	0.0,	0.8076659194630872,	13.54199641610738,	356.31353519999993,	369.8555316161073,	0.8510795637583892,	0.8510795637583892,	0.06543558724832214,	0.09411139932885905,	1.86170611409396,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	180.85820371409395,	0.060637256683146006,	0.47626448761777723,	0.5369017443009233,	0.060637256683146006,	0.47626448761777723,	0.5369017443009233,	0.3585960996000838,	2.173346768948554,	2.531942868548638,	0.2425648232752349,	3.029124255815893,	3.271689079091128,	0.7224354362416108,	6.155000000000001,	6.877435436241612,	16.12613796644295,	541.4650327999999,	557.5911707664428,	
RNN4_FG_1,	GEMM,	0.6176403121478181,	39.48626047202202,	0.0,	0.11920707928187654,	40.223107863451716,	356.3135352,	396.5366430634517,	0.4101728888743284,	5.317713746560083,	0.42520869505962516,	0.45588572461014276,	6.608981055104181,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	185.6054786551042,	0.029599499560309116,	0.47626448761777723,	0.5058639871780863,	0.029599499560309116,	0.47626448761777723,	0.5058639871780863,	0.18904889381354179,	2.173346768948554,	2.3623956627620957,	0.12787816590699386,	3.0291242558158933,	3.157002421722887,	0.3761260588411539,	6.155000000000002,	6.531126058841156,	47.20821497739705,	541.4650328000001,	588.6732477773971,	
RNN4_NG_1,	GEMM,	0.6176403121478181,	39.48626047202202,	0.0,	0.11920707928187654,	40.223107863451716,	356.3135352,	396.5366430634517,	0.4101728888743284,	5.317713746560083,	0.42520869505962516,	0.45588572461014276,	6.608981055104181,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	185.6054786551042,	0.029599499560309116,	0.47626448761777723,	0.5058639871780863,	0.029599499560309116,	0.47626448761777723,	0.5058639871780863,	0.18904889381354179,	2.173346768948554,	2.3623956627620957,	0.12787816590699386,	3.0291242558158933,	3.157002421722887,	0.3761260588411539,	6.155000000000002,	6.531126058841156,	47.20821497739705,	541.4650328000001,	588.6732477773971,	
RNN4_ptwise1_1,	GEMM,	6.367165248322148,	6.367165248322148,	0.0,	0.8076659194630872,	13.54199641610738,	356.31353519999993,	369.8555316161073,	0.8510795637583892,	0.8510795637583892,	0.06543558724832214,	0.09411139932885905,	1.86170611409396,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	180.85820371409395,	0.060637256683146006,	0.47626448761777723,	0.5369017443009233,	0.060637256683146006,	0.47626448761777723,	0.5369017443009233,	0.3585960996000838,	2.173346768948554,	2.531942868548638,	0.2425648232752349,	3.029124255815893,	3.271689079091128,	0.7224354362416108,	6.155000000000001,	6.877435436241612,	16.12613796644295,	541.4650327999999,	557.5911707664428,	
RNN4_ptwise2_1,	GEMM,	6.367165248322148,	6.367165248322148,	0.0,	0.8076659194630872,	13.54199641610738,	356.31353519999993,	369.8555316161073,	0.8510795637583892,	0.8510795637583892,	0.06543558724832214,	0.09411139932885905,	1.86170611409396,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	180.85820371409395,	0.060637256683146006,	0.47626448761777723,	0.5369017443009233,	0.060637256683146006,	0.47626448761777723,	0.5369017443009233,	0.3585960996000838,	2.173346768948554,	2.531942868548638,	0.2425648232752349,	3.029124255815893,	3.271689079091128,	0.7224354362416108,	6.155000000000001,	6.877435436241612,	16.12613796644295,	541.4650327999999,	557.5911707664428,	
RNN4_FG_2,	GEMM,	0.6176403121478181,	39.48626047202202,	0.0,	0.11920707928187654,	40.223107863451716,	356.3135352,	396.5366430634517,	0.4101728888743284,	5.317713746560083,	0.42520869505962516,	0.45588572461014276,	6.608981055104181,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	185.6054786551042,	0.029599499560309116,	0.47626448761777723,	0.5058639871780863,	0.029599499560309116,	0.47626448761777723,	0.5058639871780863,	0.18904889381354179,	2.173346768948554,	2.3623956627620957,	0.12787816590699386,	3.0291242558158933,	3.157002421722887,	0.3761260588411539,	6.155000000000002,	6.531126058841156,	47.20821497739705,	541.4650328000001,	588.6732477773971,	
