Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_0,	GEMM,	4.621654810055866,	5.93607715642458,	0.0,	45.39873308379888,	55.95646505027933,	356.3135352,	412.27000025027934,	1.0134654134078211,	0.17482051256983241,	0.0,	2.323721891061452,	3.512007817039106,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	182.5085054170391,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	0.007097988932620356,	0.47626448761777723,	0.48336247655039755,	0.37312024329897,	2.173346768948554,	2.546467012247524,	0.25238937617325424,	3.0291242558158933,	3.2815136319891476,	0.69570084336147,	6.155000000000002,	6.850700843361472,	60.164173710679904,	541.4650328,	601.62920651068,	
Conv2_0,	GEMM,	5.187527733173076,	13.581531832932694,	0.0,	6.5099983305288465,	25.279057896634615,	356.3135352,	381.59259309663463,	4.336633205228365,	1.8290027163461537,	5.414008359374999,	6.108412792067307,	17.688057073016825,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	196.6845546730168,	0.08449905574674729,	0.47626448761777723,	0.5607635433645245,	0.01221673095133696,	0.47626448761777723,	0.4884812185691142,	0.4997098066129323,	2.173346768948554,	2.6730565755614863,	0.338018235739727,	3.0291242558158933,	3.3671424915556205,	0.9344438290507435,	6.155000000000002,	7.0894438290507455,	43.90155879870218,	541.4650328,	585.3665915987021,	
Conv1_1,	GEMM,	4.621654810055866,	5.93607715642458,	0.0,	45.39873308379888,	55.95646505027933,	356.3135352,	412.27000025027934,	1.0134654134078211,	0.17482051256983241,	0.0,	2.323721891061452,	3.512007817039106,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	182.5085054170391,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	0.007097988932620356,	0.47626448761777723,	0.48336247655039755,	0.37312024329897,	2.173346768948554,	2.546467012247524,	0.25238937617325424,	3.0291242558158933,	3.2815136319891476,	0.69570084336147,	6.155000000000002,	6.850700843361472,	60.164173710679904,	541.4650328,	601.62920651068,	
Conv2_1,	GEMM,	5.187527733173076,	13.581531832932694,	0.0,	6.5099983305288465,	25.279057896634615,	356.3135352,	381.59259309663463,	4.336633205228365,	1.8290027163461537,	5.414008359374999,	6.108412792067307,	17.688057073016825,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	196.6845546730168,	0.08449905574674729,	0.47626448761777723,	0.5607635433645245,	0.01221673095133696,	0.47626448761777723,	0.4884812185691142,	0.4997098066129323,	2.173346768948554,	2.6730565755614863,	0.338018235739727,	3.0291242558158933,	3.3671424915556205,	0.9344438290507435,	6.155000000000002,	7.0894438290507455,	43.90155879870218,	541.4650328,	585.3665915987021,	
Conv1_2,	GEMM,	4.621654810055866,	5.93607715642458,	0.0,	45.39873308379888,	55.95646505027933,	356.3135352,	412.27000025027934,	1.0134654134078211,	0.17482051256983241,	0.0,	2.323721891061452,	3.512007817039106,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	182.5085054170391,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	0.007097988932620356,	0.47626448761777723,	0.48336247655039755,	0.37312024329897,	2.173346768948554,	2.546467012247524,	0.25238937617325424,	3.0291242558158933,	3.2815136319891476,	0.69570084336147,	6.155000000000002,	6.850700843361472,	60.164173710679904,	541.4650328,	601.62920651068,	
Conv2_2,	GEMM,	5.187527733173076,	13.581531832932694,	0.0,	6.5099983305288465,	25.279057896634615,	356.3135352,	381.59259309663463,	4.336633205228365,	1.8290027163461537,	5.414008359374999,	6.108412792067307,	17.688057073016825,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	196.6845546730168,	0.08449905574674729,	0.47626448761777723,	0.5607635433645245,	0.01221673095133696,	0.47626448761777723,	0.4884812185691142,	0.4997098066129323,	2.173346768948554,	2.6730565755614863,	0.338018235739727,	3.0291242558158933,	3.3671424915556205,	0.9344438290507435,	6.155000000000002,	7.0894438290507455,	43.90155879870218,	541.4650328,	585.3665915987021,	
Conv1_3,	GEMM,	4.621654810055866,	5.93607715642458,	0.0,	45.39873308379888,	55.95646505027933,	356.3135352,	412.27000025027934,	1.0134654134078211,	0.17482051256983241,	0.0,	2.323721891061452,	3.512007817039106,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	182.5085054170391,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	0.007097988932620356,	0.47626448761777723,	0.48336247655039755,	0.37312024329897,	2.173346768948554,	2.546467012247524,	0.25238937617325424,	3.0291242558158933,	3.2815136319891476,	0.69570084336147,	6.155000000000002,	6.850700843361472,	60.164173710679904,	541.4650328,	601.62920651068,	
Conv2_3,	GEMM,	5.187527733173076,	13.581531832932694,	0.0,	6.5099983305288465,	25.279057896634615,	356.3135352,	381.59259309663463,	4.336633205228365,	1.8290027163461537,	5.414008359374999,	6.108412792067307,	17.688057073016825,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	196.6845546730168,	0.08449905574674729,	0.47626448761777723,	0.5607635433645245,	0.01221673095133696,	0.47626448761777723,	0.4884812185691142,	0.4997098066129323,	2.173346768948554,	2.6730565755614863,	0.338018235739727,	3.0291242558158933,	3.3671424915556205,	0.9344438290507435,	6.155000000000002,	7.0894438290507455,	43.90155879870218,	541.4650328,	585.3665915987021,	
Conv1_4,	GEMM,	4.621654810055866,	5.93607715642458,	0.0,	45.39873308379888,	55.95646505027933,	356.3135352,	412.27000025027934,	1.0134654134078211,	0.17482051256983241,	0.0,	2.323721891061452,	3.512007817039106,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	182.5085054170391,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	0.007097988932620356,	0.47626448761777723,	0.48336247655039755,	0.37312024329897,	2.173346768948554,	2.546467012247524,	0.25238937617325424,	3.0291242558158933,	3.2815136319891476,	0.69570084336147,	6.155000000000002,	6.850700843361472,	60.164173710679904,	541.4650328,	601.62920651068,	
Conv2_4,	GEMM,	5.187527733173076,	13.581531832932694,	0.0,	6.5099983305288465,	25.279057896634615,	356.3135352,	381.59259309663463,	4.336633205228365,	1.8290027163461537,	5.414008359374999,	6.108412792067307,	17.688057073016825,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	196.6845546730168,	0.08449905574674729,	0.47626448761777723,	0.5607635433645245,	0.01221673095133696,	0.47626448761777723,	0.4884812185691142,	0.4997098066129323,	2.173346768948554,	2.6730565755614863,	0.338018235739727,	3.0291242558158933,	3.3671424915556205,	0.9344438290507435,	6.155000000000002,	7.0894438290507455,	43.90155879870218,	541.4650328,	585.3665915987021,	
Conv1_5,	GEMM,	4.621654810055866,	5.93607715642458,	0.0,	45.39873308379888,	55.95646505027933,	356.3135352,	412.27000025027934,	1.0134654134078211,	0.17482051256983241,	0.0,	2.323721891061452,	3.512007817039106,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	182.5085054170391,	0.06309323495662539,	0.47626448761777723,	0.5393577225744026,	0.007097988932620356,	0.47626448761777723,	0.48336247655039755,	0.37312024329897,	2.173346768948554,	2.546467012247524,	0.25238937617325424,	3.0291242558158933,	3.2815136319891476,	0.69570084336147,	6.155000000000002,	6.850700843361472,	60.164173710679904,	541.4650328,	601.62920651068,	
Conv2_5,	GEMM,	5.187527733173076,	13.581531832932694,	0.0,	6.5099983305288465,	25.279057896634615,	356.3135352,	381.59259309663463,	4.336633205228365,	1.8290027163461537,	5.414008359374999,	6.108412792067307,	17.688057073016825,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	196.6845546730168,	0.08449905574674729,	0.47626448761777723,	0.5607635433645245,	0.01221673095133696,	0.47626448761777723,	0.4884812185691142,	0.4997098066129323,	2.173346768948554,	2.6730565755614863,	0.338018235739727,	3.0291242558158933,	3.3671424915556205,	0.9344438290507435,	6.155000000000002,	7.0894438290507455,	43.90155879870218,	541.4650328,	585.3665915987021,	
