Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_0,	GEMM,	8.11357177765363,	10.421113230167597,	0.0,	79.69999808044692,	98.23468308826814,	356.3135352,	454.5482182882681,	1.7791948368715083,	0.30690712206703913,	0.0,	4.079422875418993,	6.165524834357542,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	185.16202243435757,	0.11076367914607567,	0.47626448761777723,	0.5870281667638528,	0.012460913903933514,	0.47626448761777723,	0.48872540152171073,	0.6550333160137473,	2.173346768948554,	2.8283800849623018,	0.4430835715041574,	3.0291242558158933,	3.4722078273200503,	1.221341480567914,	6.155000000000002,	7.376341480567916,	105.6215494031936,	541.4650327999999,	647.0865822031935,	
Conv2_0,	GEMM,	9.106993131570512,	23.843133662259618,	0.0,	11.42866373581731,	44.37879052964744,	356.3135352,	400.69232572964745,	7.613200515845353,	3.2109158798076924,	9.504592453125,	10.723658012740385,	31.05236686151843,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.0488644615184,	0.1483427867554008,	0.47626448761777723,	0.6246072743731781,	0.021447149892347108,	0.47626448761777723,	0.4977116375101243,	0.8772683271649256,	2.173346768948554,	3.05061509611348,	0.5934097916319653,	3.0291242558158933,	3.6225340474478585,	1.640468055444639,	6.155000000000002,	7.7954680554446405,	77.07162544661051,	541.4650328,	618.5366582466105,	
Conv1_1,	GEMM,	8.11357177765363,	10.421113230167597,	0.0,	79.69999808044692,	98.23468308826814,	356.3135352,	454.5482182882681,	1.7791948368715083,	0.30690712206703913,	0.0,	4.079422875418993,	6.165524834357542,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	185.16202243435757,	0.11076367914607567,	0.47626448761777723,	0.5870281667638528,	0.012460913903933514,	0.47626448761777723,	0.48872540152171073,	0.6550333160137473,	2.173346768948554,	2.8283800849623018,	0.4430835715041574,	3.0291242558158933,	3.4722078273200503,	1.221341480567914,	6.155000000000002,	7.376341480567916,	105.6215494031936,	541.4650327999999,	647.0865822031935,	
Conv2_1,	GEMM,	9.106993131570512,	23.843133662259618,	0.0,	11.42866373581731,	44.37879052964744,	356.3135352,	400.69232572964745,	7.613200515845353,	3.2109158798076924,	9.504592453125,	10.723658012740385,	31.05236686151843,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.0488644615184,	0.1483427867554008,	0.47626448761777723,	0.6246072743731781,	0.021447149892347108,	0.47626448761777723,	0.4977116375101243,	0.8772683271649256,	2.173346768948554,	3.05061509611348,	0.5934097916319653,	3.0291242558158933,	3.6225340474478585,	1.640468055444639,	6.155000000000002,	7.7954680554446405,	77.07162544661051,	541.4650328,	618.5366582466105,	
Conv1_2,	GEMM,	8.11357177765363,	10.421113230167597,	0.0,	79.69999808044692,	98.23468308826814,	356.3135352,	454.5482182882681,	1.7791948368715083,	0.30690712206703913,	0.0,	4.079422875418993,	6.165524834357542,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	185.16202243435757,	0.11076367914607567,	0.47626448761777723,	0.5870281667638528,	0.012460913903933514,	0.47626448761777723,	0.48872540152171073,	0.6550333160137473,	2.173346768948554,	2.8283800849623018,	0.4430835715041574,	3.0291242558158933,	3.4722078273200503,	1.221341480567914,	6.155000000000002,	7.376341480567916,	105.6215494031936,	541.4650327999999,	647.0865822031935,	
Conv2_2,	GEMM,	9.106993131570512,	23.843133662259618,	0.0,	11.42866373581731,	44.37879052964744,	356.3135352,	400.69232572964745,	7.613200515845353,	3.2109158798076924,	9.504592453125,	10.723658012740385,	31.05236686151843,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.0488644615184,	0.1483427867554008,	0.47626448761777723,	0.6246072743731781,	0.021447149892347108,	0.47626448761777723,	0.4977116375101243,	0.8772683271649256,	2.173346768948554,	3.05061509611348,	0.5934097916319653,	3.0291242558158933,	3.6225340474478585,	1.640468055444639,	6.155000000000002,	7.7954680554446405,	77.07162544661051,	541.4650328,	618.5366582466105,	
Conv1_3,	GEMM,	8.11357177765363,	10.421113230167597,	0.0,	79.69999808044692,	98.23468308826814,	356.3135352,	454.5482182882681,	1.7791948368715083,	0.30690712206703913,	0.0,	4.079422875418993,	6.165524834357542,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	185.16202243435757,	0.11076367914607567,	0.47626448761777723,	0.5870281667638528,	0.012460913903933514,	0.47626448761777723,	0.48872540152171073,	0.6550333160137473,	2.173346768948554,	2.8283800849623018,	0.4430835715041574,	3.0291242558158933,	3.4722078273200503,	1.221341480567914,	6.155000000000002,	7.376341480567916,	105.6215494031936,	541.4650327999999,	647.0865822031935,	
Conv2_3,	GEMM,	9.106993131570512,	23.843133662259618,	0.0,	11.42866373581731,	44.37879052964744,	356.3135352,	400.69232572964745,	7.613200515845353,	3.2109158798076924,	9.504592453125,	10.723658012740385,	31.05236686151843,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.0488644615184,	0.1483427867554008,	0.47626448761777723,	0.6246072743731781,	0.021447149892347108,	0.47626448761777723,	0.4977116375101243,	0.8772683271649256,	2.173346768948554,	3.05061509611348,	0.5934097916319653,	3.0291242558158933,	3.6225340474478585,	1.640468055444639,	6.155000000000002,	7.7954680554446405,	77.07162544661051,	541.4650328,	618.5366582466105,	
Conv1_4,	GEMM,	8.11357177765363,	10.421113230167597,	0.0,	79.69999808044692,	98.23468308826814,	356.3135352,	454.5482182882681,	1.7791948368715083,	0.30690712206703913,	0.0,	4.079422875418993,	6.165524834357542,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	185.16202243435757,	0.11076367914607567,	0.47626448761777723,	0.5870281667638528,	0.012460913903933514,	0.47626448761777723,	0.48872540152171073,	0.6550333160137473,	2.173346768948554,	2.8283800849623018,	0.4430835715041574,	3.0291242558158933,	3.4722078273200503,	1.221341480567914,	6.155000000000002,	7.376341480567916,	105.6215494031936,	541.4650327999999,	647.0865822031935,	
Conv2_4,	GEMM,	9.106993131570512,	23.843133662259618,	0.0,	11.42866373581731,	44.37879052964744,	356.3135352,	400.69232572964745,	7.613200515845353,	3.2109158798076924,	9.504592453125,	10.723658012740385,	31.05236686151843,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.0488644615184,	0.1483427867554008,	0.47626448761777723,	0.6246072743731781,	0.021447149892347108,	0.47626448761777723,	0.4977116375101243,	0.8772683271649256,	2.173346768948554,	3.05061509611348,	0.5934097916319653,	3.0291242558158933,	3.6225340474478585,	1.640468055444639,	6.155000000000002,	7.7954680554446405,	77.07162544661051,	541.4650328,	618.5366582466105,	
