Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_0,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	844.361054809409,	6194.788424373833,	7039.149479183242,	
Conv2_0,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	7118.692207069363,	86380.96037562616,	93499.65258269553,	
Conv1_1,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	844.361054809409,	6194.788424373833,	7039.149479183242,	
Conv2_1,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	7118.692207069363,	86380.96037562616,	93499.65258269553,	
Conv1_2,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	844.361054809409,	6194.788424373833,	7039.149479183242,	
Conv2_2,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	7118.692207069363,	86380.96037562616,	93499.65258269553,	
Conv1_3,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	844.361054809409,	6194.788424373833,	7039.149479183242,	
Conv2_3,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	7118.692207069363,	86380.96037562616,	93499.65258269553,	
Conv1_4,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	844.361054809409,	6194.788424373833,	7039.149479183242,	
Conv2_4,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	7118.692207069363,	86380.96037562616,	93499.65258269553,	
Conv1_5,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	844.361054809409,	6194.788424373833,	7039.149479183242,	
Conv2_5,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	7118.692207069363,	86380.96037562616,	93499.65258269553,	
Conv1_6,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	844.361054809409,	6194.788424373833,	7039.149479183242,	
Conv2_6,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	7118.692207069363,	86380.96037562616,	93499.65258269553,	
Conv1_7,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	844.361054809409,	6194.788424373833,	7039.149479183242,	
Conv2_7,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	7118.692207069363,	86380.96037562616,	93499.65258269553,	
Conv1_8,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	844.361054809409,	6194.788424373833,	7039.149479183242,	
Conv2_8,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	7118.692207069363,	86380.96037562616,	93499.65258269553,	
Conv1_9,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	1996.2849265046732,	1996.2849265046732,	1996.2849265046732,	5988.854779514019,	6016.794752814019,	0.5019417358771531,	15.934830520295726,	16.43677225617288,	0.056468445286179725,	15.934830520295726,	15.991298965581906,	2.968378824467361,	72.71571432556846,	75.68409315003582,	2.0078977037783337,	101.34826949365326,	103.3561671974316,	5.534686709409028,	205.93364485981317,	211.4683315692222,	844.361054809409,	6194.788424373833,	7039.149479183242,	
Conv2_9,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	27836.464673495328,	27836.464673495328,	27836.464673495328,	83509.39402048598,	85471.58915178599,	9.373761917505833,	222.1974132885929,	231.57117520609876,	1.3552426868683134,	222.1974132885929,	223.55265597546122,	55.43447454692796,	1013.9576701487086,	1069.3921446956365,	37.497489618060385,	1413.2138584142936,	1450.711348032354,	103.6609687693625,	2871.566355140188,	2975.2273239095507,	7118.692207069363,	86380.96037562616,	93499.65258269553,	
FC3_0,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	69490.78981592524,	69490.78981592524,	69490.78981592524,	208472.3694477757,	210017.4316327757,	6.556613924895312,	554.6923406254898,	561.2489545503851,	6.556613924895312,	554.6923406254898,	561.2489545503851,	47.494061191477776,	2531.2380780034473,	2578.732139194925,	32.12636326045334,	3527.938922988567,	3560.06528624902,	92.73365230172175,	7168.561682242994,	7261.295334544716,	18355.34233700172,	215640.9311300187,	233996.27346702042,	
FC3_1,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	69490.78981592524,	69490.78981592524,	69490.78981592524,	208472.3694477757,	210017.4316327757,	6.556613924895312,	554.6923406254898,	561.2489545503851,	6.556613924895312,	554.6923406254898,	561.2489545503851,	47.494061191477776,	2531.2380780034473,	2578.732139194925,	32.12636326045334,	3527.938922988567,	3560.06528624902,	92.73365230172175,	7168.561682242994,	7261.295334544716,	18355.34233700172,	215640.9311300187,	233996.27346702042,	
FC3_2,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	69490.78981592524,	69490.78981592524,	69490.78981592524,	208472.3694477757,	210017.4316327757,	6.556613924895312,	554.6923406254898,	561.2489545503851,	6.556613924895312,	554.6923406254898,	561.2489545503851,	47.494061191477776,	2531.2380780034473,	2578.732139194925,	32.12636326045334,	3527.938922988567,	3560.06528624902,	92.73365230172175,	7168.561682242994,	7261.295334544716,	18355.34233700172,	215640.9311300187,	233996.27346702042,	
FC3_3,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	69490.78981592524,	69490.78981592524,	69490.78981592524,	208472.3694477757,	210017.4316327757,	6.556613924895312,	554.6923406254898,	561.2489545503851,	6.556613924895312,	554.6923406254898,	561.2489545503851,	47.494061191477776,	2531.2380780034473,	2578.732139194925,	32.12636326045334,	3527.938922988567,	3560.06528624902,	92.73365230172175,	7168.561682242994,	7261.295334544716,	18355.34233700172,	215640.9311300187,	233996.27346702042,	
FC3_4,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	69490.78981592524,	69490.78981592524,	69490.78981592524,	208472.3694477757,	210017.4316327757,	6.556613924895312,	554.6923406254898,	561.2489545503851,	6.556613924895312,	554.6923406254898,	561.2489545503851,	47.494061191477776,	2531.2380780034473,	2578.732139194925,	32.12636326045334,	3527.938922988567,	3560.06528624902,	92.73365230172175,	7168.561682242994,	7261.295334544716,	18355.34233700172,	215640.9311300187,	233996.27346702042,	
FC3_5,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	69490.78981592524,	69490.78981592524,	69490.78981592524,	208472.3694477757,	210017.4316327757,	6.556613924895312,	554.6923406254898,	561.2489545503851,	6.556613924895312,	554.6923406254898,	561.2489545503851,	47.494061191477776,	2531.2380780034473,	2578.732139194925,	32.12636326045334,	3527.938922988567,	3560.06528624902,	92.73365230172175,	7168.561682242994,	7261.295334544716,	18355.34233700172,	215640.9311300187,	233996.27346702042,	
FC3_6,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	69490.78981592524,	69490.78981592524,	69490.78981592524,	208472.3694477757,	210017.4316327757,	6.556613924895312,	554.6923406254898,	561.2489545503851,	6.556613924895312,	554.6923406254898,	561.2489545503851,	47.494061191477776,	2531.2380780034473,	2578.732139194925,	32.12636326045334,	3527.938922988567,	3560.06528624902,	92.73365230172175,	7168.561682242994,	7261.295334544716,	18355.34233700172,	215640.9311300187,	233996.27346702042,	
FC3_7,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	69490.78981592524,	69490.78981592524,	69490.78981592524,	208472.3694477757,	210017.4316327757,	6.556613924895312,	554.6923406254898,	561.2489545503851,	6.556613924895312,	554.6923406254898,	561.2489545503851,	47.494061191477776,	2531.2380780034473,	2578.732139194925,	32.12636326045334,	3527.938922988567,	3560.06528624902,	92.73365230172175,	7168.561682242994,	7261.295334544716,	18355.34233700172,	215640.9311300187,	233996.27346702042,	
FC3_8,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	69490.78981592524,	69490.78981592524,	69490.78981592524,	208472.3694477757,	210017.4316327757,	6.556613924895312,	554.6923406254898,	561.2489545503851,	6.556613924895312,	554.6923406254898,	561.2489545503851,	47.494061191477776,	2531.2380780034473,	2578.732139194925,	32.12636326045334,	3527.938922988567,	3560.06528624902,	92.73365230172175,	7168.561682242994,	7261.295334544716,	18355.34233700172,	215640.9311300187,	233996.27346702042,	
FC3_9,	GEMM,	65.9012587,	16504.7418023,	0.0,	146.9034387,	16717.546499699998,	90.6551878,	1239.92836,	99.8390016,	114.6396356,	1545.0621850000002,	69490.78981592524,	69490.78981592524,	69490.78981592524,	208472.3694477757,	210017.4316327757,	6.556613924895312,	554.6923406254898,	561.2489545503851,	6.556613924895312,	554.6923406254898,	561.2489545503851,	47.494061191477776,	2531.2380780034473,	2578.732139194925,	32.12636326045334,	3527.938922988567,	3560.06528624902,	92.73365230172175,	7168.561682242994,	7261.295334544716,	18355.34233700172,	215640.9311300187,	233996.27346702042,	
RNN4_FG_0,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	42552.09573786916,	42552.09573786916,	42552.09573786916,	127656.28721360749,	128777.02353430749,	5.0194173587715305,	339.6611500010522,	344.6805673598237,	5.0194173587715305,	339.6611500010522,	344.6805673598237,	32.0584913042475,	1549.9821676491981,	1582.0406589534457,	21.685295200806003,	2160.303476273933,	2181.988771474739,	63.78262122259656,	4389.607943925235,	4453.390565147832,	13412.634112022597,	132045.8951575327,	145458.5292695553,	
RNN4_NG_0,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	42552.09573786916,	42552.09573786916,	42552.09573786916,	127656.28721360749,	128777.02353430749,	5.0194173587715305,	339.6611500010522,	344.6805673598237,	5.0194173587715305,	339.6611500010522,	344.6805673598237,	32.0584913042475,	1549.9821676491981,	1582.0406589534457,	21.685295200806003,	2160.303476273933,	2181.988771474739,	63.78262122259656,	4389.607943925235,	4453.390565147832,	13412.634112022597,	132045.8951575327,	145458.5292695553,	
RNN4_ptwise1_0,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	830.8560168971964,	830.8560168971964,	830.8560168971964,	2492.568050691589,	2498.7323664915893,	0.20077669435086123,	6.632094266826992,	6.8328709611778535,	0.20077669435086123,	6.632094266826992,	6.8328709611778535,	1.1873515297869444,	30.264361548909775,	31.45171307869672,	0.8031590815113334,	42.18126300154842,	42.984422083059755,	2.3920640000000004,	85.70981308411218,	88.10187708411219,	88.99409589999999,	2578.2778637757015,	2667.2719596757015,	
RNN4_ptwise2_0,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	830.8560168971964,	830.8560168971964,	830.8560168971964,	2492.568050691589,	2498.7323664915893,	0.20077669435086123,	6.632094266826992,	6.8328709611778535,	0.20077669435086123,	6.632094266826992,	6.8328709611778535,	1.1873515297869444,	30.264361548909775,	31.45171307869672,	0.8031590815113334,	42.18126300154842,	42.984422083059755,	2.3920640000000004,	85.70981308411218,	88.10187708411219,	88.99409589999999,	2578.2778637757015,	2667.2719596757015,	
RNN4_FG_1,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	42552.09573786916,	42552.09573786916,	42552.09573786916,	127656.28721360749,	128777.02353430749,	5.0194173587715305,	339.6611500010522,	344.6805673598237,	5.0194173587715305,	339.6611500010522,	344.6805673598237,	32.0584913042475,	1549.9821676491981,	1582.0406589534457,	21.685295200806003,	2160.303476273933,	2181.988771474739,	63.78262122259656,	4389.607943925235,	4453.390565147832,	13412.634112022597,	132045.8951575327,	145458.5292695553,	
RNN4_NG_1,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	42552.09573786916,	42552.09573786916,	42552.09573786916,	127656.28721360749,	128777.02353430749,	5.0194173587715305,	339.6611500010522,	344.6805673598237,	5.0194173587715305,	339.6611500010522,	344.6805673598237,	32.0584913042475,	1549.9821676491981,	1582.0406589534457,	21.685295200806003,	2160.303476273933,	2181.988771474739,	63.78262122259656,	4389.607943925235,	4453.390565147832,	13412.634112022597,	132045.8951575327,	145458.5292695553,	
RNN4_ptwise1_1,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	830.8560168971964,	830.8560168971964,	830.8560168971964,	2492.568050691589,	2498.7323664915893,	0.20077669435086123,	6.632094266826992,	6.8328709611778535,	0.20077669435086123,	6.632094266826992,	6.8328709611778535,	1.1873515297869444,	30.264361548909775,	31.45171307869672,	0.8031590815113334,	42.18126300154842,	42.984422083059755,	2.3920640000000004,	85.70981308411218,	88.10187708411219,	88.99409589999999,	2578.2778637757015,	2667.2719596757015,	
RNN4_ptwise2_1,	GEMM,	37.782558699999996,	37.782558699999996,	0.0,	4.8725987,	80.43771609999999,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	830.8560168971964,	830.8560168971964,	830.8560168971964,	2492.568050691589,	2498.7323664915893,	0.20077669435086123,	6.632094266826992,	6.8328709611778535,	0.20077669435086123,	6.632094266826992,	6.8328709611778535,	1.1873515297869444,	30.264361548909775,	31.45171307869672,	0.8031590815113334,	42.18126300154842,	42.984422083059755,	2.3920640000000004,	85.70981308411218,	88.10187708411219,	88.99409589999999,	2578.2778637757015,	2667.2719596757015,	
RNN4_FG_2,	GEMM,	187.7489587,	12003.4221327,	0.0,	36.9440787,	12228.1151701,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	42552.09573786916,	42552.09573786916,	42552.09573786916,	127656.28721360749,	128777.02353430749,	5.0194173587715305,	339.6611500010522,	344.6805673598237,	5.0194173587715305,	339.6611500010522,	344.6805673598237,	32.0584913042475,	1549.9821676491981,	1582.0406589534457,	21.685295200806003,	2160.303476273933,	2181.988771474739,	63.78262122259656,	4389.607943925235,	4453.390565147832,	13412.634112022597,	132045.8951575327,	145458.5292695553,	
