Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_0,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3644.57844576,	4089.7432121599995,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	610.2928203885714,	610.2928203885714,	610.2928203885714,	1830.8784611657143,	1858.8184344657143,	0.5019417358771531,	4.871505330490407,	5.37344706636756,	0.056468445286179725,	4.871505330490407,	4.927973775776587,	2.968378824467361,	22.23023266524521,	25.198611489712572,	2.0078977037783337,	30.983613816631134,	32.99151152040947,	5.534686709409028,	62.95685714285716,	68.49154385226619,	478.639426409409,	5538.413764068571,	6017.05319047798,	
Conv2_0,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	50820.49050624,	53624.78066224,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	8510.00491446857,	8510.00491446857,	8510.00491446857,	25530.014743405714,	27492.209874705713,	9.373761917505833,	67.92892349108412,	77.30268540858995,	1.3552426868683134,	67.92892349108412,	69.28416617795243,	55.43447454692796,	309.98134487403377,	365.4158194209617,	37.497489618060385,	432.0396652866554,	469.5371549047158,	103.6609687693625,	877.8788571428574,	981.53982591222,	4870.146256069363,	77228.38410678857,	82098.53036285793,	
Conv1_1,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3644.57844576,	4089.7432121599995,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	610.2928203885714,	610.2928203885714,	610.2928203885714,	1830.8784611657143,	1858.8184344657143,	0.5019417358771531,	4.871505330490407,	5.37344706636756,	0.056468445286179725,	4.871505330490407,	4.927973775776587,	2.968378824467361,	22.23023266524521,	25.198611489712572,	2.0078977037783337,	30.983613816631134,	32.99151152040947,	5.534686709409028,	62.95685714285716,	68.49154385226619,	478.639426409409,	5538.413764068571,	6017.05319047798,	
Conv2_1,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	50820.49050624,	53624.78066224,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	8510.00491446857,	8510.00491446857,	8510.00491446857,	25530.014743405714,	27492.209874705713,	9.373761917505833,	67.92892349108412,	77.30268540858995,	1.3552426868683134,	67.92892349108412,	69.28416617795243,	55.43447454692796,	309.98134487403377,	365.4158194209617,	37.497489618060385,	432.0396652866554,	469.5371549047158,	103.6609687693625,	877.8788571428574,	981.53982591222,	4870.146256069363,	77228.38410678857,	82098.53036285793,	
Conv1_2,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3644.57844576,	4089.7432121599995,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	610.2928203885714,	610.2928203885714,	610.2928203885714,	1830.8784611657143,	1858.8184344657143,	0.5019417358771531,	4.871505330490407,	5.37344706636756,	0.056468445286179725,	4.871505330490407,	4.927973775776587,	2.968378824467361,	22.23023266524521,	25.198611489712572,	2.0078977037783337,	30.983613816631134,	32.99151152040947,	5.534686709409028,	62.95685714285716,	68.49154385226619,	478.639426409409,	5538.413764068571,	6017.05319047798,	
Conv2_2,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	50820.49050624,	53624.78066224,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	8510.00491446857,	8510.00491446857,	8510.00491446857,	25530.014743405714,	27492.209874705713,	9.373761917505833,	67.92892349108412,	77.30268540858995,	1.3552426868683134,	67.92892349108412,	69.28416617795243,	55.43447454692796,	309.98134487403377,	365.4158194209617,	37.497489618060385,	432.0396652866554,	469.5371549047158,	103.6609687693625,	877.8788571428574,	981.53982591222,	4870.146256069363,	77228.38410678857,	82098.53036285793,	
Conv1_3,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3644.57844576,	4089.7432121599995,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	610.2928203885714,	610.2928203885714,	610.2928203885714,	1830.8784611657143,	1858.8184344657143,	0.5019417358771531,	4.871505330490407,	5.37344706636756,	0.056468445286179725,	4.871505330490407,	4.927973775776587,	2.968378824467361,	22.23023266524521,	25.198611489712572,	2.0078977037783337,	30.983613816631134,	32.99151152040947,	5.534686709409028,	62.95685714285716,	68.49154385226619,	478.639426409409,	5538.413764068571,	6017.05319047798,	
Conv2_3,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	50820.49050624,	53624.78066224,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	8510.00491446857,	8510.00491446857,	8510.00491446857,	25530.014743405714,	27492.209874705713,	9.373761917505833,	67.92892349108412,	77.30268540858995,	1.3552426868683134,	67.92892349108412,	69.28416617795243,	55.43447454692796,	309.98134487403377,	365.4158194209617,	37.497489618060385,	432.0396652866554,	469.5371549047158,	103.6609687693625,	877.8788571428574,	981.53982591222,	4870.146256069363,	77228.38410678857,	82098.53036285793,	
Conv1_4,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3644.57844576,	4089.7432121599995,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	610.2928203885714,	610.2928203885714,	610.2928203885714,	1830.8784611657143,	1858.8184344657143,	0.5019417358771531,	4.871505330490407,	5.37344706636756,	0.056468445286179725,	4.871505330490407,	4.927973775776587,	2.968378824467361,	22.23023266524521,	25.198611489712572,	2.0078977037783337,	30.983613816631134,	32.99151152040947,	5.534686709409028,	62.95685714285716,	68.49154385226619,	478.639426409409,	5538.413764068571,	6017.05319047798,	
Conv2_4,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	50820.49050624,	53624.78066224,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	8510.00491446857,	8510.00491446857,	8510.00491446857,	25530.014743405714,	27492.209874705713,	9.373761917505833,	67.92892349108412,	77.30268540858995,	1.3552426868683134,	67.92892349108412,	69.28416617795243,	55.43447454692796,	309.98134487403377,	365.4158194209617,	37.497489618060385,	432.0396652866554,	469.5371549047158,	103.6609687693625,	877.8788571428574,	981.53982591222,	4870.146256069363,	77228.38410678857,	82098.53036285793,	
