Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_0,	GEMM,	3.5946204078212296,	4.616948899441341,	0.0,	35.31012573184358,	43.52169503910614,	356.3135352,	399.8352302391061,	0.7882508770949721,	0.13597150977653633,	0.0,	1.807339248603352,	2.7315616354748604,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	181.7280592354749,	0.049072516077375304,	0.47626448761777723,	0.5253370036951526,	0.005520658058704722,	0.47626448761777723,	0.48178514567648195,	0.29020463367697663,	2.173346768948554,	2.463551402625531,	0.1963028481347533,	3.0291242558158933,	3.2254271039506466,	0.54110065594781,	6.155000000000002,	6.696100655947812,	46.79435733052882,	541.4650328,	588.2593901305288,	
Conv2_0,	GEMM,	4.034743792467948,	10.563413647836539,	0.0,	5.063332034855769,	19.661489475160256,	356.3135352,	375.9750246751602,	3.3729369373998397,	1.4225576682692307,	4.210895390625,	4.750987727163461,	13.757377723457532,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	192.75387532345752,	0.06572148780302567,	0.4762644876177773,	0.541985975420803,	0.009501901851039857,	0.4762644876177773,	0.4857663894688171,	0.3886631829211696,	2.173346768948554,	2.5620099518697237,	0.2629030722420099,	3.0291242558158933,	3.292027328057903,	0.7267896448172451,	6.155000000000002,	6.881789644817247,	34.145656843435034,	541.4650327999999,	575.610689643435,	
Conv1_1,	GEMM,	3.5946204078212296,	4.616948899441341,	0.0,	35.31012573184358,	43.52169503910614,	356.3135352,	399.8352302391061,	0.7882508770949721,	0.13597150977653633,	0.0,	1.807339248603352,	2.7315616354748604,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	181.7280592354749,	0.049072516077375304,	0.47626448761777723,	0.5253370036951526,	0.005520658058704722,	0.47626448761777723,	0.48178514567648195,	0.29020463367697663,	2.173346768948554,	2.463551402625531,	0.1963028481347533,	3.0291242558158933,	3.2254271039506466,	0.54110065594781,	6.155000000000002,	6.696100655947812,	46.79435733052882,	541.4650328,	588.2593901305288,	
Conv2_1,	GEMM,	4.034743792467948,	10.563413647836539,	0.0,	5.063332034855769,	19.661489475160256,	356.3135352,	375.9750246751602,	3.3729369373998397,	1.4225576682692307,	4.210895390625,	4.750987727163461,	13.757377723457532,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	192.75387532345752,	0.06572148780302567,	0.4762644876177773,	0.541985975420803,	0.009501901851039857,	0.4762644876177773,	0.4857663894688171,	0.3886631829211696,	2.173346768948554,	2.5620099518697237,	0.2629030722420099,	3.0291242558158933,	3.292027328057903,	0.7267896448172451,	6.155000000000002,	6.881789644817247,	34.145656843435034,	541.4650327999999,	575.610689643435,	
Conv1_2,	GEMM,	3.5946204078212296,	4.616948899441341,	0.0,	35.31012573184358,	43.52169503910614,	356.3135352,	399.8352302391061,	0.7882508770949721,	0.13597150977653633,	0.0,	1.807339248603352,	2.7315616354748604,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	181.7280592354749,	0.049072516077375304,	0.47626448761777723,	0.5253370036951526,	0.005520658058704722,	0.47626448761777723,	0.48178514567648195,	0.29020463367697663,	2.173346768948554,	2.463551402625531,	0.1963028481347533,	3.0291242558158933,	3.2254271039506466,	0.54110065594781,	6.155000000000002,	6.696100655947812,	46.79435733052882,	541.4650328,	588.2593901305288,	
Conv2_2,	GEMM,	4.034743792467948,	10.563413647836539,	0.0,	5.063332034855769,	19.661489475160256,	356.3135352,	375.9750246751602,	3.3729369373998397,	1.4225576682692307,	4.210895390625,	4.750987727163461,	13.757377723457532,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	192.75387532345752,	0.06572148780302567,	0.4762644876177773,	0.541985975420803,	0.009501901851039857,	0.4762644876177773,	0.4857663894688171,	0.3886631829211696,	2.173346768948554,	2.5620099518697237,	0.2629030722420099,	3.0291242558158933,	3.292027328057903,	0.7267896448172451,	6.155000000000002,	6.881789644817247,	34.145656843435034,	541.4650327999999,	575.610689643435,	
Conv1_3,	GEMM,	3.5946204078212296,	4.616948899441341,	0.0,	35.31012573184358,	43.52169503910614,	356.3135352,	399.8352302391061,	0.7882508770949721,	0.13597150977653633,	0.0,	1.807339248603352,	2.7315616354748604,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	181.7280592354749,	0.049072516077375304,	0.47626448761777723,	0.5253370036951526,	0.005520658058704722,	0.47626448761777723,	0.48178514567648195,	0.29020463367697663,	2.173346768948554,	2.463551402625531,	0.1963028481347533,	3.0291242558158933,	3.2254271039506466,	0.54110065594781,	6.155000000000002,	6.696100655947812,	46.79435733052882,	541.4650328,	588.2593901305288,	
Conv2_3,	GEMM,	4.034743792467948,	10.563413647836539,	0.0,	5.063332034855769,	19.661489475160256,	356.3135352,	375.9750246751602,	3.3729369373998397,	1.4225576682692307,	4.210895390625,	4.750987727163461,	13.757377723457532,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	192.75387532345752,	0.06572148780302567,	0.4762644876177773,	0.541985975420803,	0.009501901851039857,	0.4762644876177773,	0.4857663894688171,	0.3886631829211696,	2.173346768948554,	2.5620099518697237,	0.2629030722420099,	3.0291242558158933,	3.292027328057903,	0.7267896448172451,	6.155000000000002,	6.881789644817247,	34.145656843435034,	541.4650327999999,	575.610689643435,	
Conv1_4,	GEMM,	3.5946204078212296,	4.616948899441341,	0.0,	35.31012573184358,	43.52169503910614,	356.3135352,	399.8352302391061,	0.7882508770949721,	0.13597150977653633,	0.0,	1.807339248603352,	2.7315616354748604,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	181.7280592354749,	0.049072516077375304,	0.47626448761777723,	0.5253370036951526,	0.005520658058704722,	0.47626448761777723,	0.48178514567648195,	0.29020463367697663,	2.173346768948554,	2.463551402625531,	0.1963028481347533,	3.0291242558158933,	3.2254271039506466,	0.54110065594781,	6.155000000000002,	6.696100655947812,	46.79435733052882,	541.4650328,	588.2593901305288,	
Conv2_4,	GEMM,	4.034743792467948,	10.563413647836539,	0.0,	5.063332034855769,	19.661489475160256,	356.3135352,	375.9750246751602,	3.3729369373998397,	1.4225576682692307,	4.210895390625,	4.750987727163461,	13.757377723457532,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	192.75387532345752,	0.06572148780302567,	0.4762644876177773,	0.541985975420803,	0.009501901851039857,	0.4762644876177773,	0.4857663894688171,	0.3886631829211696,	2.173346768948554,	2.5620099518697237,	0.2629030722420099,	3.0291242558158933,	3.292027328057903,	0.7267896448172451,	6.155000000000002,	6.881789644817247,	34.145656843435034,	541.4650327999999,	575.610689643435,	
Conv1_5,	GEMM,	3.5946204078212296,	4.616948899441341,	0.0,	35.31012573184358,	43.52169503910614,	356.3135352,	399.8352302391061,	0.7882508770949721,	0.13597150977653633,	0.0,	1.807339248603352,	2.7315616354748604,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	181.7280592354749,	0.049072516077375304,	0.47626448761777723,	0.5253370036951526,	0.005520658058704722,	0.47626448761777723,	0.48178514567648195,	0.29020463367697663,	2.173346768948554,	2.463551402625531,	0.1963028481347533,	3.0291242558158933,	3.2254271039506466,	0.54110065594781,	6.155000000000002,	6.696100655947812,	46.79435733052882,	541.4650328,	588.2593901305288,	
Conv2_5,	GEMM,	4.034743792467948,	10.563413647836539,	0.0,	5.063332034855769,	19.661489475160256,	356.3135352,	375.9750246751602,	3.3729369373998397,	1.4225576682692307,	4.210895390625,	4.750987727163461,	13.757377723457532,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	192.75387532345752,	0.06572148780302567,	0.4762644876177773,	0.541985975420803,	0.009501901851039857,	0.4762644876177773,	0.4857663894688171,	0.3886631829211696,	2.173346768948554,	2.5620099518697237,	0.2629030722420099,	3.0291242558158933,	3.292027328057903,	0.7267896448172451,	6.155000000000002,	6.881789644817247,	34.145656843435034,	541.4650327999999,	575.610689643435,	
Conv1_6,	GEMM,	3.5946204078212296,	4.616948899441341,	0.0,	35.31012573184358,	43.52169503910614,	356.3135352,	399.8352302391061,	0.7882508770949721,	0.13597150977653633,	0.0,	1.807339248603352,	2.7315616354748604,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	181.7280592354749,	0.049072516077375304,	0.47626448761777723,	0.5253370036951526,	0.005520658058704722,	0.47626448761777723,	0.48178514567648195,	0.29020463367697663,	2.173346768948554,	2.463551402625531,	0.1963028481347533,	3.0291242558158933,	3.2254271039506466,	0.54110065594781,	6.155000000000002,	6.696100655947812,	46.79435733052882,	541.4650328,	588.2593901305288,	
Conv2_6,	GEMM,	4.034743792467948,	10.563413647836539,	0.0,	5.063332034855769,	19.661489475160256,	356.3135352,	375.9750246751602,	3.3729369373998397,	1.4225576682692307,	4.210895390625,	4.750987727163461,	13.757377723457532,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	192.75387532345752,	0.06572148780302567,	0.4762644876177773,	0.541985975420803,	0.009501901851039857,	0.4762644876177773,	0.4857663894688171,	0.3886631829211696,	2.173346768948554,	2.5620099518697237,	0.2629030722420099,	3.0291242558158933,	3.292027328057903,	0.7267896448172451,	6.155000000000002,	6.881789644817247,	34.145656843435034,	541.4650327999999,	575.610689643435,	
Conv1_7,	GEMM,	3.5946204078212296,	4.616948899441341,	0.0,	35.31012573184358,	43.52169503910614,	356.3135352,	399.8352302391061,	0.7882508770949721,	0.13597150977653633,	0.0,	1.807339248603352,	2.7315616354748604,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	181.7280592354749,	0.049072516077375304,	0.47626448761777723,	0.5253370036951526,	0.005520658058704722,	0.47626448761777723,	0.48178514567648195,	0.29020463367697663,	2.173346768948554,	2.463551402625531,	0.1963028481347533,	3.0291242558158933,	3.2254271039506466,	0.54110065594781,	6.155000000000002,	6.696100655947812,	46.79435733052882,	541.4650328,	588.2593901305288,	
