Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.0024495344588210464,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.03130950408274901,	0.028859969623927964,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.05771993924785593,	
Conv2_0,	GEMM,	0.0028106837700574826,	0.0073588811434232276,	0.0,	0.0036794405717116138,	0.013849005485192325,	0.049672447718106784,	0.0073588811434232276,	0.04047384628882775,	0.04415328686053936,	0.1416584620108971,	
Conv1_1,	GEMM,	0.0024495344588210464,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.03130950408274901,	0.028859969623927964,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.05771993924785593,	
Conv2_1,	GEMM,	0.0028106837700574826,	0.0073588811434232276,	0.0,	0.0036794405717116138,	0.013849005485192325,	0.049672447718106784,	0.0073588811434232276,	0.04047384628882775,	0.04415328686053936,	0.1416584620108971,	
Conv1_2,	GEMM,	0.0024495344588210464,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.03130950408274901,	0.028859969623927964,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.05771993924785593,	
Conv2_2,	GEMM,	0.0028106837700574826,	0.0073588811434232276,	0.0,	0.0036794405717116138,	0.013849005485192325,	0.049672447718106784,	0.0073588811434232276,	0.04047384628882775,	0.04415328686053936,	0.1416584620108971,	
Conv1_3,	GEMM,	0.0024495344588210464,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.03130950408274901,	0.028859969623927964,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.05771993924785593,	
Conv2_3,	GEMM,	0.0028106837700574826,	0.0073588811434232276,	0.0,	0.0036794405717116138,	0.013849005485192325,	0.049672447718106784,	0.0073588811434232276,	0.04047384628882775,	0.04415328686053936,	0.1416584620108971,	
Conv1_4,	GEMM,	0.0024495344588210464,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.03130950408274901,	0.028859969623927964,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.05771993924785593,	
Conv2_4,	GEMM,	0.0028106837700574826,	0.0073588811434232276,	0.0,	0.0036794405717116138,	0.013849005485192325,	0.049672447718106784,	0.0073588811434232276,	0.04047384628882775,	0.04415328686053936,	0.1416584620108971,	
Conv1_5,	GEMM,	0.0024495344588210464,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.03130950408274901,	0.028859969623927964,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.05771993924785593,	
Conv2_5,	GEMM,	0.0028106837700574826,	0.0073588811434232276,	0.0,	0.0036794405717116138,	0.013849005485192325,	0.049672447718106784,	0.0073588811434232276,	0.04047384628882775,	0.04415328686053936,	0.1416584620108971,	
Conv1_6,	GEMM,	0.0024495344588210464,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.03130950408274901,	0.028859969623927964,	0.0032066632915475515,	0.0,	0.025653306332380412,	0.05771993924785593,	
Conv2_6,	GEMM,	0.0028106837700574826,	0.0073588811434232276,	0.0,	0.0036794405717116138,	0.013849005485192325,	0.049672447718106784,	0.0073588811434232276,	0.04047384628882775,	0.04415328686053936,	0.1416584620108971,	
