Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.01802811576001471,	0.023600442449473805,	0.0,	0.18880353959579044,	0.23043209780527896,	0.21240398204526423,	0.023600442449473805,	0.0,	0.18880353959579044,	0.42480796409052846,	
Conv2_0,	GEMM,	0.02195260354450771,	0.05747590746198382,	0.0,	0.02873795373099191,	0.10816646473748345,	0.3879623753683908,	0.05747590746198382,	0.316117491040911,	0.34485544477190294,	1.1064112186431887,	
Conv1_1,	GEMM,	0.01802811576001471,	0.023600442449473805,	0.0,	0.18880353959579044,	0.23043209780527896,	0.21240398204526423,	0.023600442449473805,	0.0,	0.18880353959579044,	0.42480796409052846,	
Conv2_1,	GEMM,	0.02195260354450771,	0.05747590746198382,	0.0,	0.02873795373099191,	0.10816646473748345,	0.3879623753683908,	0.05747590746198382,	0.316117491040911,	0.34485544477190294,	1.1064112186431887,	
Conv1_2,	GEMM,	0.01802811576001471,	0.023600442449473805,	0.0,	0.18880353959579044,	0.23043209780527896,	0.21240398204526423,	0.023600442449473805,	0.0,	0.18880353959579044,	0.42480796409052846,	
Conv2_2,	GEMM,	0.02195260354450771,	0.05747590746198382,	0.0,	0.02873795373099191,	0.10816646473748345,	0.3879623753683908,	0.05747590746198382,	0.316117491040911,	0.34485544477190294,	1.1064112186431887,	
Conv1_3,	GEMM,	0.01802811576001471,	0.023600442449473805,	0.0,	0.18880353959579044,	0.23043209780527896,	0.21240398204526423,	0.023600442449473805,	0.0,	0.18880353959579044,	0.42480796409052846,	
Conv2_3,	GEMM,	0.02195260354450771,	0.05747590746198382,	0.0,	0.02873795373099191,	0.10816646473748345,	0.3879623753683908,	0.05747590746198382,	0.316117491040911,	0.34485544477190294,	1.1064112186431887,	
Conv1_4,	GEMM,	0.01802811576001471,	0.023600442449473805,	0.0,	0.18880353959579044,	0.23043209780527896,	0.21240398204526423,	0.023600442449473805,	0.0,	0.18880353959579044,	0.42480796409052846,	
Conv2_4,	GEMM,	0.02195260354450771,	0.05747590746198382,	0.0,	0.02873795373099191,	0.10816646473748345,	0.3879623753683908,	0.05747590746198382,	0.316117491040911,	0.34485544477190294,	1.1064112186431887,	
Conv1_5,	GEMM,	0.01802811576001471,	0.023600442449473805,	0.0,	0.18880353959579044,	0.23043209780527896,	0.21240398204526423,	0.023600442449473805,	0.0,	0.18880353959579044,	0.42480796409052846,	
Conv2_5,	GEMM,	0.02195260354450771,	0.05747590746198382,	0.0,	0.02873795373099191,	0.10816646473748345,	0.3879623753683908,	0.05747590746198382,	0.316117491040911,	0.34485544477190294,	1.1064112186431887,	
Conv1_6,	GEMM,	0.01802811576001471,	0.023600442449473805,	0.0,	0.18880353959579044,	0.23043209780527896,	0.21240398204526423,	0.023600442449473805,	0.0,	0.18880353959579044,	0.42480796409052846,	
Conv2_6,	GEMM,	0.02195260354450771,	0.05747590746198382,	0.0,	0.02873795373099191,	0.10816646473748345,	0.3879623753683908,	0.05747590746198382,	0.316117491040911,	0.34485544477190294,	1.1064112186431887,	
Conv1_7,	GEMM,	0.01802811576001471,	0.023600442449473805,	0.0,	0.18880353959579044,	0.23043209780527896,	0.21240398204526423,	0.023600442449473805,	0.0,	0.18880353959579044,	0.42480796409052846,	
Conv2_7,	GEMM,	0.02195260354450771,	0.05747590746198382,	0.0,	0.02873795373099191,	0.10816646473748345,	0.3879623753683908,	0.05747590746198382,	0.316117491040911,	0.34485544477190294,	1.1064112186431887,	
Conv1_8,	GEMM,	0.01802811576001471,	0.023600442449473805,	0.0,	0.18880353959579044,	0.23043209780527896,	0.21240398204526423,	0.023600442449473805,	0.0,	0.18880353959579044,	0.42480796409052846,	
Conv2_8,	GEMM,	0.02195260354450771,	0.05747590746198382,	0.0,	0.02873795373099191,	0.10816646473748345,	0.3879623753683908,	0.05747590746198382,	0.316117491040911,	0.34485544477190294,	1.1064112186431887,	
Conv1_9,	GEMM,	0.01802811576001471,	0.023600442449473805,	0.0,	0.18880353959579044,	0.23043209780527896,	0.21240398204526423,	0.023600442449473805,	0.0,	0.18880353959579044,	0.42480796409052846,	
Conv2_9,	GEMM,	0.02195260354450771,	0.05747590746198382,	0.0,	0.02873795373099191,	0.10816646473748345,	0.3879623753683908,	0.05747590746198382,	0.316117491040911,	0.34485544477190294,	1.1064112186431887,	
FC3_0,	GEMM,	0.0009268338500710328,	0.2372694656181844,	0.0,	6.74060981869842e-05,	0.2382637055664424,	0.017609843151349624,	0.2372694656181844,	0.019749986768786372,	0.019817392866973357,	0.29444668840529375,	
FC3_1,	GEMM,	0.0009268338500710328,	0.2372694656181844,	0.0,	6.74060981869842e-05,	0.2382637055664424,	0.017609843151349624,	0.2372694656181844,	0.019749986768786372,	0.019817392866973357,	0.29444668840529375,	
FC3_2,	GEMM,	0.0009268338500710328,	0.2372694656181844,	0.0,	6.74060981869842e-05,	0.2382637055664424,	0.017609843151349624,	0.2372694656181844,	0.019749986768786372,	0.019817392866973357,	0.29444668840529375,	
FC3_3,	GEMM,	0.0009268338500710328,	0.2372694656181844,	0.0,	6.74060981869842e-05,	0.2382637055664424,	0.017609843151349624,	0.2372694656181844,	0.019749986768786372,	0.019817392866973357,	0.29444668840529375,	
FC3_4,	GEMM,	0.0009268338500710328,	0.2372694656181844,	0.0,	6.74060981869842e-05,	0.2382637055664424,	0.017609843151349624,	0.2372694656181844,	0.019749986768786372,	0.019817392866973357,	0.29444668840529375,	
FC3_5,	GEMM,	0.0009268338500710328,	0.2372694656181844,	0.0,	6.74060981869842e-05,	0.2382637055664424,	0.017609843151349624,	0.2372694656181844,	0.019749986768786372,	0.019817392866973357,	0.29444668840529375,	
FC3_6,	GEMM,	0.0009268338500710328,	0.2372694656181844,	0.0,	6.74060981869842e-05,	0.2382637055664424,	0.017609843151349624,	0.2372694656181844,	0.019749986768786372,	0.019817392866973357,	0.29444668840529375,	
FC3_7,	GEMM,	0.0009268338500710328,	0.2372694656181844,	0.0,	6.74060981869842e-05,	0.2382637055664424,	0.017609843151349624,	0.2372694656181844,	0.019749986768786372,	0.019817392866973357,	0.29444668840529375,	
FC3_8,	GEMM,	0.0009268338500710328,	0.2372694656181844,	0.0,	6.74060981869842e-05,	0.2382637055664424,	0.017609843151349624,	0.2372694656181844,	0.019749986768786372,	0.019817392866973357,	0.29444668840529375,	
