Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_0,	GEMM,	5.443282331843576,	6.991379762011173,	0.0,	53.46961896536313,	65.90428105921788,	356.31353519999993,	422.2178162592178,	1.1936370424581004,	0.20589971480446928,	0.0,	2.7368280050279328,	4.136364762290503,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.1328623622905,	0.07430981006002546,	0.47626448761777723,	0.5505742976778026,	0.008359853631752864,	0.47626448761777723,	0.4846243412495301,	0.4394527309965646,	2.173346768948554,	2.6127994999451185,	0.297258598604055,	3.0291242558158933,	3.3263828544199483,	0.819380993292398,	6.155000000000002,	6.9743809932924,	70.86002681480078,	541.4650328,	612.3250596148008,	
Conv2_0,	GEMM,	6.109754885737179,	15.996026381009617,	0.0,	7.667331367067308,	29.773112633814105,	356.3135352,	386.0866478338141,	5.107590219491186,	2.1541587548076926,	6.376498734375,	7.1943528439903845,	20.832600552664264,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	199.82909815266427,	0.0995211101017246,	0.47626448761777723,	0.5757855977195019,	0.014388594231574642,	0.47626448761777723,	0.4906530818493519,	0.5885471055663426,	2.173346768948554,	2.761893874514897,	0.3981103665379008,	3.0291242558158933,	3.427234622353794,	1.1005671764375426,	6.155000000000002,	7.255567176437545,	51.70628036291591,	541.4650328,	593.1713131629159,	
Conv1_1,	GEMM,	5.443282331843576,	6.991379762011173,	0.0,	53.46961896536313,	65.90428105921788,	356.31353519999993,	422.2178162592178,	1.1936370424581004,	0.20589971480446928,	0.0,	2.7368280050279328,	4.136364762290503,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.1328623622905,	0.07430981006002546,	0.47626448761777723,	0.5505742976778026,	0.008359853631752864,	0.47626448761777723,	0.4846243412495301,	0.4394527309965646,	2.173346768948554,	2.6127994999451185,	0.297258598604055,	3.0291242558158933,	3.3263828544199483,	0.819380993292398,	6.155000000000002,	6.9743809932924,	70.86002681480078,	541.4650328,	612.3250596148008,	
Conv2_1,	GEMM,	6.109754885737179,	15.996026381009617,	0.0,	7.667331367067308,	29.773112633814105,	356.3135352,	386.0866478338141,	5.107590219491186,	2.1541587548076926,	6.376498734375,	7.1943528439903845,	20.832600552664264,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	199.82909815266427,	0.0995211101017246,	0.47626448761777723,	0.5757855977195019,	0.014388594231574642,	0.47626448761777723,	0.4906530818493519,	0.5885471055663426,	2.173346768948554,	2.761893874514897,	0.3981103665379008,	3.0291242558158933,	3.427234622353794,	1.1005671764375426,	6.155000000000002,	7.255567176437545,	51.70628036291591,	541.4650328,	593.1713131629159,	
Conv1_2,	GEMM,	5.443282331843576,	6.991379762011173,	0.0,	53.46961896536313,	65.90428105921788,	356.31353519999993,	422.2178162592178,	1.1936370424581004,	0.20589971480446928,	0.0,	2.7368280050279328,	4.136364762290503,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.1328623622905,	0.07430981006002546,	0.47626448761777723,	0.5505742976778026,	0.008359853631752864,	0.47626448761777723,	0.4846243412495301,	0.4394527309965646,	2.173346768948554,	2.6127994999451185,	0.297258598604055,	3.0291242558158933,	3.3263828544199483,	0.819380993292398,	6.155000000000002,	6.9743809932924,	70.86002681480078,	541.4650328,	612.3250596148008,	
Conv2_2,	GEMM,	6.109754885737179,	15.996026381009617,	0.0,	7.667331367067308,	29.773112633814105,	356.3135352,	386.0866478338141,	5.107590219491186,	2.1541587548076926,	6.376498734375,	7.1943528439903845,	20.832600552664264,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	199.82909815266427,	0.0995211101017246,	0.47626448761777723,	0.5757855977195019,	0.014388594231574642,	0.47626448761777723,	0.4906530818493519,	0.5885471055663426,	2.173346768948554,	2.761893874514897,	0.3981103665379008,	3.0291242558158933,	3.427234622353794,	1.1005671764375426,	6.155000000000002,	7.255567176437545,	51.70628036291591,	541.4650328,	593.1713131629159,	
Conv1_3,	GEMM,	5.443282331843576,	6.991379762011173,	0.0,	53.46961896536313,	65.90428105921788,	356.31353519999993,	422.2178162592178,	1.1936370424581004,	0.20589971480446928,	0.0,	2.7368280050279328,	4.136364762290503,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.1328623622905,	0.07430981006002546,	0.47626448761777723,	0.5505742976778026,	0.008359853631752864,	0.47626448761777723,	0.4846243412495301,	0.4394527309965646,	2.173346768948554,	2.6127994999451185,	0.297258598604055,	3.0291242558158933,	3.3263828544199483,	0.819380993292398,	6.155000000000002,	6.9743809932924,	70.86002681480078,	541.4650328,	612.3250596148008,	
Conv2_3,	GEMM,	6.109754885737179,	15.996026381009617,	0.0,	7.667331367067308,	29.773112633814105,	356.3135352,	386.0866478338141,	5.107590219491186,	2.1541587548076926,	6.376498734375,	7.1943528439903845,	20.832600552664264,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	199.82909815266427,	0.0995211101017246,	0.47626448761777723,	0.5757855977195019,	0.014388594231574642,	0.47626448761777723,	0.4906530818493519,	0.5885471055663426,	2.173346768948554,	2.761893874514897,	0.3981103665379008,	3.0291242558158933,	3.427234622353794,	1.1005671764375426,	6.155000000000002,	7.255567176437545,	51.70628036291591,	541.4650328,	593.1713131629159,	
Conv1_4,	GEMM,	5.443282331843576,	6.991379762011173,	0.0,	53.46961896536313,	65.90428105921788,	356.31353519999993,	422.2178162592178,	1.1936370424581004,	0.20589971480446928,	0.0,	2.7368280050279328,	4.136364762290503,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.1328623622905,	0.07430981006002546,	0.47626448761777723,	0.5505742976778026,	0.008359853631752864,	0.47626448761777723,	0.4846243412495301,	0.4394527309965646,	2.173346768948554,	2.6127994999451185,	0.297258598604055,	3.0291242558158933,	3.3263828544199483,	0.819380993292398,	6.155000000000002,	6.9743809932924,	70.86002681480078,	541.4650328,	612.3250596148008,	
Conv2_4,	GEMM,	6.109754885737179,	15.996026381009617,	0.0,	7.667331367067308,	29.773112633814105,	356.3135352,	386.0866478338141,	5.107590219491186,	2.1541587548076926,	6.376498734375,	7.1943528439903845,	20.832600552664264,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	199.82909815266427,	0.0995211101017246,	0.47626448761777723,	0.5757855977195019,	0.014388594231574642,	0.47626448761777723,	0.4906530818493519,	0.5885471055663426,	2.173346768948554,	2.761893874514897,	0.3981103665379008,	3.0291242558158933,	3.427234622353794,	1.1005671764375426,	6.155000000000002,	7.255567176437545,	51.70628036291591,	541.4650328,	593.1713131629159,	
Conv1_5,	GEMM,	5.443282331843576,	6.991379762011173,	0.0,	53.46961896536313,	65.90428105921788,	356.31353519999993,	422.2178162592178,	1.1936370424581004,	0.20589971480446928,	0.0,	2.7368280050279328,	4.136364762290503,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.1328623622905,	0.07430981006002546,	0.47626448761777723,	0.5505742976778026,	0.008359853631752864,	0.47626448761777723,	0.4846243412495301,	0.4394527309965646,	2.173346768948554,	2.6127994999451185,	0.297258598604055,	3.0291242558158933,	3.3263828544199483,	0.819380993292398,	6.155000000000002,	6.9743809932924,	70.86002681480078,	541.4650328,	612.3250596148008,	
Conv2_5,	GEMM,	6.109754885737179,	15.996026381009617,	0.0,	7.667331367067308,	29.773112633814105,	356.3135352,	386.0866478338141,	5.107590219491186,	2.1541587548076926,	6.376498734375,	7.1943528439903845,	20.832600552664264,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	199.82909815266427,	0.0995211101017246,	0.47626448761777723,	0.5757855977195019,	0.014388594231574642,	0.47626448761777723,	0.4906530818493519,	0.5885471055663426,	2.173346768948554,	2.761893874514897,	0.3981103665379008,	3.0291242558158933,	3.427234622353794,	1.1005671764375426,	6.155000000000002,	7.255567176437545,	51.70628036291591,	541.4650328,	593.1713131629159,	
