Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_0,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2406.797086822641,	2851.9618532226414,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	403.02356063396223,	403.02356063396223,	403.02356063396223,	1209.0706819018867,	1237.0106552018867,	0.5019417358771531,	3.217031822021967,	3.71897355789912,	0.056468445286179725,	3.217031822021967,	3.2735002673081466,	2.968378824467361,	14.680342326105327,	17.648721150572687,	2.0078977037783337,	20.460877048718675,	22.46877475249701,	5.534686709409028,	41.575283018867935,	47.109969728276965,	478.639426409409,	3657.443051743396,	4136.082478152805,	
Conv2_0,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	33560.70127770566,	36364.99143370566,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	5619.81456615849,	5619.81456615849,	5619.81456615849,	16859.443698475472,	18821.63882977547,	9.373761917505833,	44.858723060149885,	54.232484977655716,	1.3552426868683134,	44.858723060149885,	46.2139657470182,	55.43447454692796,	204.70466170926758,	260.13913625619557,	37.497489618060385,	285.3092129251498,	322.8067025432102,	103.6609687693625,	579.7313207547172,	683.3922895240797,	4870.146256069363,	50999.87629693585,	55870.02255300521,	
Conv1_1,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2406.797086822641,	2851.9618532226414,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	403.02356063396223,	403.02356063396223,	403.02356063396223,	1209.0706819018867,	1237.0106552018867,	0.5019417358771531,	3.217031822021967,	3.71897355789912,	0.056468445286179725,	3.217031822021967,	3.2735002673081466,	2.968378824467361,	14.680342326105327,	17.648721150572687,	2.0078977037783337,	20.460877048718675,	22.46877475249701,	5.534686709409028,	41.575283018867935,	47.109969728276965,	478.639426409409,	3657.443051743396,	4136.082478152805,	
Conv2_1,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	33560.70127770566,	36364.99143370566,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	5619.81456615849,	5619.81456615849,	5619.81456615849,	16859.443698475472,	18821.63882977547,	9.373761917505833,	44.858723060149885,	54.232484977655716,	1.3552426868683134,	44.858723060149885,	46.2139657470182,	55.43447454692796,	204.70466170926758,	260.13913625619557,	37.497489618060385,	285.3092129251498,	322.8067025432102,	103.6609687693625,	579.7313207547172,	683.3922895240797,	4870.146256069363,	50999.87629693585,	55870.02255300521,	
Conv1_2,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2406.797086822641,	2851.9618532226414,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	403.02356063396223,	403.02356063396223,	403.02356063396223,	1209.0706819018867,	1237.0106552018867,	0.5019417358771531,	3.217031822021967,	3.71897355789912,	0.056468445286179725,	3.217031822021967,	3.2735002673081466,	2.968378824467361,	14.680342326105327,	17.648721150572687,	2.0078977037783337,	20.460877048718675,	22.46877475249701,	5.534686709409028,	41.575283018867935,	47.109969728276965,	478.639426409409,	3657.443051743396,	4136.082478152805,	
Conv2_2,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	33560.70127770566,	36364.99143370566,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	5619.81456615849,	5619.81456615849,	5619.81456615849,	16859.443698475472,	18821.63882977547,	9.373761917505833,	44.858723060149885,	54.232484977655716,	1.3552426868683134,	44.858723060149885,	46.2139657470182,	55.43447454692796,	204.70466170926758,	260.13913625619557,	37.497489618060385,	285.3092129251498,	322.8067025432102,	103.6609687693625,	579.7313207547172,	683.3922895240797,	4870.146256069363,	50999.87629693585,	55870.02255300521,	
Conv1_3,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2406.797086822641,	2851.9618532226414,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	403.02356063396223,	403.02356063396223,	403.02356063396223,	1209.0706819018867,	1237.0106552018867,	0.5019417358771531,	3.217031822021967,	3.71897355789912,	0.056468445286179725,	3.217031822021967,	3.2735002673081466,	2.968378824467361,	14.680342326105327,	17.648721150572687,	2.0078977037783337,	20.460877048718675,	22.46877475249701,	5.534686709409028,	41.575283018867935,	47.109969728276965,	478.639426409409,	3657.443051743396,	4136.082478152805,	
Conv2_3,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	33560.70127770566,	36364.99143370566,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	5619.81456615849,	5619.81456615849,	5619.81456615849,	16859.443698475472,	18821.63882977547,	9.373761917505833,	44.858723060149885,	54.232484977655716,	1.3552426868683134,	44.858723060149885,	46.2139657470182,	55.43447454692796,	204.70466170926758,	260.13913625619557,	37.497489618060385,	285.3092129251498,	322.8067025432102,	103.6609687693625,	579.7313207547172,	683.3922895240797,	4870.146256069363,	50999.87629693585,	55870.02255300521,	
Conv1_4,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2406.797086822641,	2851.9618532226414,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	403.02356063396223,	403.02356063396223,	403.02356063396223,	1209.0706819018867,	1237.0106552018867,	0.5019417358771531,	3.217031822021967,	3.71897355789912,	0.056468445286179725,	3.217031822021967,	3.2735002673081466,	2.968378824467361,	14.680342326105327,	17.648721150572687,	2.0078977037783337,	20.460877048718675,	22.46877475249701,	5.534686709409028,	41.575283018867935,	47.109969728276965,	478.639426409409,	3657.443051743396,	4136.082478152805,	
Conv2_4,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	33560.70127770566,	36364.99143370566,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	5619.81456615849,	5619.81456615849,	5619.81456615849,	16859.443698475472,	18821.63882977547,	9.373761917505833,	44.858723060149885,	54.232484977655716,	1.3552426868683134,	44.858723060149885,	46.2139657470182,	55.43447454692796,	204.70466170926758,	260.13913625619557,	37.497489618060385,	285.3092129251498,	322.8067025432102,	103.6609687693625,	579.7313207547172,	683.3922895240797,	4870.146256069363,	50999.87629693585,	55870.02255300521,	
