Cycle, Top-1 acc (uSys), Top-5 acc (uSys), Top-1 acc (Fxp-o-res), Top-5 acc (Fxp-o-res), Top-1 acc (Fxp-i-res), Top-5 acc (Fxp-i-res),
32, 98.94, NA, 95.46, NA, 99.02, NA, 
64, 98.98, NA, 98.04, NA, 99.02, NA, 
128, 99.03, NA, 98.86, NA, 99.04, NA, 
256, 99.07, NA, 98.98, NA, 99.04, NA, 
512, 99.06, NA, 98.87, NA, 99.04, NA, 
1024, 99.07, NA, 99.01, NA, 99.04, NA, 
2048, 99.04, NA, 99.02, NA, 99.04, NA, 
4096, 99.04, NA, 99.05, NA, 99.04, NA, 
fp, 99.17, NA, 99.17, NA, 99.17, NA, 
