Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	1.143769968051118e-06,	874301.6759776537,	
Conv2_0,	GEMM,	4992.0,	1.594888178913738e-05,	62700.32051282052,	
Conv1_1,	GEMM,	358.0,	1.143769968051118e-06,	874301.6759776537,	
Conv2_1,	GEMM,	4992.0,	1.594888178913738e-05,	62700.32051282052,	
Conv1_2,	GEMM,	358.0,	1.143769968051118e-06,	874301.6759776537,	
Conv2_2,	GEMM,	4992.0,	1.594888178913738e-05,	62700.32051282052,	
Conv1_3,	GEMM,	358.0,	1.143769968051118e-06,	874301.6759776537,	
Conv2_3,	GEMM,	4992.0,	1.594888178913738e-05,	62700.32051282052,	
Conv1_4,	GEMM,	358.0,	1.143769968051118e-06,	874301.6759776537,	
Conv2_4,	GEMM,	4992.0,	1.594888178913738e-05,	62700.32051282052,	
Conv1_5,	GEMM,	358.0,	1.143769968051118e-06,	874301.6759776537,	
Conv2_5,	GEMM,	4992.0,	1.594888178913738e-05,	62700.32051282052,	
Conv1_6,	GEMM,	358.0,	1.143769968051118e-06,	874301.6759776537,	
Conv2_6,	GEMM,	4992.0,	1.594888178913738e-05,	62700.32051282052,	
Conv1_7,	GEMM,	358.0,	1.143769968051118e-06,	874301.6759776537,	
Conv2_7,	GEMM,	4992.0,	1.594888178913738e-05,	62700.32051282052,	
Conv1_8,	GEMM,	358.0,	1.143769968051118e-06,	874301.6759776537,	
Conv2_8,	GEMM,	4992.0,	1.594888178913738e-05,	62700.32051282052,	
Conv1_9,	GEMM,	358.0,	1.143769968051118e-06,	874301.6759776537,	
Conv2_9,	GEMM,	4992.0,	1.594888178913738e-05,	62700.32051282052,	
FC3_0,	GEMM,	222834.0,	0.000711929712460064,	1404.6330452264913,	
FC3_1,	GEMM,	222834.0,	0.000711929712460064,	1404.6330452264913,	
FC3_2,	GEMM,	222834.0,	0.000711929712460064,	1404.6330452264913,	
FC3_3,	GEMM,	222834.0,	0.000711929712460064,	1404.6330452264913,	
FC3_4,	GEMM,	222834.0,	0.000711929712460064,	1404.6330452264913,	
FC3_5,	GEMM,	222834.0,	0.000711929712460064,	1404.6330452264913,	
FC3_6,	GEMM,	222834.0,	0.000711929712460064,	1404.6330452264913,	
FC3_7,	GEMM,	222834.0,	0.000711929712460064,	1404.6330452264913,	
FC3_8,	GEMM,	222834.0,	0.000711929712460064,	1404.6330452264913,	
FC3_9,	GEMM,	222834.0,	0.000711929712460064,	1404.6330452264913,	
RNN4_FG_0,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_NG_0,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_ptwise1_0,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_ptwise2_0,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_FG_1,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_NG_1,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_ptwise1_1,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_ptwise2_1,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_FG_2,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_NG_2,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_ptwise1_2,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_ptwise2_2,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_FG_3,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_NG_3,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_ptwise1_3,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_ptwise2_3,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_FG_4,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_NG_4,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_ptwise1_4,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_ptwise2_4,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_FG_5,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_NG_5,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_ptwise1_5,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_ptwise2_5,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_FG_6,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_NG_6,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_ptwise1_6,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_ptwise2_6,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_FG_7,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_NG_7,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_ptwise1_7,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_ptwise2_7,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_FG_8,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_NG_8,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_ptwise1_8,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_ptwise2_8,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_FG_9,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_NG_9,	GEMM,	7631.0,	2.4380191693290734e-05,	41016.90473070371,	
RNN4_ptwise1_9,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
RNN4_ptwise2_9,	GEMM,	149.0,	4.7603833865814696e-07,	2100671.1409395975,	
FC5,	GEMM,	205.0,	6.549520766773162e-07,	1526829.2682926832,	
FC6,	GEMM,	163.0,	5.207667731629393e-07,	1920245.3987730062,	
eyeriss_08b_bp_001c_uBrain_t0_ddr3_w__spm,	All,	2437808.0,	0.007788523961661336,	128.39403267197426,	
