Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.012239087477076653,	0.01602207815180944,	0.0,	0.1281766252144755,	0.1564377908433616,	0.14419870336628496,	0.01602207815180944,	0.0,	0.1281766252144755,	0.2883974067325699,	
Conv2_0,	GEMM,	0.014043568323055903,	0.03676861524581909,	0.0,	0.018384307622909546,	0.06919649119178453,	0.24818815290927887,	0.03676861524581909,	0.202227383852005,	0.22061169147491455,	0.7077958434820175,	
Conv1_1,	GEMM,	0.012239087477076653,	0.01602207815180944,	0.0,	0.1281766252144755,	0.1564377908433616,	0.14419870336628496,	0.01602207815180944,	0.0,	0.1281766252144755,	0.2883974067325699,	
Conv2_1,	GEMM,	0.014043568323055903,	0.03676861524581909,	0.0,	0.018384307622909546,	0.06919649119178453,	0.24818815290927887,	0.03676861524581909,	0.202227383852005,	0.22061169147491455,	0.7077958434820175,	
Conv1_2,	GEMM,	0.012239087477076653,	0.01602207815180944,	0.0,	0.1281766252144755,	0.1564377908433616,	0.14419870336628496,	0.01602207815180944,	0.0,	0.1281766252144755,	0.2883974067325699,	
Conv2_2,	GEMM,	0.014043568323055903,	0.03676861524581909,	0.0,	0.018384307622909546,	0.06919649119178453,	0.24818815290927887,	0.03676861524581909,	0.202227383852005,	0.22061169147491455,	0.7077958434820175,	
Conv1_3,	GEMM,	0.012239087477076653,	0.01602207815180944,	0.0,	0.1281766252144755,	0.1564377908433616,	0.14419870336628496,	0.01602207815180944,	0.0,	0.1281766252144755,	0.2883974067325699,	
Conv2_3,	GEMM,	0.014043568323055903,	0.03676861524581909,	0.0,	0.018384307622909546,	0.06919649119178453,	0.24818815290927887,	0.03676861524581909,	0.202227383852005,	0.22061169147491455,	0.7077958434820175,	
Conv1_4,	GEMM,	0.012239087477076653,	0.01602207815180944,	0.0,	0.1281766252144755,	0.1564377908433616,	0.14419870336628496,	0.01602207815180944,	0.0,	0.1281766252144755,	0.2883974067325699,	
Conv2_4,	GEMM,	0.014043568323055903,	0.03676861524581909,	0.0,	0.018384307622909546,	0.06919649119178453,	0.24818815290927887,	0.03676861524581909,	0.202227383852005,	0.22061169147491455,	0.7077958434820175,	
Conv1_5,	GEMM,	0.012239087477076653,	0.01602207815180944,	0.0,	0.1281766252144755,	0.1564377908433616,	0.14419870336628496,	0.01602207815180944,	0.0,	0.1281766252144755,	0.2883974067325699,	
Conv2_5,	GEMM,	0.014043568323055903,	0.03676861524581909,	0.0,	0.018384307622909546,	0.06919649119178453,	0.24818815290927887,	0.03676861524581909,	0.202227383852005,	0.22061169147491455,	0.7077958434820175,	
Conv1_6,	GEMM,	0.012239087477076653,	0.01602207815180944,	0.0,	0.1281766252144755,	0.1564377908433616,	0.14419870336628496,	0.01602207815180944,	0.0,	0.1281766252144755,	0.2883974067325699,	
Conv2_6,	GEMM,	0.014043568323055903,	0.03676861524581909,	0.0,	0.018384307622909546,	0.06919649119178453,	0.24818815290927887,	0.03676861524581909,	0.202227383852005,	0.22061169147491455,	0.7077958434820175,	
Conv1_7,	GEMM,	0.012239087477076653,	0.01602207815180944,	0.0,	0.1281766252144755,	0.1564377908433616,	0.14419870336628496,	0.01602207815180944,	0.0,	0.1281766252144755,	0.2883974067325699,	
Conv2_7,	GEMM,	0.014043568323055903,	0.03676861524581909,	0.0,	0.018384307622909546,	0.06919649119178453,	0.24818815290927887,	0.03676861524581909,	0.202227383852005,	0.22061169147491455,	0.7077958434820175,	
Conv1_8,	GEMM,	0.012239087477076653,	0.01602207815180944,	0.0,	0.1281766252144755,	0.1564377908433616,	0.14419870336628496,	0.01602207815180944,	0.0,	0.1281766252144755,	0.2883974067325699,	
Conv2_8,	GEMM,	0.014043568323055903,	0.03676861524581909,	0.0,	0.018384307622909546,	0.06919649119178453,	0.24818815290927887,	0.03676861524581909,	0.202227383852005,	0.22061169147491455,	0.7077958434820175,	
Conv1_9,	GEMM,	0.012239087477076653,	0.01602207815180944,	0.0,	0.1281766252144755,	0.1564377908433616,	0.14419870336628496,	0.01602207815180944,	0.0,	0.1281766252144755,	0.2883974067325699,	
Conv2_9,	GEMM,	0.014043568323055903,	0.03676861524581909,	0.0,	0.018384307622909546,	0.06919649119178453,	0.24818815290927887,	0.03676861524581909,	0.202227383852005,	0.22061169147491455,	0.7077958434820175,	
FC3_0,	GEMM,	0.00035159631815065336,	0.09000865744656726,	0.0,	0.0008182605222415206,	0.09117851428695943,	0.006680330044862414,	0.09000865744656726,	0.007364344700173685,	0.008182605222415205,	0.11223593741401858,	
FC3_1,	GEMM,	0.00035159631815065336,	0.09000865744656726,	0.0,	0.0008182605222415206,	0.09117851428695943,	0.006680330044862414,	0.09000865744656726,	0.007364344700173685,	0.008182605222415205,	0.11223593741401858,	
FC3_2,	GEMM,	0.00035159631815065336,	0.09000865744656726,	0.0,	0.0008182605222415206,	0.09117851428695943,	0.006680330044862414,	0.09000865744656726,	0.007364344700173685,	0.008182605222415205,	0.11223593741401858,	
FC3_3,	GEMM,	0.00035159631815065336,	0.09000865744656726,	0.0,	0.0008182605222415206,	0.09117851428695943,	0.006680330044862414,	0.09000865744656726,	0.007364344700173685,	0.008182605222415205,	0.11223593741401858,	
FC3_4,	GEMM,	0.00035159631815065336,	0.09000865744656726,	0.0,	0.0008182605222415206,	0.09117851428695943,	0.006680330044862414,	0.09000865744656726,	0.007364344700173685,	0.008182605222415205,	0.11223593741401858,	
FC3_5,	GEMM,	0.00035159631815065336,	0.09000865744656726,	0.0,	0.0008182605222415206,	0.09117851428695943,	0.006680330044862414,	0.09000865744656726,	0.007364344700173685,	0.008182605222415205,	0.11223593741401858,	
FC3_6,	GEMM,	0.00035159631815065336,	0.09000865744656726,	0.0,	0.0008182605222415206,	0.09117851428695943,	0.006680330044862414,	0.09000865744656726,	0.007364344700173685,	0.008182605222415205,	0.11223593741401858,	
FC3_7,	GEMM,	0.00035159631815065336,	0.09000865744656726,	0.0,	0.0008182605222415206,	0.09117851428695943,	0.006680330044862414,	0.09000865744656726,	0.007364344700173685,	0.008182605222415205,	0.11223593741401858,	
FC3_8,	GEMM,	0.00035159631815065336,	0.09000865744656726,	0.0,	0.0008182605222415206,	0.09117851428695943,	0.006680330044862414,	0.09000865744656726,	0.007364344700173685,	0.008182605222415205,	0.11223593741401858,	
FC3_9,	GEMM,	0.00035159631815065336,	0.09000865744656726,	0.0,	0.0008182605222415206,	0.09117851428695943,	0.006680330044862414,	0.09000865744656726,	0.007364344700173685,	0.008182605222415205,	0.11223593741401858,	
RNN4_FG_0,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_NG_0,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_ptwise1_0,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_ptwise2_0,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_FG_1,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_NG_1,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_ptwise1_1,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_ptwise2_1,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_FG_2,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_NG_2,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_ptwise1_2,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_ptwise2_2,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_FG_3,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_NG_3,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_ptwise1_3,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_ptwise2_3,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_FG_4,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_NG_4,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_ptwise1_4,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_ptwise2_4,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_FG_5,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_NG_5,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_ptwise1_5,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_ptwise2_5,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_FG_6,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_NG_6,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_ptwise1_6,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_ptwise2_6,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_FG_7,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_NG_7,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
RNN4_ptwise1_7,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_ptwise2_7,	GEMM,	0.017109333268748035,	0.017109333268748035,	0.0,	0.00026733333232418805,	0.03448599986982026,	0.017109333268748035,	0.017109333268748035,	0.0013366666616209401,	0.0016039999939451283,	0.03715933319306214,	
RNN4_FG_8,	GEMM,	0.0016703516295658873,	0.10690250429221679,	0.0,	0.0003340703259131774,	0.10890692624769585,	0.008351758147829435,	0.10690250429221679,	0.008685828473742614,	0.009019898799655791,	0.1329599897134446,	
