Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.004080649694250948,	0.005341941417928514,	0.0,	0.04273553134342811,	0.052158122455607574,	0.04807747276135663,	0.005341941417928514,	0.0,	0.04273553134342811,	0.09615494552271325,	
Conv2_0,	GEMM,	0.004968954389598094,	0.013009626038220465,	0.0,	0.006504813019110232,	0.02448339344692879,	0.08781497575798813,	0.013009626038220465,	0.07155294321021255,	0.07805775622932279,	0.250435301235744,	
Conv1_1,	GEMM,	0.004080649694250948,	0.005341941417928514,	0.0,	0.04273553134342811,	0.052158122455607574,	0.04807747276135663,	0.005341941417928514,	0.0,	0.04273553134342811,	0.09615494552271325,	
Conv2_1,	GEMM,	0.004968954389598094,	0.013009626038220465,	0.0,	0.006504813019110232,	0.02448339344692879,	0.08781497575798813,	0.013009626038220465,	0.07155294321021255,	0.07805775622932279,	0.250435301235744,	
Conv1_2,	GEMM,	0.004080649694250948,	0.005341941417928514,	0.0,	0.04273553134342811,	0.052158122455607574,	0.04807747276135663,	0.005341941417928514,	0.0,	0.04273553134342811,	0.09615494552271325,	
Conv2_2,	GEMM,	0.004968954389598094,	0.013009626038220465,	0.0,	0.006504813019110232,	0.02448339344692879,	0.08781497575798813,	0.013009626038220465,	0.07155294321021255,	0.07805775622932279,	0.250435301235744,	
Conv1_3,	GEMM,	0.004080649694250948,	0.005341941417928514,	0.0,	0.04273553134342811,	0.052158122455607574,	0.04807747276135663,	0.005341941417928514,	0.0,	0.04273553134342811,	0.09615494552271325,	
Conv2_3,	GEMM,	0.004968954389598094,	0.013009626038220465,	0.0,	0.006504813019110232,	0.02448339344692879,	0.08781497575798813,	0.013009626038220465,	0.07155294321021255,	0.07805775622932279,	0.250435301235744,	
Conv1_4,	GEMM,	0.004080649694250948,	0.005341941417928514,	0.0,	0.04273553134342811,	0.052158122455607574,	0.04807747276135663,	0.005341941417928514,	0.0,	0.04273553134342811,	0.09615494552271325,	
Conv2_4,	GEMM,	0.004968954389598094,	0.013009626038220465,	0.0,	0.006504813019110232,	0.02448339344692879,	0.08781497575798813,	0.013009626038220465,	0.07155294321021255,	0.07805775622932279,	0.250435301235744,	
