Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	3.40952380952381e-06,	293296.08938547486,	
Conv2_0,	GEMM,	4704.0,	4.4800000000000005e-05,	22321.42857142857,	
Conv1_1,	GEMM,	358.0,	3.40952380952381e-06,	293296.08938547486,	
Conv2_1,	GEMM,	4704.0,	4.4800000000000005e-05,	22321.42857142857,	
Conv1_2,	GEMM,	358.0,	3.40952380952381e-06,	293296.08938547486,	
Conv2_2,	GEMM,	4704.0,	4.4800000000000005e-05,	22321.42857142857,	
Conv1_3,	GEMM,	358.0,	3.40952380952381e-06,	293296.08938547486,	
Conv2_3,	GEMM,	4704.0,	4.4800000000000005e-05,	22321.42857142857,	
Conv1_4,	GEMM,	358.0,	3.40952380952381e-06,	293296.08938547486,	
Conv2_4,	GEMM,	4704.0,	4.4800000000000005e-05,	22321.42857142857,	
Conv1_5,	GEMM,	358.0,	3.40952380952381e-06,	293296.08938547486,	
Conv2_5,	GEMM,	4704.0,	4.4800000000000005e-05,	22321.42857142857,	
Conv1_6,	GEMM,	358.0,	3.40952380952381e-06,	293296.08938547486,	
Conv2_6,	GEMM,	4704.0,	4.4800000000000005e-05,	22321.42857142857,	
Conv1_7,	GEMM,	358.0,	3.40952380952381e-06,	293296.08938547486,	
Conv2_7,	GEMM,	4704.0,	4.4800000000000005e-05,	22321.42857142857,	
Conv1_8,	GEMM,	358.0,	3.40952380952381e-06,	293296.08938547486,	
Conv2_8,	GEMM,	4704.0,	4.4800000000000005e-05,	22321.42857142857,	
Conv1_9,	GEMM,	358.0,	3.40952380952381e-06,	293296.08938547486,	
Conv2_9,	GEMM,	4704.0,	4.4800000000000005e-05,	22321.42857142857,	
FC3_0,	GEMM,	222834.0,	0.002122228571428572,	471.2027787501009,	
FC3_1,	GEMM,	222834.0,	0.002122228571428572,	471.2027787501009,	
FC3_2,	GEMM,	222834.0,	0.002122228571428572,	471.2027787501009,	
FC3_3,	GEMM,	222834.0,	0.002122228571428572,	471.2027787501009,	
FC3_4,	GEMM,	222834.0,	0.002122228571428572,	471.2027787501009,	
FC3_5,	GEMM,	222834.0,	0.002122228571428572,	471.2027787501009,	
FC3_6,	GEMM,	222834.0,	0.002122228571428572,	471.2027787501009,	
FC3_7,	GEMM,	222834.0,	0.002122228571428572,	471.2027787501009,	
FC3_8,	GEMM,	222834.0,	0.002122228571428572,	471.2027787501009,	
FC3_9,	GEMM,	222834.0,	0.002122228571428572,	471.2027787501009,	
RNN4_FG_0,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_NG_0,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_ptwise1_0,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_ptwise2_0,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_FG_1,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_NG_1,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_ptwise1_1,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_ptwise2_1,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_FG_2,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_NG_2,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_ptwise1_2,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_ptwise2_2,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_FG_3,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_NG_3,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_ptwise1_3,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_ptwise2_3,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_FG_4,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_NG_4,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_ptwise1_4,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_ptwise2_4,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_FG_5,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_NG_5,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_ptwise1_5,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_ptwise2_5,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_FG_6,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_NG_6,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
