Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.030046859600024515,	0.039334070749123,	0.0,	0.314672565992984,	0.3840534963421315,	0.354006636742107,	0.039334070749123,	0.0,	0.314672565992984,	0.708013273484214,	
Conv2_0,	GEMM,	0.03447684531028454,	0.09026664953965406,	0.0,	0.04513332476982703,	0.16987681961976564,	0.6092998843926649,	0.09026664953965406,	0.4964665724680974,	0.5415998972379243,	1.7376330036383407,	
Conv1_1,	GEMM,	0.030046859600024515,	0.039334070749123,	0.0,	0.314672565992984,	0.3840534963421315,	0.354006636742107,	0.039334070749123,	0.0,	0.314672565992984,	0.708013273484214,	
Conv2_1,	GEMM,	0.03447684531028454,	0.09026664953965406,	0.0,	0.04513332476982703,	0.16987681961976564,	0.6092998843926649,	0.09026664953965406,	0.4964665724680974,	0.5415998972379243,	1.7376330036383407,	
Conv1_2,	GEMM,	0.030046859600024515,	0.039334070749123,	0.0,	0.314672565992984,	0.3840534963421315,	0.354006636742107,	0.039334070749123,	0.0,	0.314672565992984,	0.708013273484214,	
Conv2_2,	GEMM,	0.03447684531028454,	0.09026664953965406,	0.0,	0.04513332476982703,	0.16987681961976564,	0.6092998843926649,	0.09026664953965406,	0.4964665724680974,	0.5415998972379243,	1.7376330036383407,	
Conv1_3,	GEMM,	0.030046859600024515,	0.039334070749123,	0.0,	0.314672565992984,	0.3840534963421315,	0.354006636742107,	0.039334070749123,	0.0,	0.314672565992984,	0.708013273484214,	
Conv2_3,	GEMM,	0.03447684531028454,	0.09026664953965406,	0.0,	0.04513332476982703,	0.16987681961976564,	0.6092998843926649,	0.09026664953965406,	0.4964665724680974,	0.5415998972379243,	1.7376330036383407,	
Conv1_4,	GEMM,	0.030046859600024515,	0.039334070749123,	0.0,	0.314672565992984,	0.3840534963421315,	0.354006636742107,	0.039334070749123,	0.0,	0.314672565992984,	0.708013273484214,	
Conv2_4,	GEMM,	0.03447684531028454,	0.09026664953965406,	0.0,	0.04513332476982703,	0.16987681961976564,	0.6092998843926649,	0.09026664953965406,	0.4964665724680974,	0.5415998972379243,	1.7376330036383407,	
Conv1_5,	GEMM,	0.030046859600024515,	0.039334070749123,	0.0,	0.314672565992984,	0.3840534963421315,	0.354006636742107,	0.039334070749123,	0.0,	0.314672565992984,	0.708013273484214,	
Conv2_5,	GEMM,	0.03447684531028454,	0.09026664953965406,	0.0,	0.04513332476982703,	0.16987681961976564,	0.6092998843926649,	0.09026664953965406,	0.4964665724680974,	0.5415998972379243,	1.7376330036383407,	
Conv1_6,	GEMM,	0.030046859600024515,	0.039334070749123,	0.0,	0.314672565992984,	0.3840534963421315,	0.354006636742107,	0.039334070749123,	0.0,	0.314672565992984,	0.708013273484214,	
Conv2_6,	GEMM,	0.03447684531028454,	0.09026664953965406,	0.0,	0.04513332476982703,	0.16987681961976564,	0.6092998843926649,	0.09026664953965406,	0.4964665724680974,	0.5415998972379243,	1.7376330036383407,	
Conv1_7,	GEMM,	0.030046859600024515,	0.039334070749123,	0.0,	0.314672565992984,	0.3840534963421315,	0.354006636742107,	0.039334070749123,	0.0,	0.314672565992984,	0.708013273484214,	
Conv2_7,	GEMM,	0.03447684531028454,	0.09026664953965406,	0.0,	0.04513332476982703,	0.16987681961976564,	0.6092998843926649,	0.09026664953965406,	0.4964665724680974,	0.5415998972379243,	1.7376330036383407,	
Conv1_8,	GEMM,	0.030046859600024515,	0.039334070749123,	0.0,	0.314672565992984,	0.3840534963421315,	0.354006636742107,	0.039334070749123,	0.0,	0.314672565992984,	0.708013273484214,	
Conv2_8,	GEMM,	0.03447684531028454,	0.09026664953965406,	0.0,	0.04513332476982703,	0.16987681961976564,	0.6092998843926649,	0.09026664953965406,	0.4964665724680974,	0.5415998972379243,	1.7376330036383407,	
Conv1_9,	GEMM,	0.030046859600024515,	0.039334070749123,	0.0,	0.314672565992984,	0.3840534963421315,	0.354006636742107,	0.039334070749123,	0.0,	0.314672565992984,	0.708013273484214,	
Conv2_9,	GEMM,	0.03447684531028454,	0.09026664953965406,	0.0,	0.04513332476982703,	0.16987681961976564,	0.6092998843926649,	0.09026664953965406,	0.4964665724680974,	0.5415998972379243,	1.7376330036383407,	
