Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_0,	GEMM,	0.0020062240461508436,	0.0052526593208313,	0.0,	0.00262632966041565,	0.009885213027397793,	0.035455450415611274,	0.0052526593208313,	0.028889626264572147,	0.03151595592498779,	0.10111369192600252,	
Conv1_1,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_1,	GEMM,	0.0020062240461508436,	0.0052526593208313,	0.0,	0.00262632966041565,	0.009885213027397793,	0.035455450415611274,	0.0052526593208313,	0.028889626264572147,	0.03151595592498779,	0.10111369192600252,	
Conv1_2,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_2,	GEMM,	0.0020062240461508436,	0.0052526593208313,	0.0,	0.00262632966041565,	0.009885213027397793,	0.035455450415611274,	0.0052526593208313,	0.028889626264572147,	0.03151595592498779,	0.10111369192600252,	
Conv1_3,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_3,	GEMM,	0.0020062240461508436,	0.0052526593208313,	0.0,	0.00262632966041565,	0.009885213027397793,	0.035455450415611274,	0.0052526593208313,	0.028889626264572147,	0.03151595592498779,	0.10111369192600252,	
Conv1_4,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_4,	GEMM,	0.0020062240461508436,	0.0052526593208313,	0.0,	0.00262632966041565,	0.009885213027397793,	0.035455450415611274,	0.0052526593208313,	0.028889626264572147,	0.03151595592498779,	0.10111369192600252,	
