Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_0,	GEMM,	0.002129054089792732,	0.005574250707820971,	0.0,	0.0027871253539104857,	0.01049043015152419,	0.037626192277791556,	0.005574250707820971,	0.03065837889301534,	0.03344550424692583,	0.1073043261255537,	
Conv1_1,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_1,	GEMM,	0.002129054089792732,	0.005574250707820971,	0.0,	0.0027871253539104857,	0.01049043015152419,	0.037626192277791556,	0.005574250707820971,	0.03065837889301534,	0.03344550424692583,	0.1073043261255537,	
Conv1_2,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_2,	GEMM,	0.002129054089792732,	0.005574250707820971,	0.0,	0.0027871253539104857,	0.01049043015152419,	0.037626192277791556,	0.005574250707820971,	0.03065837889301534,	0.03344550424692583,	0.1073043261255537,	
Conv1_3,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_3,	GEMM,	0.002129054089792732,	0.005574250707820971,	0.0,	0.0027871253539104857,	0.01049043015152419,	0.037626192277791556,	0.005574250707820971,	0.03065837889301534,	0.03344550424692583,	0.1073043261255537,	
Conv1_4,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_4,	GEMM,	0.002129054089792732,	0.005574250707820971,	0.0,	0.0027871253539104857,	0.01049043015152419,	0.037626192277791556,	0.005574250707820971,	0.03065837889301534,	0.03344550424692583,	0.1073043261255537,	
Conv1_5,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_5,	GEMM,	0.002129054089792732,	0.005574250707820971,	0.0,	0.0027871253539104857,	0.01049043015152419,	0.037626192277791556,	0.005574250707820971,	0.03065837889301534,	0.03344550424692583,	0.1073043261255537,	
Conv1_6,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_6,	GEMM,	0.002129054089792732,	0.005574250707820971,	0.0,	0.0027871253539104857,	0.01049043015152419,	0.037626192277791556,	0.005574250707820971,	0.03065837889301534,	0.03344550424692583,	0.1073043261255537,	
Conv1_7,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
Conv2_7,	GEMM,	0.002129054089792732,	0.005574250707820971,	0.0,	0.0027871253539104857,	0.01049043015152419,	0.037626192277791556,	0.005574250707820971,	0.03065837889301534,	0.03344550424692583,	0.1073043261255537,	
Conv1_8,	GEMM,	0.0017484410681538078,	0.002288868307401348,	0.0,	0.018310946459210786,	0.02234825583476594,	0.020599814766612136,	0.002288868307401348,	0.0,	0.018310946459210786,	0.04119962953322427,	
