Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	7.955555555555557e-06,	125698.32402234635,	
Conv2_0,	GEMM,	4992.0,	0.00011093333333333334,	9014.423076923076,	
Conv1_1,	GEMM,	358.0,	7.955555555555557e-06,	125698.32402234635,	
Conv2_1,	GEMM,	4992.0,	0.00011093333333333334,	9014.423076923076,	
Conv1_2,	GEMM,	358.0,	7.955555555555557e-06,	125698.32402234635,	
Conv2_2,	GEMM,	4992.0,	0.00011093333333333334,	9014.423076923076,	
Conv1_3,	GEMM,	358.0,	7.955555555555557e-06,	125698.32402234635,	
Conv2_3,	GEMM,	4992.0,	0.00011093333333333334,	9014.423076923076,	
Conv1_4,	GEMM,	358.0,	7.955555555555557e-06,	125698.32402234635,	
Conv2_4,	GEMM,	4992.0,	0.00011093333333333334,	9014.423076923076,	
Conv1_5,	GEMM,	358.0,	7.955555555555557e-06,	125698.32402234635,	
Conv2_5,	GEMM,	4992.0,	0.00011093333333333334,	9014.423076923076,	
Conv1_6,	GEMM,	358.0,	7.955555555555557e-06,	125698.32402234635,	
Conv2_6,	GEMM,	4992.0,	0.00011093333333333334,	9014.423076923076,	
Conv1_7,	GEMM,	358.0,	7.955555555555557e-06,	125698.32402234635,	
Conv2_7,	GEMM,	4992.0,	0.00011093333333333334,	9014.423076923076,	
Conv1_8,	GEMM,	358.0,	7.955555555555557e-06,	125698.32402234635,	
Conv2_8,	GEMM,	4992.0,	0.00011093333333333334,	9014.423076923076,	
Conv1_9,	GEMM,	358.0,	7.955555555555557e-06,	125698.32402234635,	
Conv2_9,	GEMM,	4992.0,	0.00011093333333333334,	9014.423076923076,	
FC3_0,	GEMM,	222834.0,	0.004951866666666666,	201.94404803575756,	
FC3_1,	GEMM,	222834.0,	0.004951866666666666,	201.94404803575756,	
FC3_2,	GEMM,	222834.0,	0.004951866666666666,	201.94404803575756,	
FC3_3,	GEMM,	222834.0,	0.004951866666666666,	201.94404803575756,	
FC3_4,	GEMM,	222834.0,	0.004951866666666666,	201.94404803575756,	
FC3_5,	GEMM,	222834.0,	0.004951866666666666,	201.94404803575756,	
FC3_6,	GEMM,	222834.0,	0.004951866666666666,	201.94404803575756,	
FC3_7,	GEMM,	222834.0,	0.004951866666666666,	201.94404803575756,	
FC3_8,	GEMM,	222834.0,	0.004951866666666666,	201.94404803575756,	
FC3_9,	GEMM,	222834.0,	0.004951866666666666,	201.94404803575756,	
RNN4_FG_0,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_NG_0,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_ptwise1_0,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_ptwise2_0,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_FG_1,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_NG_1,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_ptwise1_1,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_ptwise2_1,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_FG_2,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_NG_2,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_ptwise1_2,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_ptwise2_2,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_FG_3,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_NG_3,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_ptwise1_3,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_ptwise2_3,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_FG_4,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_NG_4,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_ptwise1_4,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_ptwise2_4,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_FG_5,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_NG_5,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_ptwise1_5,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_ptwise2_5,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_FG_6,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_NG_6,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_ptwise1_6,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_ptwise2_6,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_FG_7,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_NG_7,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_ptwise1_7,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
