Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.015166510083821898,	0.019854340473366847,	0.0,	0.15883472378693478,	0.19385557434412354,	0.17868906426030165,	0.019854340473366847,	0.0,	0.15883472378693478,	0.35737812852060324,	
Conv2_0,	GEMM,	0.01740259810900077,	0.04556316595811111,	0.0,	0.022781582979055554,	0.08574734704616743,	0.30755137021725,	0.04556316595811111,	0.25059741276961106,	0.27337899574866664,	0.8770909446936388,	
Conv1_1,	GEMM,	0.015166510083821898,	0.019854340473366847,	0.0,	0.15883472378693478,	0.19385557434412354,	0.17868906426030165,	0.019854340473366847,	0.0,	0.15883472378693478,	0.35737812852060324,	
Conv2_1,	GEMM,	0.01740259810900077,	0.04556316595811111,	0.0,	0.022781582979055554,	0.08574734704616743,	0.30755137021725,	0.04556316595811111,	0.25059741276961106,	0.27337899574866664,	0.8770909446936388,	
Conv1_2,	GEMM,	0.015166510083821898,	0.019854340473366847,	0.0,	0.15883472378693478,	0.19385557434412354,	0.17868906426030165,	0.019854340473366847,	0.0,	0.15883472378693478,	0.35737812852060324,	
Conv2_2,	GEMM,	0.01740259810900077,	0.04556316595811111,	0.0,	0.022781582979055554,	0.08574734704616743,	0.30755137021725,	0.04556316595811111,	0.25059741276961106,	0.27337899574866664,	0.8770909446936388,	
Conv1_3,	GEMM,	0.015166510083821898,	0.019854340473366847,	0.0,	0.15883472378693478,	0.19385557434412354,	0.17868906426030165,	0.019854340473366847,	0.0,	0.15883472378693478,	0.35737812852060324,	
Conv2_3,	GEMM,	0.01740259810900077,	0.04556316595811111,	0.0,	0.022781582979055554,	0.08574734704616743,	0.30755137021725,	0.04556316595811111,	0.25059741276961106,	0.27337899574866664,	0.8770909446936388,	
Conv1_4,	GEMM,	0.015166510083821898,	0.019854340473366847,	0.0,	0.15883472378693478,	0.19385557434412354,	0.17868906426030165,	0.019854340473366847,	0.0,	0.15883472378693478,	0.35737812852060324,	
Conv2_4,	GEMM,	0.01740259810900077,	0.04556316595811111,	0.0,	0.022781582979055554,	0.08574734704616743,	0.30755137021725,	0.04556316595811111,	0.25059741276961106,	0.27337899574866664,	0.8770909446936388,	
Conv1_5,	GEMM,	0.015166510083821898,	0.019854340473366847,	0.0,	0.15883472378693478,	0.19385557434412354,	0.17868906426030165,	0.019854340473366847,	0.0,	0.15883472378693478,	0.35737812852060324,	
Conv2_5,	GEMM,	0.01740259810900077,	0.04556316595811111,	0.0,	0.022781582979055554,	0.08574734704616743,	0.30755137021725,	0.04556316595811111,	0.25059741276961106,	0.27337899574866664,	0.8770909446936388,	
Conv1_6,	GEMM,	0.015166510083821898,	0.019854340473366847,	0.0,	0.15883472378693478,	0.19385557434412354,	0.17868906426030165,	0.019854340473366847,	0.0,	0.15883472378693478,	0.35737812852060324,	
Conv2_6,	GEMM,	0.01740259810900077,	0.04556316595811111,	0.0,	0.022781582979055554,	0.08574734704616743,	0.30755137021725,	0.04556316595811111,	0.25059741276961106,	0.27337899574866664,	0.8770909446936388,	
Conv1_7,	GEMM,	0.015166510083821898,	0.019854340473366847,	0.0,	0.15883472378693478,	0.19385557434412354,	0.17868906426030165,	0.019854340473366847,	0.0,	0.15883472378693478,	0.35737812852060324,	
Conv2_7,	GEMM,	0.01740259810900077,	0.04556316595811111,	0.0,	0.022781582979055554,	0.08574734704616743,	0.30755137021725,	0.04556316595811111,	0.25059741276961106,	0.27337899574866664,	0.8770909446936388,	
Conv1_8,	GEMM,	0.015166510083821898,	0.019854340473366847,	0.0,	0.15883472378693478,	0.19385557434412354,	0.17868906426030165,	0.019854340473366847,	0.0,	0.15883472378693478,	0.35737812852060324,	
