Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	6.754716981132076e-06,	148044.69273743016,	
Conv2_0,	GEMM,	4992.0,	9.418867924528301e-05,	10616.98717948718,	
Conv1_1,	GEMM,	358.0,	6.754716981132076e-06,	148044.69273743016,	
Conv2_1,	GEMM,	4992.0,	9.418867924528301e-05,	10616.98717948718,	
Conv1_2,	GEMM,	358.0,	6.754716981132076e-06,	148044.69273743016,	
Conv2_2,	GEMM,	4992.0,	9.418867924528301e-05,	10616.98717948718,	
Conv1_3,	GEMM,	358.0,	6.754716981132076e-06,	148044.69273743016,	
Conv2_3,	GEMM,	4992.0,	9.418867924528301e-05,	10616.98717948718,	
Conv1_4,	GEMM,	358.0,	6.754716981132076e-06,	148044.69273743016,	
Conv2_4,	GEMM,	4992.0,	9.418867924528301e-05,	10616.98717948718,	
Conv1_5,	GEMM,	358.0,	6.754716981132076e-06,	148044.69273743016,	
Conv2_5,	GEMM,	4992.0,	9.418867924528301e-05,	10616.98717948718,	
Conv1_6,	GEMM,	358.0,	6.754716981132076e-06,	148044.69273743016,	
Conv2_6,	GEMM,	4992.0,	9.418867924528301e-05,	10616.98717948718,	
Conv1_7,	GEMM,	358.0,	6.754716981132076e-06,	148044.69273743016,	
Conv2_7,	GEMM,	4992.0,	9.418867924528301e-05,	10616.98717948718,	
Conv1_8,	GEMM,	358.0,	6.754716981132076e-06,	148044.69273743016,	
Conv2_8,	GEMM,	4992.0,	9.418867924528301e-05,	10616.98717948718,	
Conv1_9,	GEMM,	358.0,	6.754716981132076e-06,	148044.69273743016,	
Conv2_9,	GEMM,	4992.0,	9.418867924528301e-05,	10616.98717948718,	
FC3_0,	GEMM,	222834.0,	0.0042044150943396225,	237.84521213100336,	
FC3_1,	GEMM,	222834.0,	0.0042044150943396225,	237.84521213100336,	
FC3_2,	GEMM,	222834.0,	0.0042044150943396225,	237.84521213100336,	
FC3_3,	GEMM,	222834.0,	0.0042044150943396225,	237.84521213100336,	
FC3_4,	GEMM,	222834.0,	0.0042044150943396225,	237.84521213100336,	
FC3_5,	GEMM,	222834.0,	0.0042044150943396225,	237.84521213100336,	
FC3_6,	GEMM,	222834.0,	0.0042044150943396225,	237.84521213100336,	
FC3_7,	GEMM,	222834.0,	0.0042044150943396225,	237.84521213100336,	
FC3_8,	GEMM,	222834.0,	0.0042044150943396225,	237.84521213100336,	
FC3_9,	GEMM,	222834.0,	0.0042044150943396225,	237.84521213100336,	
RNN4_FG_0,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_NG_0,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_ptwise1_0,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_ptwise2_0,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_FG_1,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_NG_1,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_ptwise1_1,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_ptwise2_1,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_FG_2,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_NG_2,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_ptwise1_2,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_ptwise2_2,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_FG_3,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_NG_3,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_ptwise1_3,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_ptwise2_3,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_FG_4,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_NG_4,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_ptwise1_4,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_ptwise2_4,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_FG_5,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_NG_5,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_ptwise1_5,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_ptwise2_5,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_FG_6,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_NG_6,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_ptwise1_6,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_ptwise2_6,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_FG_7,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_NG_7,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_ptwise1_7,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_ptwise2_7,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_FG_8,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_NG_8,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_ptwise1_8,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_ptwise2_8,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_FG_9,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_NG_9,	GEMM,	7631.0,	0.00014398113207547168,	6945.3544751670825,	
RNN4_ptwise1_9,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
RNN4_ptwise2_9,	GEMM,	149.0,	2.811320754716981e-06,	355704.6979865772,	
FC5,	GEMM,	205.0,	3.867924528301887e-06,	258536.58536585368,	
FC6,	GEMM,	163.0,	3.0754716981132077e-06,	325153.3742331288,	
eyeriss_08b_bp_001c_uBrain_t5_ddr3_w__spm,	All,	2437808.0,	0.04599637735849058,	21.740842593017984,	
