Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.002040324847125474,	0.002670970708964257,	0.0,	0.021367765671714056,	0.026079061227803787,	0.024038736380678313,	0.002670970708964257,	0.0,	0.021367765671714056,	0.04807747276135663,	
Conv2_0,	GEMM,	0.002484477194799047,	0.006504813019110232,	0.0,	0.003252406509555116,	0.012241696723464396,	0.04390748787899407,	0.006504813019110232,	0.035776471605106275,	0.039028878114661394,	0.125217650617872,	
Conv1_1,	GEMM,	0.002040324847125474,	0.002670970708964257,	0.0,	0.021367765671714056,	0.026079061227803787,	0.024038736380678313,	0.002670970708964257,	0.0,	0.021367765671714056,	0.04807747276135663,	
Conv2_1,	GEMM,	0.002484477194799047,	0.006504813019110232,	0.0,	0.003252406509555116,	0.012241696723464396,	0.04390748787899407,	0.006504813019110232,	0.035776471605106275,	0.039028878114661394,	0.125217650617872,	
Conv1_2,	GEMM,	0.002040324847125474,	0.002670970708964257,	0.0,	0.021367765671714056,	0.026079061227803787,	0.024038736380678313,	0.002670970708964257,	0.0,	0.021367765671714056,	0.04807747276135663,	
Conv2_2,	GEMM,	0.002484477194799047,	0.006504813019110232,	0.0,	0.003252406509555116,	0.012241696723464396,	0.04390748787899407,	0.006504813019110232,	0.035776471605106275,	0.039028878114661394,	0.125217650617872,	
Conv1_3,	GEMM,	0.002040324847125474,	0.002670970708964257,	0.0,	0.021367765671714056,	0.026079061227803787,	0.024038736380678313,	0.002670970708964257,	0.0,	0.021367765671714056,	0.04807747276135663,	
Conv2_3,	GEMM,	0.002484477194799047,	0.006504813019110232,	0.0,	0.003252406509555116,	0.012241696723464396,	0.04390748787899407,	0.006504813019110232,	0.035776471605106275,	0.039028878114661394,	0.125217650617872,	
Conv1_4,	GEMM,	0.002040324847125474,	0.002670970708964257,	0.0,	0.021367765671714056,	0.026079061227803787,	0.024038736380678313,	0.002670970708964257,	0.0,	0.021367765671714056,	0.04807747276135663,	
Conv2_4,	GEMM,	0.002484477194799047,	0.006504813019110232,	0.0,	0.003252406509555116,	0.012241696723464396,	0.04390748787899407,	0.006504813019110232,	0.035776471605106275,	0.039028878114661394,	0.125217650617872,	
Conv1_5,	GEMM,	0.002040324847125474,	0.002670970708964257,	0.0,	0.021367765671714056,	0.026079061227803787,	0.024038736380678313,	0.002670970708964257,	0.0,	0.021367765671714056,	0.04807747276135663,	
Conv2_5,	GEMM,	0.002484477194799047,	0.006504813019110232,	0.0,	0.003252406509555116,	0.012241696723464396,	0.04390748787899407,	0.006504813019110232,	0.035776471605106275,	0.039028878114661394,	0.125217650617872,	
Conv1_6,	GEMM,	0.002040324847125474,	0.002670970708964257,	0.0,	0.021367765671714056,	0.026079061227803787,	0.024038736380678313,	0.002670970708964257,	0.0,	0.021367765671714056,	0.04807747276135663,	
Conv2_6,	GEMM,	0.002484477194799047,	0.006504813019110232,	0.0,	0.003252406509555116,	0.012241696723464396,	0.04390748787899407,	0.006504813019110232,	0.035776471605106275,	0.039028878114661394,	0.125217650617872,	
Conv1_7,	GEMM,	0.002040324847125474,	0.002670970708964257,	0.0,	0.021367765671714056,	0.026079061227803787,	0.024038736380678313,	0.002670970708964257,	0.0,	0.021367765671714056,	0.04807747276135663,	
Conv2_7,	GEMM,	0.002484477194799047,	0.006504813019110232,	0.0,	0.003252406509555116,	0.012241696723464396,	0.04390748787899407,	0.006504813019110232,	0.035776471605106275,	0.039028878114661394,	0.125217650617872,	
Conv1_8,	GEMM,	0.002040324847125474,	0.002670970708964257,	0.0,	0.021367765671714056,	0.026079061227803787,	0.024038736380678313,	0.002670970708964257,	0.0,	0.021367765671714056,	0.04807747276135663,	
Conv2_8,	GEMM,	0.002484477194799047,	0.006504813019110232,	0.0,	0.003252406509555116,	0.012241696723464396,	0.04390748787899407,	0.006504813019110232,	0.035776471605106275,	0.039028878114661394,	0.125217650617872,	
Conv1_9,	GEMM,	0.002040324847125474,	0.002670970708964257,	0.0,	0.021367765671714056,	0.026079061227803787,	0.024038736380678313,	0.002670970708964257,	0.0,	0.021367765671714056,	0.04807747276135663,	
Conv2_9,	GEMM,	0.002484477194799047,	0.006504813019110232,	0.0,	0.003252406509555116,	0.012241696723464396,	0.04390748787899407,	0.006504813019110232,	0.035776471605106275,	0.039028878114661394,	0.125217650617872,	
FC3_0,	GEMM,	6.968482114776948e-05,	0.017839314213828988,	0.0,	0.00016217558376208172,	0.018071174618738837,	0.0013240116018076202,	0.017839314213828988,	0.0014595802538587355,	0.0016217558376208172,	0.02224466190711616,	
FC3_1,	GEMM,	6.968482114776948e-05,	0.017839314213828988,	0.0,	0.00016217558376208172,	0.018071174618738837,	0.0013240116018076202,	0.017839314213828988,	0.0014595802538587355,	0.0016217558376208172,	0.02224466190711616,	
FC3_2,	GEMM,	6.968482114776948e-05,	0.017839314213828988,	0.0,	0.00016217558376208172,	0.018071174618738837,	0.0013240116018076202,	0.017839314213828988,	0.0014595802538587355,	0.0016217558376208172,	0.02224466190711616,	
FC3_3,	GEMM,	6.968482114776948e-05,	0.017839314213828988,	0.0,	0.00016217558376208172,	0.018071174618738837,	0.0013240116018076202,	0.017839314213828988,	0.0014595802538587355,	0.0016217558376208172,	0.02224466190711616,	
FC3_4,	GEMM,	6.968482114776948e-05,	0.017839314213828988,	0.0,	0.00016217558376208172,	0.018071174618738837,	0.0013240116018076202,	0.017839314213828988,	0.0014595802538587355,	0.0016217558376208172,	0.02224466190711616,	
FC3_5,	GEMM,	6.968482114776948e-05,	0.017839314213828988,	0.0,	0.00016217558376208172,	0.018071174618738837,	0.0013240116018076202,	0.017839314213828988,	0.0014595802538587355,	0.0016217558376208172,	0.02224466190711616,	
FC3_6,	GEMM,	6.968482114776948e-05,	0.017839314213828988,	0.0,	0.00016217558376208172,	0.018071174618738837,	0.0013240116018076202,	0.017839314213828988,	0.0014595802538587355,	0.0016217558376208172,	0.02224466190711616,	
FC3_7,	GEMM,	6.968482114776948e-05,	0.017839314213828988,	0.0,	0.00016217558376208172,	0.018071174618738837,	0.0013240116018076202,	0.017839314213828988,	0.0014595802538587355,	0.0016217558376208172,	0.02224466190711616,	
FC3_8,	GEMM,	6.968482114776948e-05,	0.017839314213828988,	0.0,	0.00016217558376208172,	0.018071174618738837,	0.0013240116018076202,	0.017839314213828988,	0.0014595802538587355,	0.0016217558376208172,	0.02224466190711616,	
FC3_9,	GEMM,	6.968482114776948e-05,	0.017839314213828988,	0.0,	0.00016217558376208172,	0.018071174618738837,	0.0013240116018076202,	0.017839314213828988,	0.0014595802538587355,	0.0016217558376208172,	0.02224466190711616,	
RNN4_FG_0,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_NG_0,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_ptwise1_0,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_ptwise2_0,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_FG_1,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_NG_1,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_ptwise1_1,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_ptwise2_1,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_FG_2,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_NG_2,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_ptwise1_2,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_ptwise2_2,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_FG_3,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_NG_3,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_ptwise1_3,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_ptwise2_3,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_FG_4,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_NG_4,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_ptwise1_4,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_ptwise2_4,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_FG_5,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_NG_5,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_ptwise1_5,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_ptwise2_5,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_FG_6,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_NG_6,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_ptwise1_6,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_ptwise2_6,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_FG_7,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_NG_7,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_ptwise1_7,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_ptwise2_7,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_FG_8,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_NG_8,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_ptwise1_8,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_ptwise2_8,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_FG_9,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_NG_9,	GEMM,	0.0002784570287305302,	0.01782124983875393,	0.0,	5.569140574610603e-05,	0.01815539827323057,	0.0013922851436526508,	0.01782124983875393,	0.0014479765493987569,	0.001503667955144863,	0.022165179486950203,	
RNN4_ptwise1_9,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
RNN4_ptwise2_9,	GEMM,	0.0028522222634129873,	0.0028522222634129873,	0.0,	4.456597286582793e-05,	0.005749010499691802,	0.0028522222634129873,	0.0028522222634129873,	0.00022282986432913966,	0.00026739583719496756,	0.006194670228350081,	
FC5,	GEMM,	0.002073078620724562,	0.010365393103622809,	0.0,	0.0001619592672441064,	0.012600430991591477,	0.002073078620724562,	0.010365393103622809,	0.000809796336220532,	0.0009717556034646383,	0.01422002366403254,	
FC6,	GEMM,	0.002607246118089173,	0.005214492236178346,	0.0,	8.147644119028666e-05,	0.007903214795457806,	0.002607246118089173,	0.005214492236178346,	0.0004073822059514333,	0.00048885864714172,	0.008717979207360673,	
eyeriss_08b_bp_001c_uBrain_t5_ddr3_w__spm,	All,	0.0005887010913434689,	0.01578899397577111,	0.0,	0.0008194007837241191,	0.017197095850838697,	0.008066876719210556,	0.01578899397577111,	0.006608067397199518,	0.007427468180923637,	0.03789140627310482,	
