Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_5,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2024.7658031999997,	2469.9305695999997,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	339.05156688253965,	339.05156688253965,	339.05156688253965,	1017.1547006476189,	1045.094673947619,	0.5019417358771531,	2.706391850272448,	3.208333586149601,	0.056468445286179725,	2.706391850272448,	2.7628602955586277,	2.968378824467361,	12.350129258469561,	15.318508082936923,	2.0078977037783337,	17.213118787017297,	19.22101649079563,	5.534686709409028,	34.97603174603175,	40.51071845544078,	478.639426409409,	3076.8965355936502,	3555.5359620030595,	
Conv2_5,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	28233.6058368,	31037.8959928,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	4727.780508038095,	4727.780508038095,	4727.780508038095,	14183.341524114285,	16145.536655414286,	9.373761917505833,	37.738290828380066,	47.1120527458859,	1.3552426868683134,	37.738290828380066,	39.09353351524838,	55.43447454692796,	172.2118582633521,	227.64633281028006,	37.497489618060385,	240.0220362703641,	277.5195258884245,	103.6609687693625,	487.71047619047636,	591.3714449598389,	4870.146256069363,	42904.657837104765,	47774.80409317413,	
Conv1_6,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2024.7658031999997,	2469.9305695999997,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	339.05156688253965,	339.05156688253965,	339.05156688253965,	1017.1547006476189,	1045.094673947619,	0.5019417358771531,	2.706391850272448,	3.208333586149601,	0.056468445286179725,	2.706391850272448,	2.7628602955586277,	2.968378824467361,	12.350129258469561,	15.318508082936923,	2.0078977037783337,	17.213118787017297,	19.22101649079563,	5.534686709409028,	34.97603174603175,	40.51071845544078,	478.639426409409,	3076.8965355936502,	3555.5359620030595,	
Conv2_6,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	28233.6058368,	31037.8959928,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	4727.780508038095,	4727.780508038095,	4727.780508038095,	14183.341524114285,	16145.536655414286,	9.373761917505833,	37.738290828380066,	47.1120527458859,	1.3552426868683134,	37.738290828380066,	39.09353351524838,	55.43447454692796,	172.2118582633521,	227.64633281028006,	37.497489618060385,	240.0220362703641,	277.5195258884245,	103.6609687693625,	487.71047619047636,	591.3714449598389,	4870.146256069363,	42904.657837104765,	47774.80409317413,	
Conv1_7,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2024.7658031999997,	2469.9305695999997,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	339.05156688253965,	339.05156688253965,	339.05156688253965,	1017.1547006476189,	1045.094673947619,	0.5019417358771531,	2.706391850272448,	3.208333586149601,	0.056468445286179725,	2.706391850272448,	2.7628602955586277,	2.968378824467361,	12.350129258469561,	15.318508082936923,	2.0078977037783337,	17.213118787017297,	19.22101649079563,	5.534686709409028,	34.97603174603175,	40.51071845544078,	478.639426409409,	3076.8965355936502,	3555.5359620030595,	
Conv2_7,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	28233.6058368,	31037.8959928,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	4727.780508038095,	4727.780508038095,	4727.780508038095,	14183.341524114285,	16145.536655414286,	9.373761917505833,	37.738290828380066,	47.1120527458859,	1.3552426868683134,	37.738290828380066,	39.09353351524838,	55.43447454692796,	172.2118582633521,	227.64633281028006,	37.497489618060385,	240.0220362703641,	277.5195258884245,	103.6609687693625,	487.71047619047636,	591.3714449598389,	4870.146256069363,	42904.657837104765,	47774.80409317413,	
Conv1_8,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2024.7658031999997,	2469.9305695999997,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	339.05156688253965,	339.05156688253965,	339.05156688253965,	1017.1547006476189,	1045.094673947619,	0.5019417358771531,	2.706391850272448,	3.208333586149601,	0.056468445286179725,	2.706391850272448,	2.7628602955586277,	2.968378824467361,	12.350129258469561,	15.318508082936923,	2.0078977037783337,	17.213118787017297,	19.22101649079563,	5.534686709409028,	34.97603174603175,	40.51071845544078,	478.639426409409,	3076.8965355936502,	3555.5359620030595,	
Conv2_8,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	28233.6058368,	31037.8959928,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	4727.780508038095,	4727.780508038095,	4727.780508038095,	14183.341524114285,	16145.536655414286,	9.373761917505833,	37.738290828380066,	47.1120527458859,	1.3552426868683134,	37.738290828380066,	39.09353351524838,	55.43447454692796,	172.2118582633521,	227.64633281028006,	37.497489618060385,	240.0220362703641,	277.5195258884245,	103.6609687693625,	487.71047619047636,	591.3714449598389,	4870.146256069363,	42904.657837104765,	47774.80409317413,	
Conv1_9,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2024.7658031999997,	2469.9305695999997,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	339.05156688253965,	339.05156688253965,	339.05156688253965,	1017.1547006476189,	1045.094673947619,	0.5019417358771531,	2.706391850272448,	3.208333586149601,	0.056468445286179725,	2.706391850272448,	2.7628602955586277,	2.968378824467361,	12.350129258469561,	15.318508082936923,	2.0078977037783337,	17.213118787017297,	19.22101649079563,	5.534686709409028,	34.97603174603175,	40.51071845544078,	478.639426409409,	3076.8965355936502,	3555.5359620030595,	
Conv2_9,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	28233.6058368,	31037.8959928,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	4727.780508038095,	4727.780508038095,	4727.780508038095,	14183.341524114285,	16145.536655414286,	9.373761917505833,	37.738290828380066,	47.1120527458859,	1.3552426868683134,	37.738290828380066,	39.09353351524838,	55.43447454692796,	172.2118582633521,	227.64633281028006,	37.497489618060385,	240.0220362703641,	277.5195258884245,	103.6609687693625,	487.71047619047636,	591.3714449598389,	4870.146256069363,	42904.657837104765,	47774.80409317413,	
FC3_0,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1260297.9413136,	1556896.7108644,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	211039.7118846476,	211039.7118846476,	211039.7118846476,	633119.1356539428,	682313.2035953428,	209.81164559664998,	1684.570171965393,	1894.381817562043,	209.81164559664998,	1684.570171965393,	1894.381817562043,	1396.3253990294465,	7687.231014474319,	9083.556413503766,	944.5150798573281,	10714.156736832996,	11658.671816690325,	2760.463770080075,	21770.5280952381,	24530.991865318174,	348553.3012622801,	1915187.605062781,	2263740.906325061,	
FC3_1,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1260297.9413136,	1556896.7108644,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	211039.7118846476,	211039.7118846476,	211039.7118846476,	633119.1356539428,	682313.2035953428,	209.81164559664998,	1684.570171965393,	1894.381817562043,	209.81164559664998,	1684.570171965393,	1894.381817562043,	1396.3253990294465,	7687.231014474319,	9083.556413503766,	944.5150798573281,	10714.156736832996,	11658.671816690325,	2760.463770080075,	21770.5280952381,	24530.991865318174,	348553.3012622801,	1915187.605062781,	2263740.906325061,	
FC3_2,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1260297.9413136,	1556896.7108644,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	211039.7118846476,	211039.7118846476,	211039.7118846476,	633119.1356539428,	682313.2035953428,	209.81164559664998,	1684.570171965393,	1894.381817562043,	209.81164559664998,	1684.570171965393,	1894.381817562043,	1396.3253990294465,	7687.231014474319,	9083.556413503766,	944.5150798573281,	10714.156736832996,	11658.671816690325,	2760.463770080075,	21770.5280952381,	24530.991865318174,	348553.3012622801,	1915187.605062781,	2263740.906325061,	
FC3_3,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1260297.9413136,	1556896.7108644,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	211039.7118846476,	211039.7118846476,	211039.7118846476,	633119.1356539428,	682313.2035953428,	209.81164559664998,	1684.570171965393,	1894.381817562043,	209.81164559664998,	1684.570171965393,	1894.381817562043,	1396.3253990294465,	7687.231014474319,	9083.556413503766,	944.5150798573281,	10714.156736832996,	11658.671816690325,	2760.463770080075,	21770.5280952381,	24530.991865318174,	348553.3012622801,	1915187.605062781,	2263740.906325061,	
FC3_4,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1260297.9413136,	1556896.7108644,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	211039.7118846476,	211039.7118846476,	211039.7118846476,	633119.1356539428,	682313.2035953428,	209.81164559664998,	1684.570171965393,	1894.381817562043,	209.81164559664998,	1684.570171965393,	1894.381817562043,	1396.3253990294465,	7687.231014474319,	9083.556413503766,	944.5150798573281,	10714.156736832996,	11658.671816690325,	2760.463770080075,	21770.5280952381,	24530.991865318174,	348553.3012622801,	1915187.605062781,	2263740.906325061,	
FC3_5,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1260297.9413136,	1556896.7108644,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	211039.7118846476,	211039.7118846476,	211039.7118846476,	633119.1356539428,	682313.2035953428,	209.81164559664998,	1684.570171965393,	1894.381817562043,	209.81164559664998,	1684.570171965393,	1894.381817562043,	1396.3253990294465,	7687.231014474319,	9083.556413503766,	944.5150798573281,	10714.156736832996,	11658.671816690325,	2760.463770080075,	21770.5280952381,	24530.991865318174,	348553.3012622801,	1915187.605062781,	2263740.906325061,	
FC3_6,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1260297.9413136,	1556896.7108644,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	211039.7118846476,	211039.7118846476,	211039.7118846476,	633119.1356539428,	682313.2035953428,	209.81164559664998,	1684.570171965393,	1894.381817562043,	209.81164559664998,	1684.570171965393,	1894.381817562043,	1396.3253990294465,	7687.231014474319,	9083.556413503766,	944.5150798573281,	10714.156736832996,	11658.671816690325,	2760.463770080075,	21770.5280952381,	24530.991865318174,	348553.3012622801,	1915187.605062781,	2263740.906325061,	
FC3_7,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1260297.9413136,	1556896.7108644,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	211039.7118846476,	211039.7118846476,	211039.7118846476,	633119.1356539428,	682313.2035953428,	209.81164559664998,	1684.570171965393,	1894.381817562043,	209.81164559664998,	1684.570171965393,	1894.381817562043,	1396.3253990294465,	7687.231014474319,	9083.556413503766,	944.5150798573281,	10714.156736832996,	11658.671816690325,	2760.463770080075,	21770.5280952381,	24530.991865318174,	348553.3012622801,	1915187.605062781,	2263740.906325061,	
FC3_8,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1260297.9413136,	1556896.7108644,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	211039.7118846476,	211039.7118846476,	211039.7118846476,	633119.1356539428,	682313.2035953428,	209.81164559664998,	1684.570171965393,	1894.381817562043,	209.81164559664998,	1684.570171965393,	1894.381817562043,	1396.3253990294465,	7687.231014474319,	9083.556413503766,	944.5150798573281,	10714.156736832996,	11658.671816690325,	2760.463770080075,	21770.5280952381,	24530.991865318174,	348553.3012622801,	1915187.605062781,	2263740.906325061,	
FC3_9,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1260297.9413136,	1556896.7108644,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	211039.7118846476,	211039.7118846476,	211039.7118846476,	633119.1356539428,	682313.2035953428,	209.81164559664998,	1684.570171965393,	1894.381817562043,	209.81164559664998,	1684.570171965393,	1894.381817562043,	1396.3253990294465,	7687.231014474319,	9083.556413503766,	944.5150798573281,	10714.156736832996,	11658.671816690325,	2760.463770080075,	21770.5280952381,	24530.991865318174,	348553.3012622801,	1915187.605062781,	2263740.906325061,	
RNN4_FG_0,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_NG_0,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_ptwise1_0,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_ptwise2_0,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_FG_1,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_NG_1,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_ptwise1_1,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_ptwise2_1,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_FG_2,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_NG_2,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
