Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_0,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2024.7658031999997,	2469.9305695999997,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	339.05156688253965,	339.05156688253965,	339.05156688253965,	1017.1547006476189,	1045.094673947619,	0.5019417358771531,	2.706391850272448,	3.208333586149601,	0.056468445286179725,	2.706391850272448,	2.7628602955586277,	2.968378824467361,	12.350129258469561,	15.318508082936923,	2.0078977037783337,	17.213118787017297,	19.22101649079563,	5.534686709409028,	34.97603174603175,	40.51071845544078,	478.639426409409,	3076.8965355936502,	3555.5359620030595,	
Conv2_0,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	28233.6058368,	31037.8959928,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	4727.780508038095,	4727.780508038095,	4727.780508038095,	14183.341524114285,	16145.536655414286,	9.373761917505833,	37.738290828380066,	47.1120527458859,	1.3552426868683134,	37.738290828380066,	39.09353351524838,	55.43447454692796,	172.2118582633521,	227.64633281028006,	37.497489618060385,	240.0220362703641,	277.5195258884245,	103.6609687693625,	487.71047619047636,	591.3714449598389,	4870.146256069363,	42904.657837104765,	47774.80409317413,	
Conv1_1,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2024.7658031999997,	2469.9305695999997,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	339.05156688253965,	339.05156688253965,	339.05156688253965,	1017.1547006476189,	1045.094673947619,	0.5019417358771531,	2.706391850272448,	3.208333586149601,	0.056468445286179725,	2.706391850272448,	2.7628602955586277,	2.968378824467361,	12.350129258469561,	15.318508082936923,	2.0078977037783337,	17.213118787017297,	19.22101649079563,	5.534686709409028,	34.97603174603175,	40.51071845544078,	478.639426409409,	3076.8965355936502,	3555.5359620030595,	
Conv2_1,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	28233.6058368,	31037.8959928,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	4727.780508038095,	4727.780508038095,	4727.780508038095,	14183.341524114285,	16145.536655414286,	9.373761917505833,	37.738290828380066,	47.1120527458859,	1.3552426868683134,	37.738290828380066,	39.09353351524838,	55.43447454692796,	172.2118582633521,	227.64633281028006,	37.497489618060385,	240.0220362703641,	277.5195258884245,	103.6609687693625,	487.71047619047636,	591.3714449598389,	4870.146256069363,	42904.657837104765,	47774.80409317413,	
Conv1_2,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2024.7658031999997,	2469.9305695999997,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	339.05156688253965,	339.05156688253965,	339.05156688253965,	1017.1547006476189,	1045.094673947619,	0.5019417358771531,	2.706391850272448,	3.208333586149601,	0.056468445286179725,	2.706391850272448,	2.7628602955586277,	2.968378824467361,	12.350129258469561,	15.318508082936923,	2.0078977037783337,	17.213118787017297,	19.22101649079563,	5.534686709409028,	34.97603174603175,	40.51071845544078,	478.639426409409,	3076.8965355936502,	3555.5359620030595,	
Conv2_2,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	28233.6058368,	31037.8959928,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	4727.780508038095,	4727.780508038095,	4727.780508038095,	14183.341524114285,	16145.536655414286,	9.373761917505833,	37.738290828380066,	47.1120527458859,	1.3552426868683134,	37.738290828380066,	39.09353351524838,	55.43447454692796,	172.2118582633521,	227.64633281028006,	37.497489618060385,	240.0220362703641,	277.5195258884245,	103.6609687693625,	487.71047619047636,	591.3714449598389,	4870.146256069363,	42904.657837104765,	47774.80409317413,	
Conv1_3,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2024.7658031999997,	2469.9305695999997,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	339.05156688253965,	339.05156688253965,	339.05156688253965,	1017.1547006476189,	1045.094673947619,	0.5019417358771531,	2.706391850272448,	3.208333586149601,	0.056468445286179725,	2.706391850272448,	2.7628602955586277,	2.968378824467361,	12.350129258469561,	15.318508082936923,	2.0078977037783337,	17.213118787017297,	19.22101649079563,	5.534686709409028,	34.97603174603175,	40.51071845544078,	478.639426409409,	3076.8965355936502,	3555.5359620030595,	
Conv2_3,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	28233.6058368,	31037.8959928,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	4727.780508038095,	4727.780508038095,	4727.780508038095,	14183.341524114285,	16145.536655414286,	9.373761917505833,	37.738290828380066,	47.1120527458859,	1.3552426868683134,	37.738290828380066,	39.09353351524838,	55.43447454692796,	172.2118582633521,	227.64633281028006,	37.497489618060385,	240.0220362703641,	277.5195258884245,	103.6609687693625,	487.71047619047636,	591.3714449598389,	4870.146256069363,	42904.657837104765,	47774.80409317413,	
Conv1_4,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2024.7658031999997,	2469.9305695999997,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	339.05156688253965,	339.05156688253965,	339.05156688253965,	1017.1547006476189,	1045.094673947619,	0.5019417358771531,	2.706391850272448,	3.208333586149601,	0.056468445286179725,	2.706391850272448,	2.7628602955586277,	2.968378824467361,	12.350129258469561,	15.318508082936923,	2.0078977037783337,	17.213118787017297,	19.22101649079563,	5.534686709409028,	34.97603174603175,	40.51071845544078,	478.639426409409,	3076.8965355936502,	3555.5359620030595,	
Conv2_4,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	28233.6058368,	31037.8959928,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	4727.780508038095,	4727.780508038095,	4727.780508038095,	14183.341524114285,	16145.536655414286,	9.373761917505833,	37.738290828380066,	47.1120527458859,	1.3552426868683134,	37.738290828380066,	39.09353351524838,	55.43447454692796,	172.2118582633521,	227.64633281028006,	37.497489618060385,	240.0220362703641,	277.5195258884245,	103.6609687693625,	487.71047619047636,	591.3714449598389,	4870.146256069363,	42904.657837104765,	47774.80409317413,	
