Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	8.95e-06,	111731.84357541898,	
Conv2_0,	GEMM,	4992.0,	0.00012480000000000002,	8012.820512820511,	
Conv1_1,	GEMM,	358.0,	8.95e-06,	111731.84357541898,	
Conv2_1,	GEMM,	4992.0,	0.00012480000000000002,	8012.820512820511,	
Conv1_2,	GEMM,	358.0,	8.95e-06,	111731.84357541898,	
Conv2_2,	GEMM,	4992.0,	0.00012480000000000002,	8012.820512820511,	
Conv1_3,	GEMM,	358.0,	8.95e-06,	111731.84357541898,	
Conv2_3,	GEMM,	4992.0,	0.00012480000000000002,	8012.820512820511,	
Conv1_4,	GEMM,	358.0,	8.95e-06,	111731.84357541898,	
Conv2_4,	GEMM,	4992.0,	0.00012480000000000002,	8012.820512820511,	
Conv1_5,	GEMM,	358.0,	8.95e-06,	111731.84357541898,	
Conv2_5,	GEMM,	4992.0,	0.00012480000000000002,	8012.820512820511,	
Conv1_6,	GEMM,	358.0,	8.95e-06,	111731.84357541898,	
Conv2_6,	GEMM,	4992.0,	0.00012480000000000002,	8012.820512820511,	
Conv1_7,	GEMM,	358.0,	8.95e-06,	111731.84357541898,	
Conv2_7,	GEMM,	4992.0,	0.00012480000000000002,	8012.820512820511,	
Conv1_8,	GEMM,	358.0,	8.95e-06,	111731.84357541898,	
Conv2_8,	GEMM,	4992.0,	0.00012480000000000002,	8012.820512820511,	
Conv1_9,	GEMM,	358.0,	8.95e-06,	111731.84357541898,	
Conv2_9,	GEMM,	4992.0,	0.00012480000000000002,	8012.820512820511,	
FC3_0,	GEMM,	222834.0,	0.0055708500000000005,	179.50582047622893,	
FC3_1,	GEMM,	222834.0,	0.0055708500000000005,	179.50582047622893,	
FC3_2,	GEMM,	222834.0,	0.0055708500000000005,	179.50582047622893,	
FC3_3,	GEMM,	222834.0,	0.0055708500000000005,	179.50582047622893,	
FC3_4,	GEMM,	222834.0,	0.0055708500000000005,	179.50582047622893,	
FC3_5,	GEMM,	222834.0,	0.0055708500000000005,	179.50582047622893,	
FC3_6,	GEMM,	222834.0,	0.0055708500000000005,	179.50582047622893,	
FC3_7,	GEMM,	222834.0,	0.0055708500000000005,	179.50582047622893,	
FC3_8,	GEMM,	222834.0,	0.0055708500000000005,	179.50582047622893,	
FC3_9,	GEMM,	222834.0,	0.0055708500000000005,	179.50582047622893,	
RNN4_FG_0,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_NG_0,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_ptwise1_0,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_ptwise2_0,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_FG_1,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_NG_1,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_ptwise1_1,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_ptwise2_1,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_FG_2,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_NG_2,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_ptwise1_2,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_ptwise2_2,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
