Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
RNN4_FG_4,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_NG_4,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_ptwise1_4,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_ptwise2_4,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_FG_5,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_NG_5,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_ptwise1_5,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_ptwise2_5,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_FG_6,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_NG_6,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_ptwise1_6,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_ptwise2_6,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_FG_7,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_NG_7,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_ptwise1_7,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_ptwise2_7,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_FG_8,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_NG_8,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_ptwise1_8,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_ptwise2_8,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_FG_9,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_NG_9,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_ptwise1_9,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_ptwise2_9,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
FC5,	GEMM,	0.011630174590320121,	0.05815087295160061,	0.0,	0.0009086073898687595,	0.07068965493178948,	0.011630174590320121,	0.05815087295160061,	0.0045430369493437974,	0.005451644339212557,	0.07977572883047708,	
FC6,	GEMM,	0.014626906693347394,	0.029253813386694787,	0.0,	0.00045709083416710605,	0.04433781091420928,	0.014626906693347394,	0.029253813386694787,	0.0022854541708355303,	0.002742545005002636,	0.04890871925588035,	
eyeriss_08b_bp_001c_uBrain_t7_ddr3_w__spm,	All,	0.000944094501921567,	0.14488591835310383,	0.0,	0.0005879094999893053,	0.1464179223550147,	0.015700352152523616,	0.14488591835310383,	0.015864468664517403,	0.01645237816450671,	0.19290311733465154,	
