Layer,	Type,	DRAM I RD start,	DRAM I RD stop,	DRAM I RD bytes,	DRAM F RD start,	DRAM F RD stop,	DRAM F RD bytes,	DRAM O RD start,	DRAM O RD stop,	DRAM O RD bytes,	DRAM O WR start,	DRAM O WR stop,	DRAM O WR bytes,	SRAM I RD start,	SRAM I RD stop,	SRAM I RD bytes,	SRAM F RD start,	SRAM F RD stop,	SRAM F RD bytes,	SRAM O RD start,	SRAM O RD stop,	SRAM O RD bytes,	SRAM O WR start,	SRAM O WR stop,	SRAM O WR bytes,	
RNN4_ptwise2_2,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_FG_3,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_NG_3,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_ptwise1_3,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_ptwise2_3,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_FG_4,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_NG_4,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_ptwise1_4,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_ptwise2_4,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_FG_5,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_NG_5,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_ptwise1_5,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_ptwise2_5,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_FG_6,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_NG_6,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_ptwise1_6,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_ptwise2_6,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_FG_7,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_NG_7,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_ptwise1_7,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_ptwise2_7,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_FG_8,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_NG_8,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_ptwise1_8,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_ptwise2_8,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_FG_9,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_NG_9,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_ptwise1_9,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_ptwise2_9,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
FC5,	GEMM,	-8.0,	-1.0,	64.0,	-40.0,	-1.0,	320.0,	0,	0,	0.0,	164.0,	164.0,	5.0,	0.0,	162.0,	64.0,	0.0,	162.0,	320.0,	0.0,	162.0,	25.0,	25.0,	163.0,	30.0,	
FC6,	GEMM,	-8.0,	-1.0,	64.0,	-16.0,	-1.0,	128.0,	0,	0,	0.0,	146.0,	146.0,	2.0,	0.0,	144.0,	64.0,	0.0,	144.0,	128.0,	0.0,	144.0,	10.0,	25.0,	145.0,	12.0,	
