Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.0013621243018677783,	0.0017831445406269097,	0.0,	0.014265156325015278,	0.017410425167509964,	0.016048300865642188,	0.0017831445406269097,	0.0,	0.014265156325015278,	0.032096601731284376,	
Conv2_0,	GEMM,	0.0015629503207328995,	0.004092088112464318,	0.0,	0.002046044056232159,	0.007701082489429376,	0.02762159475913415,	0.004092088112464318,	0.02250648461855375,	0.02455252867478591,	0.07877269616493812,	
Conv1_1,	GEMM,	0.0013621243018677783,	0.0017831445406269097,	0.0,	0.014265156325015278,	0.017410425167509964,	0.016048300865642188,	0.0017831445406269097,	0.0,	0.014265156325015278,	0.032096601731284376,	
Conv2_1,	GEMM,	0.0015629503207328995,	0.004092088112464318,	0.0,	0.002046044056232159,	0.007701082489429376,	0.02762159475913415,	0.004092088112464318,	0.02250648461855375,	0.02455252867478591,	0.07877269616493812,	
Conv1_2,	GEMM,	0.0013621243018677783,	0.0017831445406269097,	0.0,	0.014265156325015278,	0.017410425167509964,	0.016048300865642188,	0.0017831445406269097,	0.0,	0.014265156325015278,	0.032096601731284376,	
Conv2_2,	GEMM,	0.0015629503207328995,	0.004092088112464318,	0.0,	0.002046044056232159,	0.007701082489429376,	0.02762159475913415,	0.004092088112464318,	0.02250648461855375,	0.02455252867478591,	0.07877269616493812,	
Conv1_3,	GEMM,	0.0013621243018677783,	0.0017831445406269097,	0.0,	0.014265156325015278,	0.017410425167509964,	0.016048300865642188,	0.0017831445406269097,	0.0,	0.014265156325015278,	0.032096601731284376,	
Conv2_3,	GEMM,	0.0015629503207328995,	0.004092088112464318,	0.0,	0.002046044056232159,	0.007701082489429376,	0.02762159475913415,	0.004092088112464318,	0.02250648461855375,	0.02455252867478591,	0.07877269616493812,	
Conv1_4,	GEMM,	0.0013621243018677783,	0.0017831445406269097,	0.0,	0.014265156325015278,	0.017410425167509964,	0.016048300865642188,	0.0017831445406269097,	0.0,	0.014265156325015278,	0.032096601731284376,	
Conv2_4,	GEMM,	0.0015629503207328995,	0.004092088112464318,	0.0,	0.002046044056232159,	0.007701082489429376,	0.02762159475913415,	0.004092088112464318,	0.02250648461855375,	0.02455252867478591,	0.07877269616493812,	
