Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.010015619866674841,	0.013111356916374337,	0.0,	0.1048908553309947,	0.12801783211404388,	0.11800221224736902,	0.013111356916374337,	0.0,	0.1048908553309947,	0.23600442449473807,	
Conv2_0,	GEMM,	0.012195890858059836,	0.03193105970110212,	0.0,	0.01596552985055106,	0.06009248040971301,	0.2155346529824393,	0.03193105970110212,	0.17562082835606163,	0.1915863582066127,	0.6146728992462157,	
Conv1_1,	GEMM,	0.010015619866674841,	0.013111356916374337,	0.0,	0.1048908553309947,	0.12801783211404388,	0.11800221224736902,	0.013111356916374337,	0.0,	0.1048908553309947,	0.23600442449473807,	
Conv2_1,	GEMM,	0.012195890858059836,	0.03193105970110212,	0.0,	0.01596552985055106,	0.06009248040971301,	0.2155346529824393,	0.03193105970110212,	0.17562082835606163,	0.1915863582066127,	0.6146728992462157,	
Conv1_2,	GEMM,	0.010015619866674841,	0.013111356916374337,	0.0,	0.1048908553309947,	0.12801783211404388,	0.11800221224736902,	0.013111356916374337,	0.0,	0.1048908553309947,	0.23600442449473807,	
Conv2_2,	GEMM,	0.012195890858059836,	0.03193105970110212,	0.0,	0.01596552985055106,	0.06009248040971301,	0.2155346529824393,	0.03193105970110212,	0.17562082835606163,	0.1915863582066127,	0.6146728992462157,	
Conv1_3,	GEMM,	0.010015619866674841,	0.013111356916374337,	0.0,	0.1048908553309947,	0.12801783211404388,	0.11800221224736902,	0.013111356916374337,	0.0,	0.1048908553309947,	0.23600442449473807,	
Conv2_3,	GEMM,	0.012195890858059836,	0.03193105970110212,	0.0,	0.01596552985055106,	0.06009248040971301,	0.2155346529824393,	0.03193105970110212,	0.17562082835606163,	0.1915863582066127,	0.6146728992462157,	
Conv1_4,	GEMM,	0.010015619866674841,	0.013111356916374337,	0.0,	0.1048908553309947,	0.12801783211404388,	0.11800221224736902,	0.013111356916374337,	0.0,	0.1048908553309947,	0.23600442449473807,	
Conv2_4,	GEMM,	0.012195890858059836,	0.03193105970110212,	0.0,	0.01596552985055106,	0.06009248040971301,	0.2155346529824393,	0.03193105970110212,	0.17562082835606163,	0.1915863582066127,	0.6146728992462157,	
Conv1_5,	GEMM,	0.010015619866674841,	0.013111356916374337,	0.0,	0.1048908553309947,	0.12801783211404388,	0.11800221224736902,	0.013111356916374337,	0.0,	0.1048908553309947,	0.23600442449473807,	
Conv2_5,	GEMM,	0.012195890858059836,	0.03193105970110212,	0.0,	0.01596552985055106,	0.06009248040971301,	0.2155346529824393,	0.03193105970110212,	0.17562082835606163,	0.1915863582066127,	0.6146728992462157,	
Conv1_6,	GEMM,	0.010015619866674841,	0.013111356916374337,	0.0,	0.1048908553309947,	0.12801783211404388,	0.11800221224736902,	0.013111356916374337,	0.0,	0.1048908553309947,	0.23600442449473807,	
Conv2_6,	GEMM,	0.012195890858059836,	0.03193105970110212,	0.0,	0.01596552985055106,	0.06009248040971301,	0.2155346529824393,	0.03193105970110212,	0.17562082835606163,	0.1915863582066127,	0.6146728992462157,	
Conv1_7,	GEMM,	0.010015619866674841,	0.013111356916374337,	0.0,	0.1048908553309947,	0.12801783211404388,	0.11800221224736902,	0.013111356916374337,	0.0,	0.1048908553309947,	0.23600442449473807,	
Conv2_7,	GEMM,	0.012195890858059836,	0.03193105970110212,	0.0,	0.01596552985055106,	0.06009248040971301,	0.2155346529824393,	0.03193105970110212,	0.17562082835606163,	0.1915863582066127,	0.6146728992462157,	
Conv1_8,	GEMM,	0.010015619866674841,	0.013111356916374337,	0.0,	0.1048908553309947,	0.12801783211404388,	0.11800221224736902,	0.013111356916374337,	0.0,	0.1048908553309947,	0.23600442449473807,	
Conv2_8,	GEMM,	0.012195890858059836,	0.03193105970110212,	0.0,	0.01596552985055106,	0.06009248040971301,	0.2155346529824393,	0.03193105970110212,	0.17562082835606163,	0.1915863582066127,	0.6146728992462157,	
Conv1_9,	GEMM,	0.010015619866674841,	0.013111356916374337,	0.0,	0.1048908553309947,	0.12801783211404388,	0.11800221224736902,	0.013111356916374337,	0.0,	0.1048908553309947,	0.23600442449473807,	
Conv2_9,	GEMM,	0.012195890858059836,	0.03193105970110212,	0.0,	0.01596552985055106,	0.06009248040971301,	0.2155346529824393,	0.03193105970110212,	0.17562082835606163,	0.1915863582066127,	0.6146728992462157,	
FC3_0,	GEMM,	0.0005149076944839071,	0.13181636978788022,	0.0,	3.7447832326102337e-05,	0.1323687253146902,	0.009783246195194235,	0.13181636978788022,	0.010972214871547984,	0.011009662703874086,	0.16358149355849652,	
FC3_1,	GEMM,	0.0005149076944839071,	0.13181636978788022,	0.0,	3.7447832326102337e-05,	0.1323687253146902,	0.009783246195194235,	0.13181636978788022,	0.010972214871547984,	0.011009662703874086,	0.16358149355849652,	
FC3_2,	GEMM,	0.0005149076944839071,	0.13181636978788022,	0.0,	3.7447832326102337e-05,	0.1323687253146902,	0.009783246195194235,	0.13181636978788022,	0.010972214871547984,	0.011009662703874086,	0.16358149355849652,	
FC3_3,	GEMM,	0.0005149076944839071,	0.13181636978788022,	0.0,	3.7447832326102337e-05,	0.1323687253146902,	0.009783246195194235,	0.13181636978788022,	0.010972214871547984,	0.011009662703874086,	0.16358149355849652,	
FC3_4,	GEMM,	0.0005149076944839071,	0.13181636978788022,	0.0,	3.7447832326102337e-05,	0.1323687253146902,	0.009783246195194235,	0.13181636978788022,	0.010972214871547984,	0.011009662703874086,	0.16358149355849652,	
FC3_5,	GEMM,	0.0005149076944839071,	0.13181636978788022,	0.0,	3.7447832326102337e-05,	0.1323687253146902,	0.009783246195194235,	0.13181636978788022,	0.010972214871547984,	0.011009662703874086,	0.16358149355849652,	
FC3_6,	GEMM,	0.0005149076944839071,	0.13181636978788022,	0.0,	3.7447832326102337e-05,	0.1323687253146902,	0.009783246195194235,	0.13181636978788022,	0.010972214871547984,	0.011009662703874086,	0.16358149355849652,	
FC3_7,	GEMM,	0.0005149076944839071,	0.13181636978788022,	0.0,	3.7447832326102337e-05,	0.1323687253146902,	0.009783246195194235,	0.13181636978788022,	0.010972214871547984,	0.011009662703874086,	0.16358149355849652,	
FC3_8,	GEMM,	0.0005149076944839071,	0.13181636978788022,	0.0,	3.7447832326102337e-05,	0.1323687253146902,	0.009783246195194235,	0.13181636978788022,	0.010972214871547984,	0.011009662703874086,	0.16358149355849652,	
FC3_9,	GEMM,	0.0005149076944839071,	0.13181636978788022,	0.0,	3.7447832326102337e-05,	0.1323687253146902,	0.009783246195194235,	0.13181636978788022,	0.010972214871547984,	0.011009662703874086,	0.16358149355849652,	
RNN4_FG_0,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_NG_0,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_ptwise1_0,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_ptwise2_0,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_FG_1,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_NG_1,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_ptwise1_1,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_ptwise2_1,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_FG_2,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_NG_2,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_ptwise1_2,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_ptwise2_2,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_FG_3,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_NG_3,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_ptwise1_3,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_ptwise2_3,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_FG_4,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_NG_4,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_ptwise1_4,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_ptwise2_4,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_FG_5,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_NG_5,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_ptwise1_5,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_ptwise2_5,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_FG_6,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_NG_6,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_ptwise1_6,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_ptwise2_6,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_FG_7,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_NG_7,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_ptwise1_7,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_ptwise2_7,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_FG_8,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_NG_8,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_ptwise1_8,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_ptwise2_8,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_FG_9,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_NG_9,	GEMM,	0.0013668998605285492,	0.08748159107382715,	0.0,	0.00027337997210570987,	0.08912187090646141,	0.006834499302642747,	0.08748159107382715,	0.007107879274748457,	0.007381259246854167,	0.10880522889807252,	
RNN4_ptwise1_9,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
RNN4_ptwise2_9,	GEMM,	0.014001091054621958,	0.014001091054621958,	0.0,	0.0002187670477284681,	0.028220949156972385,	0.014001091054621958,	0.014001091054621958,	0.0010938352386423405,	0.0013126022863708085,	0.030408619634257065,	
FC5,	GEMM,	0.010176402766530108,	0.05088201383265054,	0.0,	0.0007950314661351647,	0.06185344806531582,	0.010176402766530108,	0.05088201383265054,	0.0039751573306758235,	0.004770188796810988,	0.06980376272666747,	
FC6,	GEMM,	0.012798543356678968,	0.025597086713357937,	0.0,	0.00039995447989621776,	0.03879558454993313,	0.012798543356678968,	0.025597086713357937,	0.0019997723994810888,	0.0023997268793773067,	0.0427951293488953,	
eyeriss_08b_bp_001c_uBrain_t8_ddr3_w__spm,	All,	0.0008260826891813743,	0.12677517855896633,	0.0,	0.0005144208124906441,	0.12811568206063836,	0.013737808133458217,	0.12677517855896633,	0.013881410081452782,	0.014395830893943426,	0.16879022766782073,	
